,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x111030e18>],Violet,4_0,False,True,[['trick']],trick,trick,1.0,False,-0.0
1,1,"[<__main__.Word instance at 0x10453d560>
 <__main__.Word instance at 0x10453da70>
 <__main__.Word instance at 0x10453d7a0>
 <__main__.Word instance at 0x10453dcf8>
 <__main__.Word instance at 0x10453da28>]",Violet,4_0,True,,,needthislightinhere,,,NaN,NaN
2,2,[<__main__.Word instance at 0x10453d8c0>],Violet,4_0,True,,,Tigri,,,NaN,NaN
3,3,"[<__main__.Word instance at 0x104398cf8>
 <__main__.Word instance at 0x1043a69e0>
 <__main__.Word instance at 0x1043a6c20>
 <__main__.Word instance at 0x1043a45a8>
 <__main__.Word instance at 0x1043a4a28>
 <__main__.Word instance at 0x1043a4368>
 <__main__.Word instance at 0x1043a4878>
 <__main__.Word instance at 0x1043a4c20>
 <__main__.Word instance at 0x1043a4998>]",Violet,4_0,True,,,firstIhave_togetreadyinmybookof,,,NaN,NaN
4,4,"[<__main__.Word instance at 0x111035170>
 <__main__.Word instance at 0x111035290>
 <__main__.Word instance at 0x1110353b0>]",Violet,4_0,True,,,there'sairbornetigers,,,NaN,NaN
5,5,"[<__main__.Word instance at 0x1110355f0>
 <__main__.Word instance at 0x111035710>
 <__main__.Word instance at 0x111035830>]",Violet,4_0,True,,,he'sgoingup,,,NaN,NaN
6,6,[<__main__.Word instance at 0x111035a28>],Violet,4_0,False,True,[['up']],up,up,1.0,False,-0.0
7,7,"[<__main__.Word instance at 0x111035c20>
 <__main__.Word instance at 0x111035d40>
 <__main__.Word instance at 0x111035ea8>
 <__main__.Word instance at 0x111035d88>
 <__main__.Word instance at 0x111035e18>
 <__main__.Word instance at 0x111035f80>
 <__main__.Word instance at 0x111035ef0>
 <__main__.Word instance at 0x111035f38>
 <__main__.Word instance at 0x11103a0e0>]",Violet,4_0,True,,,yeahbutI'mtryingtomakehimgoflippy,,,NaN,NaN
8,8,"[<__main__.Word instance at 0x11103a248>
 <__main__.Word instance at 0x11103a2d8>
 <__main__.Word instance at 0x11103a1b8>]",Violet,4_0,True,,,openthedoor,,,NaN,NaN
9,9,"[<__main__.Word instance at 0x11103a4d0>
 <__main__.Word instance at 0x11103a5a8>
 <__main__.Word instance at 0x11103a440>]",Violet,4_0,True,,,let'stossit,,,NaN,NaN
10,10,[<__main__.Word instance at 0x11103a518>],Violet,4_0,True,,,whoa,,,NaN,NaN
11,11,"[<__main__.Word instance at 0x11103a050>
 <__main__.Word instance at 0x11103a878>
 <__main__.Word instance at 0x11103a638>]",Violet,4_0,True,,,anextraone,,,NaN,NaN
12,12,[<__main__.Word instance at 0x11103a9e0>],Violet,4_0,True,,,extra,,,NaN,NaN
13,13,[<__main__.Word instance at 0x11103aab8>],Violet,4_0,False,True,[['oh']],oh,oh,1.0,False,-0.0
14,14,"[<__main__.Word instance at 0x11103ab48>
 <__main__.Word instance at 0x11103aa28>
 <__main__.Word instance at 0x11103ad88>
 <__main__.Word instance at 0x11103a6c8>
 <__main__.Word instance at 0x11103ae60>
 <__main__.Word instance at 0x11103abd8>
 <__main__.Word instance at 0x11103aef0>
 <__main__.Word instance at 0x11103ac20>
 <__main__.Word instance at 0x11103ac68>]",Violet,4_0,True,,,&-um&-umokaylet'sseeIwantairbornesnakes,,,NaN,NaN
15,15,"[<__main__.Word instance at 0x11103a7a0>
 <__main__.Word instance at 0x11103af38>
 <__main__.Word instance at 0x11103e050>
 <__main__.Word instance at 0x11103e098>
 <__main__.Word instance at 0x11103e290>]",Violet,4_0,True,,,snakesarefunairbornesnakes,,,NaN,NaN
16,16,"[<__main__.Word instance at 0x11103e368>
 <__main__.Word instance at 0x11103e440>
 <__main__.Word instance at 0x11103e2d8>
 <__main__.Word instance at 0x11103e518>
 <__main__.Word instance at 0x11103e3b0>]",Violet,4_0,True,,,momcanyouthetop,,,NaN,NaN
17,17,"[<__main__.Word instance at 0x11103e488>
 <__main__.Word instance at 0x11103e6c8>
 <__main__.Word instance at 0x11103e560>
 <__main__.Word instance at 0x11103e7a0>
 <__main__.Word instance at 0x11103e638>
 <__main__.Word instance at 0x11103e878>
 <__main__.Word instance at 0x11103e908>]",Violet,4_0,True,,,canyoumomcanyouundothis,,,NaN,NaN
18,18,"[<__main__.Word instance at 0x11103eab8>
 <__main__.Word instance at 0x11103e998>]",Violet,4_0,False,True,"[['can'], ['you']]",canyou,canyou,0.5,False,0.6931471805599453
19,19,"[<__main__.Word instance at 0x11103eb48>
 <__main__.Word instance at 0x11103ed40>]",Violet,4_0,True,,,undothat,,,NaN,NaN
20,20,[<__main__.Word instance at 0x11103ef38>],Violet,4_0,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
21,21,"[<__main__.Word instance at 0x11103ec68>
 <__main__.Word instance at 0x11103ef80>
 <__main__.Word instance at 0x11103eef0>
 <__main__.Word instance at 0x11103e710>]",Violet,4_0,True,,,butitgoesaway,,,NaN,NaN
22,22,[<__main__.Word instance at 0x1110410e0>],Violet,4_0,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
23,23,[<__main__.Word instance at 0x111041170>],Violet,4_0,False,True,[['circle']],circle,circle,1.0,False,-0.0
24,24,"[<__main__.Word instance at 0x111041488>
 <__main__.Word instance at 0x111041320>
 <__main__.Word instance at 0x111041518>
 <__main__.Word instance at 0x1110413f8>
 <__main__.Word instance at 0x111041878>]",Violet,4_0,True,,,momIwannawrite&-um,,,NaN,NaN
25,25,[<__main__.Word instance at 0x111041290>],Violet,4_0,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
26,26,"[<__main__.Word instance at 0x111041950>
 <__main__.Word instance at 0x111041b90>
 <__main__.Word instance at 0x111041710>
 <__main__.Word instance at 0x111041c68>
 <__main__.Word instance at 0x1110415f0>
 <__main__.Word instance at 0x111041cf8>]",Violet,4_0,True,,,I'llpretendI'mdoingmyhomework,,,NaN,NaN
27,27,[<__main__.Word instance at 0x111041ef0>],Violet,4_0,True,,,o,,,NaN,NaN
28,28,[<__main__.Word instance at 0x111041f80>],Violet,4_0,True,,,i,,,NaN,NaN
29,29,"[<__main__.Word instance at 0x111041bd8>
 <__main__.Word instance at 0x111048098>
 <__main__.Word instance at 0x111048128>]",Violet,4_0,False,False,"[['and'], ['one'], ['one']]",oneandone,oneoneand,0.333333333333,True,-0.4054651081081643
30,30,[<__main__.Word instance at 0x1110481b8>],Violet,4_0,False,True,[['two']],two,two,1.0,False,-0.0
31,31,"[<__main__.Word instance at 0x1110484d0>
 <__main__.Word instance at 0x111048368>
 <__main__.Word instance at 0x1110485a8>
 <__main__.Word instance at 0x111048440>
 <__main__.Word instance at 0x111048758>
 <__main__.Word instance at 0x111048680>
 <__main__.Word instance at 0x111048830>
 <__main__.Word instance at 0x1110482d8>
 <__main__.Word instance at 0x111048908>
 <__main__.Word instance at 0x1110487a0>
 <__main__.Word instance at 0x1110489e0>
 <__main__.Word instance at 0x111048878>
 <__main__.Word instance at 0x111048a70>
 <__main__.Word instance at 0x111048950>
 <__main__.Word instance at 0x111048b90>
 <__main__.Word instance at 0x111048290>]",Violet,4_0,True,,,lookI'mdrawingfromtheI'mdoingmydrawsformyI'mdrawingformyhomework,,,NaN,NaN
32,32,"[<__main__.Word instance at 0x1110485f0>
 <__main__.Word instance at 0x111048d40>]",Violet,4_0,True,,,I'mdrawing,,,NaN,NaN
