,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x103c7d560>],Ethan,3_0,False,True,[['this']],this,this,1.0,False,-0.0
1,1,"[<__main__.Word instance at 0x103c7d7a0>
 <__main__.Word instance at 0x103c7dcf8>
 <__main__.Word instance at 0x103c7da28>
 <__main__.Word instance at 0x103c7d758>]",Ethan,3_0,False,False,"[['on'], ['have'], ['backpack'], ['I']]",Ihavebackpackon,Ihaveonbackpack,0.0416666666667,False,-0.04255961441879589
2,2,[<__main__.Word instance at 0x103c7df80>],Ethan,3_0,False,True,[['microwave']],microwave,microwave,1.0,False,-0.0
3,3,[<__main__.Word instance at 0x103c7d518>],Ethan,3_0,False,True,[['microwave']],microwave,microwave,1.0,False,-0.0
4,4,"[<__main__.Word instance at 0x103c7d3f8>
 <__main__.Word instance at 0x1107f4440>
 <__main__.Word instance at 0x1107f45a8>]",Ethan,3_0,False,False,"[['this'], ['you', 'need']]",youneedthis,thisyouneed,0.5,False,-0.6931471805599453
5,5,"[<__main__.Word instance at 0x1107f4758>
 <__main__.Word instance at 0x1107f4878>]",Ethan,3_0,False,True,"[[""you're""], ['explorer']]",you'reexplorer,you'reexplorer,0.5,False,0.6931471805599453
6,6,"[<__main__.Word instance at 0x1107f4a28>
 <__main__.Word instance at 0x1107f4b90>]",Ethan,3_0,False,False,"[['hard'], ['hat']]",hardhat,hathard,0.5,False,-0.6931471805599453
7,7,"[<__main__.Word instance at 0x1107f4cf8>
 <__main__.Word instance at 0x1107f4d88>
 <__main__.Word instance at 0x1107f4e18>]",Ethan,3_0,False,True,"[['some', 'sea'], ['birds']]",someseabirds,someseabirds,0.5,False,0.6931471805599453
8,8,"[<__main__.Word instance at 0x1107f4f38>
 <__main__.Word instance at 0x1107f4fc8>]",Ethan,3_0,False,True,"[['warbler'], ['warbler']]",warblerwarbler,warblerwarbler,1.0,True,-0.0
9,9,"[<__main__.Word instance at 0x103ae4908>
 <__main__.Word instance at 0x103ae4998>]",Ethan,3_0,False,True,"[['bird'], ['bird']]",birdbird,birdbird,1.0,True,-0.0
