num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x11d27ba70>];Lily;1_6;True;NaN;NaN;&;NaN;NaN;NaN
1;[<__main__.Word instance at 0x11d27bc68>];Lily;1_6;True;NaN;NaN;&;NaN;NaN;NaN
2;[<__main__.Word instance at 0x11d27bef0>];Lily;1_6;True;NaN;NaN;&muah;NaN;NaN;NaN
3;[<__main__.Word instance at 0x10ef3da70>];Lily;1_6;True;NaN;NaN;&;NaN;NaN;NaN
4;[<__main__.Word instance at 0x10ef3dcf8>];Lily;1_6;False;True;[['dirty']];dirty;dirty;1.0;0.0
5;[<__main__.Word instance at 0x10ef3d758>];Lily;1_6;False;True;[['dirty']];dirty;dirty;1.0;0.0
6;[<__main__.Word instance at 0x10ef3d5a8>];Lily;1_6;False;True;[['dirty']];dirty;dirty;1.0;0.0
7;[<__main__.Word instance at 0x10ef3df80>];Lily;1_6;False;True;[['daddy']];daddy;daddy;1.0;0.0
8;[<__main__.Word instance at 0x10ef3d488>];Lily;1_6;False;True;[['daddy']];daddy;daddy;1.0;0.0
9;[<__main__.Word instance at 0x10ef3d680>];Lily;1_6;False;True;[['daddy']];daddy;daddy;1.0;0.0
10;[<__main__.Word instance at 0x10eda45a8>];Lily;1_6;False;True;[['daddy']];daddy;daddy;1.0;0.0
11;[<__main__.Word instance at 0x10eda4b00>];Lily;1_6;False;True;[['mommy']];mommy;mommy;1.0;0.0
12;[<__main__.Word instance at 0x10eda4c20>];Lily;1_6;False;True;[['daddy']];daddy;daddy;1.0;0.0
13;[<__main__.Word instance at 0x10eda6c68>];Lily;1_6;False;True;[['daddy']];daddy;daddy;1.0;0.0
14;[<__main__.Word instance at 0x10eda69e0>];Lily;1_6;False;True;[['daddy']];daddy;daddy;1.0;0.0
15;[<__main__.Word instance at 0x11d281128>];Lily;1_6;False;True;[['mommy']];mommy;mommy;1.0;0.0
16;[<__main__.Word instance at 0x11d281248>];Lily;1_6;False;True;[['daddy']];daddy;daddy;1.0;0.0
17;[<__main__.Word instance at 0x11d2813b0>];Lily;1_6;False;True;[['daddy']];daddy;daddy;1.0;0.0
18;[<__main__.Word instance at 0x11d281560>];Lily;1_6;False;True;[['mommy']];mommy;mommy;1.0;0.0
19;[<__main__.Word instance at 0x11d281638>];Lily;1_6;False;True;[['daddy']];daddy;daddy;1.0;0.0
20;[<__main__.Word instance at 0x11d281830>];Lily;1_6;False;True;[['daddy']];daddy;daddy;1.0;0.0
21;[<__main__.Word instance at 0x11d281950>];Lily;1_6;False;True;[['daddy']];daddy;daddy;1.0;0.0
22;[<__main__.Word instance at 0x11d281a28>];Lily;1_6;False;True;[['daddy']];daddy;daddy;1.0;0.0
23;[<__main__.Word instance at 0x11d281cb0>];Lily;1_6;False;True;[['daddy']];daddy;daddy;1.0;0.0
24;[<__main__.Word instance at 0x11d281f38>];Lily;1_6;False;True;[['dirty']];dirty;dirty;1.0;0.0
25;[<__main__.Word instance at 0x11d281cf8>];Lily;1_6;True;NaN;NaN;&;NaN;NaN;NaN
26;[<__main__.Word instance at 0x11d281c68>];Lily;1_6;True;NaN;NaN;&muah;NaN;NaN;NaN
27;[<__main__.Word instance at 0x11d2850e0>];Lily;1_6;False;True;[['duckie']];duckie;duckie;1.0;0.0
28;[<__main__.Word instance at 0x11d285560>];Lily;1_6;False;True;[['no']];no;no;1.0;0.0
29;[<__main__.Word instance at 0x11d285758>];Lily;1_6;True;NaN;NaN;&;NaN;NaN;NaN
30;[<__main__.Word instance at 0x11d2857a0>];Lily;1_6;False;True;[['blah']];blah;blah;1.0;0.0
31;[<__main__.Word instance at 0x11d2858c0>];Lily;1_6;False;True;[['mommy']];mommy;mommy;1.0;0.0
32;[<__main__.Word instance at 0x11d285830>];Lily;1_6;False;True;[['daddy']];daddy;daddy;1.0;0.0
33;[<__main__.Word instance at 0x11d285b90>];Lily;1_6;False;True;[['daddy']];daddy;daddy;1.0;0.0
34;[<__main__.Word instance at 0x11d285c20>];Lily;1_6;False;True;[['daddy']];daddy;daddy;1.0;0.0
35;[<__main__.Word instance at 0x11d285cf8>];Lily;1_6;True;NaN;NaN;woofy;NaN;NaN;NaN
36;[<__main__.Word instance at 0x11d285dd0>];Lily;1_6;True;NaN;NaN;woofy;NaN;NaN;NaN
37;[<__main__.Word instance at 0x11d285ea8>];Lily;1_6;False;True;[['woof']];woof;woof;1.0;0.0
38;[<__main__.Word instance at 0x11d285f38>];Lily;1_6;False;True;[['blah']];blah;blah;1.0;0.0
39;[<__main__.Word instance at 0x11d285fc8>];Lily;1_6;False;True;[['blah']];blah;blah;1.0;0.0
40;[<__main__.Word instance at 0x11d285a28>];Lily;1_6;False;True;[['dirty']];dirty;dirty;1.0;0.0
41;"[<__main__.Word instance at 0x11d289200>
 <__main__.Word instance at 0x11d2890e0>]";Lily;1_6;False;True;[['Pooh', 'Bear']];PoohBear;PoohBear;1.0;0.0
42;[<__main__.Word instance at 0x11d289368>];Lily;1_6;False;True;[['blah']];blah;blah;1.0;0.0
43;[<__main__.Word instance at 0x11d2895a8>];Lily;1_6;False;True;[['dirty']];dirty;dirty;1.0;0.0
44;"[<__main__.Word instance at 0x11d2897a0>
 <__main__.Word instance at 0x11d2896c8>]";Lily;1_6;False;True;[['Pooh', 'Bear']];PoohBear;PoohBear;1.0;0.0
