num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x10f7ba560>
 <__main__.Word instance at 0x10f7baa70>]";Naima;3_0;False;False;[['oh'], ['push']];ohpush;pushoh;0.5;-0.69314718056
1;"[<__main__.Word instance at 0x10f7bacf8>
 <__main__.Word instance at 0x10f7baa28>
 <__main__.Word instance at 0x10f7ba758>
 <__main__.Word instance at 0x10f7ba8c0>
 <__main__.Word instance at 0x10f7ba518>]";Naima;3_0;False;False;"[[""that's""], [""that's""], ['all'], [""that's""], ['all']]";that'sthat'sallthat'sall;allallthat'sthat'sthat's;0.00833333333333;-0.00836824967052
2;"[<__main__.Word instance at 0x1256bf290>
 <__main__.Word instance at 0x1256bf320>
 <__main__.Word instance at 0x1256bf488>
 <__main__.Word instance at 0x1256bf638>
 <__main__.Word instance at 0x1256bf758>
 <__main__.Word instance at 0x1256bf878>
 <__main__.Word instance at 0x1256bf998>
 <__main__.Word instance at 0x1256bfab8>
 <__main__.Word instance at 0x1256bfbd8>]";Naima;3_0;False;False;"[['the', 'farm'], [""that's""], ['I'], ['because'], ['got'], ['of'], ['animals'], ['all']]";that'sallofthefarmanimalsbecauseIgot;becauseofthefarmallIgotthat'sanimals;2.48015873016e-05;-2.4801894866e-05
3;[<__main__.Word instance at 0x1256bfe18>];Naima;3_0;False;True;[['why']];why;why;1.0;0.0
4;[<__main__.Word instance at 0x10f623a28>];Naima;3_0;False;True;[['yes']];yes;yes;1.0;0.0
5;"[<__main__.Word instance at 0x10f623bd8>
 <__main__.Word instance at 0x10f6215a8>
 <__main__.Word instance at 0x10f621a28>
 <__main__.Word instance at 0x10f621368>
 <__main__.Word instance at 0x10f621b00>
 <__main__.Word instance at 0x10f621b48>
 <__main__.Word instance at 0x1256c6098>]";Naima;3_0;False;False;"[['gonna'], ['to'], ['be', 'able'], ['into'], ['go'], [""Daddy's""]]";Daddy'sgonnabeabletogointo;intoDaddy'sgonnagotobeable;0.00138888888889;-0.00138985428905
6;"[<__main__.Word instance at 0x1256c63f8>
 <__main__.Word instance at 0x1256c6290>
 <__main__.Word instance at 0x1256c65f0>
 <__main__.Word instance at 0x1256c6488>
 <__main__.Word instance at 0x1256c67e8>]";Naima;3_0;False;False;[['that'], ['in'], ['get'], ['patients'], ['the']];getthatpatientsinthe;thatinthepatientsget;0.00833333333333;-0.00836824967052
7;"[<__main__.Word instance at 0x1256c69e0>
 <__main__.Word instance at 0x1256c6878>]";Naima;3_0;False;False;[['make'], ['and']];andmake;makeand;0.5;-0.69314718056
8;"[<__main__.Word instance at 0x1256c6a70>
 <__main__.Word instance at 0x1256c6d40>
 <__main__.Word instance at 0x1256c6c68>
 <__main__.Word instance at 0x1256c6ea8>
 <__main__.Word instance at 0x1256c6998>
 <__main__.Word instance at 0x1256c6f38>
 <__main__.Word instance at 0x1256c6dd0>
 <__main__.Word instance at 0x1256c6cf8>]";Naima;3_0;True;NaN;NaN;andyouhave_topatientstoexerciseonthere;NaN;NaN;NaN
9;"[<__main__.Word instance at 0x1256c6c20>
 <__main__.Word instance at 0x1256c9050>
 <__main__.Word instance at 0x1256c9128>
 <__main__.Word instance at 0x1256c9200>
 <__main__.Word instance at 0x1256c9098>]";Naima;3_0;False;False;[['be', 'able'], ['will'], ['to'], ['he']];hewillbeableto;tohewillbeable;0.0416666666667;-0.0425596144188
10;"[<__main__.Word instance at 0x1256c9170>
 <__main__.Word instance at 0x1256c93b0>
 <__main__.Word instance at 0x1256c9248>]";Naima;3_0;False;False;[['both'], ['and'], ['have_to']];andhave_toboth;bothandhave_to;0.166666666667;-0.182321556794
11;"[<__main__.Word instance at 0x1256c95f0>
 <__main__.Word instance at 0x1256c94d0>
 <__main__.Word instance at 0x1256c9680>
 <__main__.Word instance at 0x1256c97a0>
 <__main__.Word instance at 0x1256c9488>
 <__main__.Word instance at 0x1256c98c0>
 <__main__.Word instance at 0x1256c93f8>
 <__main__.Word instance at 0x1256c9998>
 <__main__.Word instance at 0x1256c9320>
 <__main__.Word instance at 0x1256c9a70>]";Naima;3_0;False;False;[['has'], ['the'], ['be'], ['nurse'], ['to', 'be'], ['have_to'], ['and'], ['there'], ['doctor']];hastobetherethenurseandhave_tobedoctor;thedoctorhasandnursetherebetobehave_to;2.7557319224e-06;-2.75573571947e-06
12;"[<__main__.Word instance at 0x1256c9b48>
 <__main__.Word instance at 0x1256c99e0>
 <__main__.Word instance at 0x1256c9c20>
 <__main__.Word instance at 0x1256c9ab8>
 <__main__.Word instance at 0x1256c9d40>
 <__main__.Word instance at 0x1256c9b90>
 <__main__.Word instance at 0x1256c9e18>
 <__main__.Word instance at 0x1256c9c68>
 <__main__.Word instance at 0x1256c9ea8>
 <__main__.Word instance at 0x1256c9cb0>
 <__main__.Word instance at 0x1256c9f80>
 <__main__.Word instance at 0x1256c9d88>
 <__main__.Word instance at 0x1256c9fc8>]";Naima;3_0;False;False;"[['is'], ['is'], ['here'], ['pretend'], ['for'], ['inside'], ['that'], [""let's""], ['water'], ['special'], ['the'], ['the', 'animals']]";let'spretendthatinsidehereisisthespecialwaterfortheanimals;hereforthespecialwaterthatisistheanimalslet'sinsidepretend;2.08767569879e-09;-2.08767570116e-09
13;"[<__main__.Word instance at 0x1256c9ef0>
 <__main__.Word instance at 0x1256cd170>
 <__main__.Word instance at 0x1256cd2d8>
 <__main__.Word instance at 0x1256cd368>
 <__main__.Word instance at 0x1256cd200>]";Naima;3_0;False;False;"[['bees', 'wax'], [""there's""], ['here'], ['some']]";there'ssomebeeswaxhere;herethere'ssomebeeswax;0.0416666666667;-0.0425596144188
14;[<__main__.Word instance at 0x1256cd0e0>];Naima;3_0;False;True;[['yes']];yes;yes;1.0;0.0
15;"[<__main__.Word instance at 0x1256cd488>
 <__main__.Word instance at 0x1256cd710>
 <__main__.Word instance at 0x1256cd7e8>
 <__main__.Word instance at 0x1256cd128>
 <__main__.Word instance at 0x1256cd878>]";Naima;3_0;False;False;[['bees', 'wax'], ['out'], ['some'], ['came']];somebeeswaxcameout;someoutcamebeeswax;0.0416666666667;-0.0425596144188
16;[<__main__.Word instance at 0x1256cda70>];Naima;3_0;False;True;[['yes']];yes;yes;1.0;0.0
