,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x116b97878>
 <__main__.Word instance at 0x116b979e0>]",Alex,3_0,False,True,"[['hey'], ['hey']]",heyhey,heyhey,1.0,True,-0.0
1,1,[<__main__.Word instance at 0x116b97b90>],Alex,3_0,False,True,[['no']],no,no,1.0,False,-0.0
2,2,[<__main__.Word instance at 0x116b97dd0>],Alex,3_0,False,True,[['no']],no,no,1.0,False,-0.0
3,3,[<__main__.Word instance at 0x116b97f80>],Alex,3_0,False,True,[['no']],no,no,1.0,False,-0.0
4,4,[<__main__.Word instance at 0x109d63a70>],Alex,3_0,False,True,[['no']],no,no,1.0,False,-0.0
5,5,[<__main__.Word instance at 0x109d63cf8>],Alex,3_0,False,True,[['no']],no,no,1.0,False,-0.0
6,6,[<__main__.Word instance at 0x109d63758>],Alex,3_0,True,,,broke,,,NaN,NaN
7,7,[<__main__.Word instance at 0x109d63518>],Alex,3_0,False,True,[['no']],no,no,1.0,False,-0.0
8,8,[<__main__.Word instance at 0x109d63680>],Alex,3_0,True,,,nope,,,NaN,NaN
9,9,[<__main__.Word instance at 0x109d63878>],Alex,3_0,False,True,[['no']],no,no,1.0,False,-0.0
10,10,[<__main__.Word instance at 0x109bca5a8>],Alex,3_0,False,True,[['no']],no,no,1.0,False,-0.0
11,11,"[<__main__.Word instance at 0x109bcaa28>
 <__main__.Word instance at 0x109bca4d0>]",Alex,3_0,False,True,"[['no'], ['no']]",nono,nono,1.0,True,-0.0
12,12,"[<__main__.Word instance at 0x109bca998>
 <__main__.Word instance at 0x109bca878>
 <__main__.Word instance at 0x109bca368>]",Alex,3_0,False,False,"[['no'], ['play'], ['me']]",nomeplay,meplayno,0.166666666667,False,-0.1823215567939546
13,13,[<__main__.Word instance at 0x109bcca28>],Alex,3_0,False,True,[['Mommy']],Mommy,Mommy,1.0,False,-0.0
14,14,"[<__main__.Word instance at 0x109bcc9e0>
 <__main__.Word instance at 0x109bccc20>
 <__main__.Word instance at 0x109bccbd8>]",Alex,3_0,False,True,"[['Mommy'], ['Mommy'], ['you']]",youMommyMommy,youMommyMommy,0.333333333333,True,1.0986122886681098
15,15,"[<__main__.Word instance at 0x116b9d098>
 <__main__.Word instance at 0x116b9d128>
 <__main__.Word instance at 0x116b9d1b8>]",Alex,3_0,False,True,"[['break'], ['you'], ['it']]",youbreakit,youbreakit,0.166666666667,False,1.791759469228055
16,16,"[<__main__.Word instance at 0x116b9d2d8>
 <__main__.Word instance at 0x116b9d368>
 <__main__.Word instance at 0x116b9d3f8>]",Alex,3_0,True,,,myanimalbook,,,NaN,NaN
