num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x1199a6cb0>
 <__main__.Word instance at 0x1199a6e18>
 <__main__.Word instance at 0x1199a6ea8>
 <__main__.Word instance at 0x10c2ab560>
 <__main__.Word instance at 0x10c2aba70>
 <__main__.Word instance at 0x10c2ab7a0>
 <__main__.Word instance at 0x10c2abcf8>
 <__main__.Word instance at 0x10c2ab638>
 <__main__.Word instance at 0x10c2ab680>
 <__main__.Word instance at 0x10c2aba28>
 <__main__.Word instance at 0x10c2abf80>]";Lily;2_6;False;False;[['eat'], ['&-um'], ['this'], ['&-um'], ['the', 'water'], ['&-um'], ['this'], ['you'], ['the'], ['was']];youeatthisthis&-umwas&-umthe&-umthewater;youeatthewas&-umthisthis&-um&-umthewater;2.7557319224e-07;-2.75573230236e-07
1;"[<__main__.Word instance at 0x10c2ab488>
 <__main__.Word instance at 0x10c2ab3f8>
 <__main__.Word instance at 0x10c2ab440>
 <__main__.Word instance at 0x10c2ab878>
 <__main__.Word instance at 0x10c106cf8>]";Lily;2_6;False;False;[['eat'], ['will'], ['I'], ['this'], ['and']];andIwilleatthis;thisandIwilleat;0.00833333333333;-0.00836824967052
2;"[<__main__.Word instance at 0x10c112368>
 <__main__.Word instance at 0x10c112908>]";Lily;2_6;False;True;[['all'], ['set']];allset;allset;0.5;0.69314718056
3;[<__main__.Word instance at 0x10c112b48>];Lily;2_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
4;"[<__main__.Word instance at 0x10c112998>
 <__main__.Word instance at 0x10c114ab8>
 <__main__.Word instance at 0x10c114c68>]";Lily;2_6;False;False;[['is'], ['that'], ['who']];whoisthat;thatiswho;0.166666666667;-0.182321556794
5;[<__main__.Word instance at 0x10c1149e0>];Lily;2_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
6;"[<__main__.Word instance at 0x1199ae200>
 <__main__.Word instance at 0x1199ae290>
 <__main__.Word instance at 0x1199ae368>
 <__main__.Word instance at 0x1199ae440>]";Lily;2_6;False;False;[['him'], ['on'], ['must'], ['we']];wemustonhim;wemusthimon;0.0416666666667;-0.0425596144188
7;"[<__main__.Word instance at 0x1199ae638>
 <__main__.Word instance at 0x1199ae710>
 <__main__.Word instance at 0x1199ae7e8>
 <__main__.Word instance at 0x1199ae878>
 <__main__.Word instance at 0x1199ae950>
 <__main__.Word instance at 0x1199ae9e0>
 <__main__.Word instance at 0x1199aea70>
 <__main__.Word instance at 0x1199aeb00>
 <__main__.Word instance at 0x1199aeb90>
 <__main__.Word instance at 0x1199aec20>]";Lily;2_6;True;NaN;NaN;hekillLottieandhekilledLottieintoherbed;NaN;NaN;NaN
8;"[<__main__.Word instance at 0x1199aed40>
 <__main__.Word instance at 0x1199aedd0>
 <__main__.Word instance at 0x1199aee18>
 <__main__.Word instance at 0x1199aefc8>
 <__main__.Word instance at 0x1199aee60>]";Lily;2_6;True;NaN;NaN;yeahandthat'sNemo'sbed;NaN;NaN;NaN
9;"[<__main__.Word instance at 0x1199b4128>
 <__main__.Word instance at 0x1199b4200>
 <__main__.Word instance at 0x1199b42d8>]";Lily;2_6;False;False;[['here'], ['is'], ['it']];hereitis;itishere;0.166666666667;-0.182321556794
10;"[<__main__.Word instance at 0x1199b43b0>
 <__main__.Word instance at 0x1199b4248>
 <__main__.Word instance at 0x1199b4488>
 <__main__.Word instance at 0x1199b4320>
 <__main__.Word instance at 0x1199b4560>]";Lily;2_6;True;NaN;NaN;andhere'sthefish'sone;NaN;NaN;NaN
11;"[<__main__.Word instance at 0x1199b45f0>
 <__main__.Word instance at 0x1199b44d0>
 <__main__.Word instance at 0x1199b47e8>
 <__main__.Word instance at 0x1199b4680>]";Lily;2_6;False;False;"[['for'], [""here's""], ['one'], ['you']]";here'soneforyou;here'soneyoufor;0.0416666666667;-0.0425596144188
12;"[<__main__.Word instance at 0x1199b43f8>
 <__main__.Word instance at 0x1199b49e0>
 <__main__.Word instance at 0x1199b4ab8>
 <__main__.Word instance at 0x1199b4950>
 <__main__.Word instance at 0x1199b4cb0>
 <__main__.Word instance at 0x1199b47a0>
 <__main__.Word instance at 0x1199b4d40>
 <__main__.Word instance at 0x1199b4b00>
 <__main__.Word instance at 0x1199b4e18>
 <__main__.Word instance at 0x1199b4878>]";Lily;2_6;False;False;"[['for'], ['and'], ['is'], ['for'], ['this'], ['is'], ['me'], [""that's""], ['you'], ['this']]";thisisforyouandthat'sthisisforme;youthisisthisisformeandthat'sfor;2.7557319224e-07;-2.75573230236e-07
13;"[<__main__.Word instance at 0x1199b4d88>
 <__main__.Word instance at 0x1199b4fc8>]";Lily;2_6;False;True;[['mm'], ['mm']];mmmm;mmmm;0.5;0.69314718056
14;[<__main__.Word instance at 0x1199b4a28>];Lily;2_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
15;"[<__main__.Word instance at 0x1199b8248>
 <__main__.Word instance at 0x1199b8128>]";Lily;2_6;True;NaN;NaN;it'scool;NaN;NaN;NaN
16;[<__main__.Word instance at 0x1199b8320>];Lily;2_6;False;True;[['and']];and;and;1.0;0.0
17;"[<__main__.Word instance at 0x1199b8200>
 <__main__.Word instance at 0x1199b85f0>]";Lily;2_6;True;NaN;NaN;it'stomato;NaN;NaN;NaN
18;"[<__main__.Word instance at 0x1199b87e8>
 <__main__.Word instance at 0x1199b8680>
 <__main__.Word instance at 0x1199b8878>
 <__main__.Word instance at 0x1199b8050>]";Lily;2_6;False;False;[['for'], ['this'], ['you'], ['is']];thisisforyou;youthisisfor;0.0416666666667;-0.0425596144188
19;"[<__main__.Word instance at 0x1199b8908>
 <__main__.Word instance at 0x1199b8c68>
 <__main__.Word instance at 0x1199b8b00>]";Lily;2_6;False;False;[['is'], ['this'], ['for']];thisisfor;isthisfor;0.166666666667;-0.182321556794
20;"[<__main__.Word instance at 0x1199b8cb0>
 <__main__.Word instance at 0x1199b8f80>
 <__main__.Word instance at 0x1199b84d0>
 <__main__.Word instance at 0x1199b89e0>
 <__main__.Word instance at 0x1199b8fc8>]";Lily;2_6;True;NaN;NaN;it'sflutesIthinkand;NaN;NaN;NaN
