num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x117448e18>
 <__main__.Word instance at 0x117448f80>
 <__main__.Word instance at 0x10a80a560>
 <__main__.Word instance at 0x10a80aa70>
 <__main__.Word instance at 0x10a80a7a0>
 <__main__.Word instance at 0x10a80acf8>
 <__main__.Word instance at 0x10a80aa28>]";Violet;3_6;True;NaN;NaN;Momareyoumakinganewstring;NaN;NaN;NaN
1;[<__main__.Word instance at 0x10a80a8c0>];Violet;3_6;True;NaN;NaN;kite;NaN;NaN;NaN
2;"[<__main__.Word instance at 0x10a665cf8>
 <__main__.Word instance at 0x10a6715a8>
 <__main__.Word instance at 0x10a671a28>]";Violet;3_6;False;False;[['is'], ['this'], ['what']];whatisthis;isthiswhat;0.166666666667;-0.182321556794
3;"[<__main__.Word instance at 0x10a671b00>
 <__main__.Word instance at 0x10a671998>
 <__main__.Word instance at 0x11744e050>
 <__main__.Word instance at 0x11744e170>]";Violet;3_6;False;False;[['it'], ['what'], ['for'], ['is']];whatisitfor;isitwhatfor;0.0416666666667;-0.0425596144188
4;"[<__main__.Word instance at 0x11744e3b0>
 <__main__.Word instance at 0x11744e4d0>
 <__main__.Word instance at 0x11744e5f0>]";Violet;3_6;False;False;[['this'], ['is'], ['what']];whatisthis;isthiswhat;0.166666666667;-0.182321556794
5;"[<__main__.Word instance at 0x11744e830>
 <__main__.Word instance at 0x11744e950>
 <__main__.Word instance at 0x11744ea70>]";Violet;3_6;True;NaN;NaN;here'sakite;NaN;NaN;NaN
6;[<__main__.Word instance at 0x11744ec68>];Violet;3_6;True;NaN;NaN;kite;NaN;NaN;NaN
7;"[<__main__.Word instance at 0x11744ee60>
 <__main__.Word instance at 0x11744eef0>
 <__main__.Word instance at 0x11744efc8>]";Violet;3_6;False;True;[['it'], ['I'], ['see']];Iseeit;Iseeit;0.166666666667;1.79175946923
8;[<__main__.Word instance at 0x11744edd0>];Violet;3_6;True;NaN;NaN;movie;NaN;NaN;NaN
9;[<__main__.Word instance at 0x11744ecf8>];Violet;3_6;True;NaN;NaN;hey;NaN;NaN;NaN
10;[<__main__.Word instance at 0x117453128>];Violet;3_6;False;True;[['move']];move;move;1.0;0.0
11;[<__main__.Word instance at 0x117453290>];Violet;3_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
12;[<__main__.Word instance at 0x117453200>];Violet;3_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
13;[<__main__.Word instance at 0x1174532d8>];Violet;3_6;True;NaN;NaN;ball;NaN;NaN;NaN
14;[<__main__.Word instance at 0x1174533b0>];Violet;3_6;True;NaN;NaN;oops;NaN;NaN;NaN
15;[<__main__.Word instance at 0x117453050>];Violet;3_6;False;True;[['we']];we;we;1.0;0.0
16;[<__main__.Word instance at 0x117453560>];Violet;3_6;True;NaN;NaN;yum;NaN;NaN;NaN
17;"[<__main__.Word instance at 0x117453638>
 <__main__.Word instance at 0x117453878>
 <__main__.Word instance at 0x117453710>]";Violet;3_6;True;NaN;NaN;foodallover;NaN;NaN;NaN
18;[<__main__.Word instance at 0x1174537e8>];Violet;3_6;False;True;[['mama']];mama;mama;1.0;0.0
19;[<__main__.Word instance at 0x1174538c0>];Violet;3_6;True;NaN;NaN;bye;NaN;NaN;NaN
20;"[<__main__.Word instance at 0x117453998>
 <__main__.Word instance at 0x117453bd8>
 <__main__.Word instance at 0x117453a70>
 <__main__.Word instance at 0x117453cb0>
 <__main__.Word instance at 0x117453b48>]";Violet;3_6;False;False;[['book'], ['I'], ['now'], ['can'], ['read']];nowcanIreadbook;nowIcanbookread;0.00833333333333;-0.00836824967052
21;"[<__main__.Word instance at 0x117453c20>
 <__main__.Word instance at 0x117453e60>
 <__main__.Word instance at 0x117453488>
 <__main__.Word instance at 0x117453f38>
 <__main__.Word instance at 0x117453dd0>
 <__main__.Word instance at 0x117453ea8>]";Violet;3_6;False;False;[['get'], ['that'], ['bunnies'], ['from'], ['the', 'Easter']];getthatfromtheEasterbunnies;theEasterfromgetthatbunnies;0.00833333333333;-0.00836824967052
22;"[<__main__.Word instance at 0x117453cf8>
 <__main__.Word instance at 0x10a673a28>
 <__main__.Word instance at 0x10a673c68>]";Violet;3_6;True;NaN;NaN;yesIwant;NaN;NaN;NaN
23;[<__main__.Word instance at 0x10a673c20>];Violet;3_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
24;[<__main__.Word instance at 0x117457050>];Violet;3_6;True;NaN;NaN;yes;NaN;NaN;NaN
25;"[<__main__.Word instance at 0x117457248>
 <__main__.Word instance at 0x1174572d8>]";Violet;3_6;False;True;[['Easter', 'bunnies']];Easterbunnies;Easterbunnies;1.0;0.0
26;[<__main__.Word instance at 0x117457170>];Violet;3_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
27;[<__main__.Word instance at 0x1174573f8>];Violet;3_6;False;True;[['two']];two;two;1.0;0.0
28;[<__main__.Word instance at 0x117457320>];Violet;3_6;False;True;[['where']];where;where;1.0;0.0
29;"[<__main__.Word instance at 0x117457098>
 <__main__.Word instance at 0x1174576c8>]";Violet;3_6;True;NaN;NaN;&-uhAmerica;NaN;NaN;NaN
30;[<__main__.Word instance at 0x1174577a0>];Violet;3_6;False;True;[['three']];three;three;1.0;0.0
31;[<__main__.Word instance at 0x117457950>];Violet;3_6;True;NaN;NaN;four;NaN;NaN;NaN
32;[<__main__.Word instance at 0x1174579e0>];Violet;3_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
33;[<__main__.Word instance at 0x117457b90>];Violet;3_6;True;NaN;NaN;five;NaN;NaN;NaN
34;[<__main__.Word instance at 0x117457cf8>];Violet;3_6;True;NaN;NaN;six;NaN;NaN;NaN
35;[<__main__.Word instance at 0x117457e18>];Violet;3_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
36;[<__main__.Word instance at 0x117457ef0>];Violet;3_6;True;NaN;NaN;seven;NaN;NaN;NaN
37;[<__main__.Word instance at 0x117457f80>];Violet;3_6;True;NaN;NaN;eight;NaN;NaN;NaN
38;[<__main__.Word instance at 0x117457cb0>];Violet;3_6;True;NaN;NaN;yeh;NaN;NaN;NaN
39;[<__main__.Word instance at 0x11745b1b8>];Violet;3_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
40;"[<__main__.Word instance at 0x11745b290>
 <__main__.Word instance at 0x11745b320>
 <__main__.Word instance at 0x11745b200>
 <__main__.Word instance at 0x11745b518>
 <__main__.Word instance at 0x11745b3f8>]";Violet;3_6;True;NaN;NaN;readalltheotherbooks;NaN;NaN;NaN
41;"[<__main__.Word instance at 0x11745b170>
 <__main__.Word instance at 0x11745b6c8>
 <__main__.Word instance at 0x11745b7a0>]";Violet;3_6;True;NaN;NaN;thatDaddyread;NaN;NaN;NaN
