,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x114393dd0>],Alex,2_0,False,True,[['Elmo']],Elmo,Elmo,1.0,False,-0.0
1,1,[<__main__.Word instance at 0x114393fc8>],Alex,2_0,False,True,[['apple']],apple,apple,1.0,False,-0.0
2,2,"[<__main__.Word instance at 0x1063cb908>
 <__main__.Word instance at 0x1063cb998>]",Alex,2_0,False,True,"[['a', 'star']]",astar,astar,1.0,False,-0.0
3,3,"[<__main__.Word instance at 0x1063cbb00>
 <__main__.Word instance at 0x1063bfcf8>]",Alex,2_0,False,True,"[['right'], ['there']]",rightthere,rightthere,0.5,False,0.6931471805599453
4,4,[<__main__.Word instance at 0x1063cdbd8>],Alex,2_0,False,True,[['that']],that,that,1.0,False,-0.0
5,5,"[<__main__.Word instance at 0x106564560>
 <__main__.Word instance at 0x106564a70>]",Alex,2_0,False,True,"[['right'], ['there']]",rightthere,rightthere,0.5,False,0.6931471805599453
6,6,[<__main__.Word instance at 0x106564cf8>],Alex,2_0,False,True,[['those']],those,those,1.0,False,-0.0
7,7,"[<__main__.Word instance at 0x106564758>
 <__main__.Word instance at 0x1065648c0>]",Alex,2_0,False,False,"[['look'], ['that']]",lookthat,thatlook,0.5,False,-0.6931471805599453
8,8,[<__main__.Word instance at 0x106564680>],Alex,2_0,False,True,[['this']],this,this,1.0,False,-0.0
9,9,[<__main__.Word instance at 0x114399320>],Alex,2_0,False,True,[['that']],that,that,1.0,False,-0.0
10,10,"[<__main__.Word instance at 0x114399560>
 <__main__.Word instance at 0x114399680>]",Alex,2_0,False,False,"[['that'], [""who's""]]",who'sthat,thatwho's,0.5,False,-0.6931471805599453
11,11,"[<__main__.Word instance at 0x1143998c0>
 <__main__.Word instance at 0x1143999e0>]",Alex,2_0,False,False,"[['this'], [""what's""]]",what'sthis,thiswhat's,0.5,False,-0.6931471805599453
12,12,"[<__main__.Word instance at 0x114399b90>
 <__main__.Word instance at 0x114399c68>]",Alex,2_0,False,False,"[['what'], ['that']]",whatthat,thatwhat,0.5,False,-0.6931471805599453
13,13,"[<__main__.Word instance at 0x114399e60>
 <__main__.Word instance at 0x114399ef0>]",Alex,2_0,False,False,"[[""what's""], ['that']]",what'sthat,thatwhat's,0.5,False,-0.6931471805599453
14,14,"[<__main__.Word instance at 0x114399fc8>
 <__main__.Word instance at 0x114399ea8>]",Alex,2_0,False,False,"[[""what's""], ['this']]",what'sthis,thiswhat's,0.5,False,-0.6931471805599453
15,15,"[<__main__.Word instance at 0x11439f128>
 <__main__.Word instance at 0x11439f200>
 <__main__.Word instance at 0x11439f098>]",Alex,2_0,False,True,"[['under'], ['the', 'tree']]",underthetree,underthetree,0.5,False,0.6931471805599453
16,16,[<__main__.Word instance at 0x11439f170>],Alex,2_0,False,True,[['that']],that,that,1.0,False,-0.0
17,17,[<__main__.Word instance at 0x11439f248>],Alex,2_0,False,True,[['yep']],yep,yep,1.0,False,-0.0
18,18,[<__main__.Word instance at 0x11439f560>],Alex,2_0,False,True,[['smooth']],smooth,smooth,1.0,False,-0.0
19,19,"[<__main__.Word instance at 0x11439f638>
 <__main__.Word instance at 0x11439f4d0>]",Alex,2_0,False,True,"[['a', 'boat']]",aboat,aboat,1.0,False,-0.0
20,20,[<__main__.Word instance at 0x11439f5a8>],Alex,2_0,False,True,[['apple']],apple,apple,1.0,False,-0.0
21,21,"[<__main__.Word instance at 0x11439f320>
 <__main__.Word instance at 0x11439f830>]",Alex,2_0,False,True,"[['no'], ['no']]",nono,nono,1.0,True,-0.0
22,22,[<__main__.Word instance at 0x11439fa70>],Alex,2_0,False,True,[['no']],no,no,1.0,False,-0.0
23,23,[<__main__.Word instance at 0x11439fb48>],Alex,2_0,False,True,[['pumpkin']],pumpkin,pumpkin,1.0,False,-0.0
24,24,[<__main__.Word instance at 0x11439fab8>],Alex,2_0,False,True,[['one']],one,one,1.0,False,-0.0
25,25,[<__main__.Word instance at 0x11439fb90>],Alex,2_0,False,True,[['one']],one,one,1.0,False,-0.0
