,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x1092a5560>
 <__main__.Word instance at 0x1092a5a70>]",Naima,1_6,False,True,"[['Naima'], ['Naima']]",NaimaNaima,NaimaNaima,1.0,True,-0.0
1,1,[<__main__.Word instance at 0x1092a5cf8>],Naima,1_6,False,True,[['athlete']],athlete,athlete,1.0,False,-0.0
2,2,"[<__main__.Word instance at 0x1092a5758>
 <__main__.Word instance at 0x1092a58c0>]",Naima,1_6,False,True,"[['Genaba'], ['eat']]",Genabaeat,Genabaeat,0.5,False,0.6931471805599453
3,3,"[<__main__.Word instance at 0x11815d3b0>
 <__main__.Word instance at 0x11815d518>
 <__main__.Word instance at 0x11815d5a8>
 <__main__.Word instance at 0x11815d710>]",Naima,1_6,False,False,"[['stamp'], ['stamp'], ['eating'], ['Genaba']]",Genabaeatingstampstamp,eatingstampstampGenaba,0.0833333333333,True,-0.08701137698962981
4,4,"[<__main__.Word instance at 0x11815d9e0>
 <__main__.Word instance at 0x11815db00>
 <__main__.Word instance at 0x11815dc20>]",Naima,1_6,False,True,"[['with'], ['with'], ['with']]",withwithwith,withwithwith,1.0,True,-0.0
5,5,"[<__main__.Word instance at 0x11815de60>
 <__main__.Word instance at 0x11815df80>
 <__main__.Word instance at 0x109100cf8>]",Naima,1_6,False,True,"[['Badega'], ['Badega'], ['Badega']]",BadegaBadegaBadega,BadegaBadegaBadega,1.0,True,-0.0
6,6,[<__main__.Word instance at 0x10910c6c8>],Naima,1_6,False,True,[['animals']],animals,animals,1.0,False,-0.0
7,7,"[<__main__.Word instance at 0x10910c998>
 <__main__.Word instance at 0x10910cb48>
 <__main__.Word instance at 0x10910cc20>
 <__main__.Word instance at 0x1181630e0>
 <__main__.Word instance at 0x118163200>
 <__main__.Word instance at 0x118163320>
 <__main__.Word instance at 0x1181634d0>
 <__main__.Word instance at 0x118163368>]",Naima,1_6,False,False,"[['Alan'], ['noise'], ['noise'], ['noise'], ['Alan'], ['noise'], ['Alan'], ['Alan']]",AlannoisenoiseAlannoiseAlanAlannoise,noiseAlanAlanAlannoiseAlannoisenoise,0.0142857142857,True,-0.014388737452099556
8,8,"[<__main__.Word instance at 0x118163560>
 <__main__.Word instance at 0x1181638c0>
 <__main__.Word instance at 0x118163758>]",Naima,1_6,False,True,"[['animals'], ['visited'], ['with']]",withanimalsvisited,withanimalsvisited,0.166666666667,False,1.791759469228055
9,9,[<__main__.Word instance at 0x118163950>],Naima,1_6,False,True,[['Daddy']],Daddy,Daddy,1.0,False,-0.0
10,10,"[<__main__.Word instance at 0x118163b48>
 <__main__.Word instance at 0x118163ea8>]",Naima,1_6,False,True,"[['Daddy'], ['come']]",Daddycome,Daddycome,0.5,False,0.6931471805599453
11,11,"[<__main__.Word instance at 0x118163f38>
 <__main__.Word instance at 0x118163c68>]",Naima,1_6,False,True,"[['toes'], ['toes']]",toestoes,toestoes,1.0,True,-0.0
12,12,"[<__main__.Word instance at 0x118163ef0>
 <__main__.Word instance at 0x118167050>]",Naima,1_6,False,True,"[['feet'], ['feet']]",feetfeet,feetfeet,1.0,True,-0.0
13,13,[<__main__.Word instance at 0x118167248>],Naima,1_6,False,True,[['feet']],feet,feet,1.0,False,-0.0
14,14,"[<__main__.Word instance at 0x118167320>
 <__main__.Word instance at 0x1181673f8>
 <__main__.Word instance at 0x118167290>
 <__main__.Word instance at 0x1181674d0>]",Naima,1_6,False,False,"[['Daddy'], ['follow'], ['baby', 'Alex']]",followbabyAlexDaddy,DaddybabyAlexfollow,0.166666666667,False,-0.1823215567939546
15,15,"[<__main__.Word instance at 0x1181675a8>
 <__main__.Word instance at 0x118167440>
 <__main__.Word instance at 0x118167680>]",Naima,1_6,False,False,"[['Alan'], ['Alan'], ['noise']]",AlanAlannoise,noiseAlanAlan,0.333333333333,True,-0.4054651081081643
16,16,"[<__main__.Word instance at 0x118167638>
 <__main__.Word instance at 0x1181678c0>]",Naima,1_6,False,True,"[['boy'], ['boy']]",boyboy,boyboy,1.0,True,-0.0
17,17,"[<__main__.Word instance at 0x118167950>
 <__main__.Word instance at 0x118167a70>
 <__main__.Word instance at 0x118167758>
 <__main__.Word instance at 0x118167b90>]",Naima,1_6,False,False,"[['rides'], ['noise'], ['ride'], ['noisy']]",ridesridenoisynoise,noiseridesnoisyride,0.0416666666667,False,-0.04255961441879589
18,18,"[<__main__.Word instance at 0x118167c68>
 <__main__.Word instance at 0x1181675f0>
 <__main__.Word instance at 0x118167d40>
 <__main__.Word instance at 0x118167bd8>]",Naima,1_6,False,False,"[['grass'], ['cut'], ['grass'], ['cut']]",grasscutcutgrass,grassgrasscutcut,0.166666666667,True,-0.1823215567939546
19,19,"[<__main__.Word instance at 0x118167cb0>
 <__main__.Word instance at 0x118167ef0>]",Naima,1_6,False,True,"[['noisy'], ['noisy']]",noisynoisy,noisynoisy,1.0,True,-0.0
20,20,"[<__main__.Word instance at 0x118167e60>
 <__main__.Word instance at 0x118167f38>]",Naima,1_6,False,True,"[['Alan'], ['noisy']]",Alannoisy,Alannoisy,0.5,False,0.6931471805599453
21,21,"[<__main__.Word instance at 0x118167878>
 <__main__.Word instance at 0x11816a050>
 <__main__.Word instance at 0x11816a128>
 <__main__.Word instance at 0x11816a1b8>
 <__main__.Word instance at 0x11816a290>
 <__main__.Word instance at 0x11816a098>]",Naima,1_6,False,False,"[['make'], ['noise'], ['noise'], ['make'], ['noise'], ['make']]",makenoisemakenoisemakenoise,makenoisenoisemakenoisemake,0.05,True,-0.051293294387550585
22,22,"[<__main__.Word instance at 0x11816a2d8>
 <__main__.Word instance at 0x11816a5a8>
 <__main__.Word instance at 0x11816a638>]",Naima,1_6,False,True,"[['under'], ['under'], ['under']]",underunderunder,underunderunder,1.0,True,-0.0
23,23,"[<__main__.Word instance at 0x11816a6c8>
 <__main__.Word instance at 0x11816a3b0>]",Naima,1_6,False,True,"[['come'], ['Daddy']]",Daddycome,Daddycome,0.5,False,0.6931471805599453
24,24,[<__main__.Word instance at 0x11816a758>],Naima,1_6,False,True,[['Mommy']],Mommy,Mommy,1.0,False,-0.0
25,25,"[<__main__.Word instance at 0x11816a200>
 <__main__.Word instance at 0x11816aab8>
 <__main__.Word instance at 0x11816a3f8>
 <__main__.Word instance at 0x11816ab48>
 <__main__.Word instance at 0x11816aa28>
 <__main__.Word instance at 0x11816ad40>
 <__main__.Word instance at 0x11816abd8>
 <__main__.Word instance at 0x11816add0>
 <__main__.Word instance at 0x11816a878>]",Naima,1_6,False,False,"[['ding', 'dong'], ['ding', 'dong'], ['sing'], ['ding', 'dong'], ['sing'], ['bell']]",singsingdingdongdingdongdingdongbell,bellsingdingdongsingdingdongdingdong,0.0166666666667,True,-0.01680711831638129
26,26,[<__main__.Word instance at 0x11816ae60>],Naima,1_6,False,True,[['somebody']],somebody,somebody,1.0,False,-0.0
27,27,[<__main__.Word instance at 0x11816a950>],Naima,1_6,False,True,[['bell']],bell,bell,1.0,False,-0.0
28,28,"[<__main__.Word instance at 0x11816d098>
 <__main__.Word instance at 0x11816d128>]",Naima,1_6,False,True,"[['ribbon'], ['ribbon']]",ribbonribbon,ribbonribbon,1.0,True,-0.0
29,29,"[<__main__.Word instance at 0x11816d320>
 <__main__.Word instance at 0x11816d518>
 <__main__.Word instance at 0x11816d1b8>]",Naima,1_6,False,True,"[['ribbon'], ['under'], ['under']]",underribbonunder,underribbonunder,0.333333333333,True,1.0986122886681098
30,30,"[<__main__.Word instance at 0x11816d488>
 <__main__.Word instance at 0x11816d680>
 <__main__.Word instance at 0x11816d560>
 <__main__.Word instance at 0x11816d7a0>]",Naima,1_6,False,False,"[['koala'], ['koala'], ['hide'], ['hide']]",koalahidehidekoala,koalakoalahidehide,0.166666666667,True,-0.1823215567939546
31,31,"[<__main__.Word instance at 0x11816d878>
 <__main__.Word instance at 0x11816d908>]",Naima,1_6,False,False,"[['carrot'], ['kiss']]",kisscarrot,carrotkiss,0.5,False,-0.6931471805599453
32,32,"[<__main__.Word instance at 0x11816dcb0>
 <__main__.Word instance at 0x11816da70>
 <__main__.Word instance at 0x11816dd40>
 <__main__.Word instance at 0x11816d7e8>]",Naima,1_6,False,False,"[['carrot'], ['eat'], ['carrot'], ['eat']]",carroteatcarroteat,carroteateatcarrot,0.166666666667,True,-0.1823215567939546
33,33,"[<__main__.Word instance at 0x11816dc20>
 <__main__.Word instance at 0x11816dea8>
 <__main__.Word instance at 0x11816dd88>]",Naima,1_6,False,False,"[['eat'], ['carrot'], ['eat']]",eatcarroteat,carroteateat,0.333333333333,True,-0.4054651081081643
34,34,[<__main__.Word instance at 0x118171098>],Naima,1_6,False,True,[['hand']],hand,hand,1.0,False,-0.0
35,35,"[<__main__.Word instance at 0x118171050>
 <__main__.Word instance at 0x118171710>]",Naima,1_6,False,True,"[['feed'], ['feed']]",feedfeed,feedfeed,1.0,True,-0.0
