num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x1186d4680>
 <__main__.Word instance at 0x1186d47e8>]";Violet;3_0;False;True;[['now'], ['what']];nowwhat;nowwhat;0.5;0.69314718056
1;"[<__main__.Word instance at 0x1186d49e0>
 <__main__.Word instance at 0x1186d4b90>]";Violet;3_0;False;False;[['can'], ['you']];canyou;youcan;0.5;-0.69314718056
2;"[<__main__.Word instance at 0x1186d4d88>
 <__main__.Word instance at 0x1186d4e18>
 <__main__.Word instance at 0x1186d4ea8>
 <__main__.Word instance at 0x1186d4f38>]";Violet;3_0;False;False;[['you'], ['can'], ['read', 'this']];canyoureadthis;youcanreadthis;0.166666666667;-0.182321556794
3;"[<__main__.Word instance at 0x1088edcf8>
 <__main__.Word instance at 0x108a92560>
 <__main__.Word instance at 0x108a92a70>]";Violet;3_0;False;False;[['mom'], ['goes'], ['here']];momgoeshere;heremomgoes;0.166666666667;-0.182321556794
4;"[<__main__.Word instance at 0x108a92cf8>
 <__main__.Word instance at 0x108a92a28>
 <__main__.Word instance at 0x108a92758>
 <__main__.Word instance at 0x108a928c0>
 <__main__.Word instance at 0x108a929e0>
 <__main__.Word instance at 0x108a92680>]";Violet;3_0;False;False;[['you'], ['that'], ['now'], ['book'], ['read'], ['can']];nowcanyoureadthatbook;thatbookcanyoureadnow;0.00138888888889;-0.00138985428905
5;"[<__main__.Word instance at 0x108a924d0>
 <__main__.Word instance at 0x108a92488>
 <__main__.Word instance at 0x108a923f8>]";Violet;3_0;False;False;[['can'], ['now'], ['you']];nowcanyou;youcannow;0.166666666667;-0.182321556794
6;"[<__main__.Word instance at 0x108a92f80>
 <__main__.Word instance at 0x1088f96c8>]";Violet;3_0;False;False;[['we'], ['can']];canwe;wecan;0.5;-0.69314718056
7;"[<__main__.Word instance at 0x1088f9a28>
 <__main__.Word instance at 0x1088f9908>]";Violet;3_0;False;False;[['it'], ['read']];readit;itread;0.5;-0.69314718056
8;"[<__main__.Word instance at 0x1088f9878>
 <__main__.Word instance at 0x1088f9b00>]";Violet;3_0;False;True;[['duck'], ['a']];aduck;aduck;0.5;0.69314718056
9;[<__main__.Word instance at 0x1088f9998>];Violet;3_0;False;True;[['frog']];frog;frog;1.0;0.0
10;"[<__main__.Word instance at 0x1186db128>
 <__main__.Word instance at 0x1186db1b8>]";Violet;3_0;False;True;"[[""what's""], ['yeah']]";yeahwhat's;yeahwhat's;0.5;0.69314718056
11;"[<__main__.Word instance at 0x1186db2d8>
 <__main__.Word instance at 0x1186db368>
 <__main__.Word instance at 0x1186db3f8>
 <__main__.Word instance at 0x1186db488>]";Violet;3_0;False;True;[['this', 'page'], ['not'], ['on']];notonthispage;notonthispage;0.166666666667;1.79175946923
12;"[<__main__.Word instance at 0x1186db5a8>
 <__main__.Word instance at 0x1186db5f0>
 <__main__.Word instance at 0x1186db710>
 <__main__.Word instance at 0x1186db7e8>]";Violet;3_0;False;True;[['on'], ['not'], ['this', 'page']];notonthispage;notonthispage;0.166666666667;1.79175946923
13;"[<__main__.Word instance at 0x1186db908>
 <__main__.Word instance at 0x1186db998>
 <__main__.Word instance at 0x1186dba70>
 <__main__.Word instance at 0x1186dbb48>]";Violet;3_0;False;True;[['on'], ['not'], ['this', 'page']];notonthispage;notonthispage;0.166666666667;1.79175946923
14;"[<__main__.Word instance at 0x1186dbab8>
 <__main__.Word instance at 0x1186dbcf8>]";Violet;3_0;False;True;[['one'], ['two']];onetwo;onetwo;0.5;0.69314718056
15;"[<__main__.Word instance at 0x1186dbdd0>
 <__main__.Word instance at 0x1186dbc68>
 <__main__.Word instance at 0x1186dbe60>
 <__main__.Word instance at 0x1186dbd40>]";Violet;3_0;False;False;"[[""there's""], ['in'], ['the', 'boat']]";there'sintheboat;inthere'stheboat;0.166666666667;-0.182321556794
16;"[<__main__.Word instance at 0x1088fbc68>
 <__main__.Word instance at 0x1088fb9e0>
 <__main__.Word instance at 0x1088fbc20>
 <__main__.Word instance at 0x1088fbbd8>]";Violet;3_0;False;True;[['not'], ['this', 'page'], ['on']];notonthispage;notonthispage;0.166666666667;1.79175946923
17;"[<__main__.Word instance at 0x1186df098>
 <__main__.Word instance at 0x1186df170>
 <__main__.Word instance at 0x1186df248>
 <__main__.Word instance at 0x1186df0e0>]";Violet;3_0;False;True;[['this', 'page'], ['not'], ['on']];notonthispage;notonthispage;0.166666666667;1.79175946923
18;"[<__main__.Word instance at 0x1186df050>
 <__main__.Word instance at 0x1186df518>
 <__main__.Word instance at 0x1186df1b8>]";Violet;3_0;False;False;[['on'], ['this'], ['not']];notonthis;thisonnot;0.166666666667;-0.182321556794
19;"[<__main__.Word instance at 0x1186df290>
 <__main__.Word instance at 0x1186df680>
 <__main__.Word instance at 0x1186df3f8>
 <__main__.Word instance at 0x1186df830>]";Violet;3_0;False;True;[['not'], ['this', 'page'], ['on']];notonthispage;notonthispage;0.166666666667;1.79175946923
20;[<__main__.Word instance at 0x1186df950>];Violet;3_0;False;True;[['four']];four;four;1.0;0.0
21;"[<__main__.Word instance at 0x1186dfab8>
 <__main__.Word instance at 0x1186df8c0>]";Violet;3_0;False;False;[['read'], ['it']];readit;itread;0.5;-0.69314718056
22;[<__main__.Word instance at 0x1186df560>];Violet;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
23;[<__main__.Word instance at 0x1186dfb00>];Violet;3_0;False;True;[['bird']];bird;bird;1.0;0.0
24;[<__main__.Word instance at 0x1186dfbd8>];Violet;3_0;False;True;[['deer']];deer;deer;1.0;0.0
25;"[<__main__.Word instance at 0x1186dfcb0>
 <__main__.Word instance at 0x1186dff38>
 <__main__.Word instance at 0x1186df7e8>
 <__main__.Word instance at 0x1186dff80>
 <__main__.Word instance at 0x1186dfe60>
 <__main__.Word instance at 0x1186e3128>
 <__main__.Word instance at 0x1186e3200>
 <__main__.Word instance at 0x1186e3290>]";Violet;3_0;False;False;"[['down'], ['upside'], ['be'], ['can'], ['as'], ['busy'], ['and'], [""he's""]]";upsidedownandhe'sbusyascanbe;asbusybeanddowncanupsidehe's;2.48015873016e-05;-2.4801894866e-05
26;"[<__main__.Word instance at 0x1186e3488>
 <__main__.Word instance at 0x1186e3320>]";Violet;3_0;False;True;[['purple'], ['triangle']];purpletriangle;purpletriangle;0.5;0.69314718056
27;[<__main__.Word instance at 0x1186e35a8>];Violet;3_0;False;True;[['everything']];everything;everything;1.0;0.0
28;[<__main__.Word instance at 0x1186e34d0>];Violet;3_0;False;True;[['everything']];everything;everything;1.0;0.0
29;[<__main__.Word instance at 0x1186e3560>];Violet;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
30;"[<__main__.Word instance at 0x1186e30e0>
 <__main__.Word instance at 0x1186e3b90>
 <__main__.Word instance at 0x1186e38c0>]";Violet;3_0;False;True;[['them'], ['look', 'at']];lookatthem;lookatthem;0.5;0.69314718056
31;"[<__main__.Word instance at 0x1186e39e0>
 <__main__.Word instance at 0x1186e3ea8>
 <__main__.Word instance at 0x1186e3e60>
 <__main__.Word instance at 0x1186e6050>]";Violet;3_0;False;True;[['this', 'page'], ['on'], ['not']];notonthispage;notonthispage;0.166666666667;1.79175946923
