,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x11eac8878>],Ethan,2_6,False,True,[['&-uh']],&-uh,&-uh,1.0,False,-0.0
1,1,"[<__main__.Word instance at 0x11eac8a28>
 <__main__.Word instance at 0x11eac8b48>
 <__main__.Word instance at 0x11eac8c20>]",Ethan,2_6,False,True,"[['there'], ['I', 'am']]",thereIam,thereIam,0.5,False,0.6931471805599453
2,2,"[<__main__.Word instance at 0x11eac8dd0>
 <__main__.Word instance at 0x11eac8e60>
 <__main__.Word instance at 0x11eac8ef0>
 <__main__.Word instance at 0x11eac8f80>
 <__main__.Word instance at 0x11eac8fc8>
 <__main__.Word instance at 0x1117dd560>]",Ethan,2_6,False,False,"[['my'], ['bottom'], ['my'], ['of'], ['I'], ['see']]",Iseemybottomofmy,myIseeofbottommy,0.00277777777778,True,-0.002781642961876803
3,3,"[<__main__.Word instance at 0x1117dd7a0>
 <__main__.Word instance at 0x1117ddcf8>
 <__main__.Word instance at 0x1117dda28>]",Ethan,2_6,False,True,"[['no'], ['&-uh'], ['no']]",&-uhnono,&-uhnono,0.333333333333,True,1.0986122886681098
4,4,"[<__main__.Word instance at 0x1117dd8c0>
 <__main__.Word instance at 0x1117dd680>]",Ethan,2_6,False,True,"[['no'], ['no']]",nono,nono,1.0,True,-0.0
5,5,"[<__main__.Word instance at 0x1117dd518>
 <__main__.Word instance at 0x1117dd4d0>
 <__main__.Word instance at 0x1117dd878>]",Ethan,2_6,False,False,"[['with'], ['play'], [""let's""]]",let'splaywith,withlet'splay,0.166666666667,False,-0.1823215567939546
6,6,[<__main__.Word instance at 0x1117dd488>],Ethan,2_6,False,True,[['no']],no,no,1.0,False,-0.0
7,7,"[<__main__.Word instance at 0x111638cf8>
 <__main__.Word instance at 0x111646c20>
 <__main__.Word instance at 0x1116469e0>
 <__main__.Word instance at 0x111646ab8>]",Ethan,2_6,False,False,"[['no'], [""it's""], ['a'], ['fountain']]",noit'safountain,anoit'sfountain,0.0416666666667,False,-0.04255961441879589
8,8,[<__main__.Word instance at 0x111646c68>],Ethan,2_6,False,True,[['no']],no,no,1.0,False,-0.0
9,9,"[<__main__.Word instance at 0x111644368>
 <__main__.Word instance at 0x111644998>
 <__main__.Word instance at 0x111644c20>
 <__main__.Word instance at 0x111644908>
 <__main__.Word instance at 0x111644878>
 <__main__.Word instance at 0x11eacf128>]",Ethan,2_6,False,False,"[['fountain'], ['a'], [""it's""], ['on'], ['the'], ['no']]",noit'saonthefountain,thenoit'safountainon,0.00138888888889,False,-0.0013898542890543016
10,10,"[<__main__.Word instance at 0x11eacf248>
 <__main__.Word instance at 0x11eacf2d8>
 <__main__.Word instance at 0x11eacf368>
 <__main__.Word instance at 0x11eacf3b0>
 <__main__.Word instance at 0x11eacf4d0>
 <__main__.Word instance at 0x11eacf440>
 <__main__.Word instance at 0x11eacf5f0>]",Ethan,2_6,False,False,"[[""there's""], ['top'], ['of'], ['a', 'boulder', 'on'], ['no']]",nothere'saboulderontopof,ofaboulderonthere'snotop,0.00833333333333,False,-0.00836824967051658
11,11,[<__main__.Word instance at 0x11eacf6c8>],Ethan,2_6,False,True,[['no']],no,no,1.0,False,-0.0
12,12,"[<__main__.Word instance at 0x11eacf8c0>
 <__main__.Word instance at 0x11eacf950>
 <__main__.Word instance at 0x11eacf830>
 <__main__.Word instance at 0x11eacfb48>
 <__main__.Word instance at 0x11eacf9e0>
 <__main__.Word instance at 0x11eacfc20>]",Ethan,2_6,False,False,"[['different'], ['&-uh'], ['elephant'], ['of'], ['no'], ['kind']]",&-uhnodifferentkindofelephant,kindof&-uhdifferentnoelephant,0.00138888888889,False,-0.0013898542890543016
13,13,[<__main__.Word instance at 0x11eacfbd8>],Ethan,2_6,False,True,[['no']],no,no,1.0,False,-0.0
14,14,[<__main__.Word instance at 0x11eacfb00>],Ethan,2_6,False,True,[['no']],no,no,1.0,False,-0.0
15,15,[<__main__.Word instance at 0x11eacff80>],Ethan,2_6,False,True,[['truck']],truck,truck,1.0,False,-0.0
16,16,"[<__main__.Word instance at 0x11eacfef0>
 <__main__.Word instance at 0x11eacffc8>
 <__main__.Word instance at 0x11eacfc68>]",Ethan,2_6,False,False,"[['truck'], ['only'], ['a']]",onlyatruck,onlytrucka,0.166666666667,False,-0.1823215567939546
17,17,[<__main__.Word instance at 0x11ead3170>],Ethan,2_6,False,True,[['oh']],oh,oh,1.0,False,-0.0
18,18,"[<__main__.Word instance at 0x11ead30e0>
 <__main__.Word instance at 0x11ead3320>]",Ethan,2_6,False,False,"[['this'], [""what's""]]",what'sthis,thiswhat's,0.5,False,-0.6931471805599453
19,19,"[<__main__.Word instance at 0x11ead3290>
 <__main__.Word instance at 0x11ead3488>
 <__main__.Word instance at 0x11ead3368>]",Ethan,2_6,False,True,"[['magnet'], ['he', 'needs']]",heneedsmagnet,heneedsmagnet,0.5,False,0.6931471805599453
20,20,"[<__main__.Word instance at 0x11ead3680>
 <__main__.Word instance at 0x11ead37e8>]",Ethan,2_6,False,False,"[[""what's""], ['up']]",what'sup,upwhat's,0.5,False,-0.6931471805599453
