,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x117444878>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,False,-0.0
1,1,[<__main__.Word instance at 0x1174449e0>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,False,-0.0
2,2,[<__main__.Word instance at 0x117444b00>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,False,-0.0
3,3,[<__main__.Word instance at 0x117444c20>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,False,-0.0
4,4,[<__main__.Word instance at 0x117444d40>],Violet,1_6,False,True,[['this']],this,this,1.0,False,-0.0
5,5,[<__main__.Word instance at 0x117444e60>],Violet,1_6,False,True,[['baby']],baby,baby,1.0,False,-0.0
6,6,[<__main__.Word instance at 0x117444f80>],Violet,1_6,False,True,[['by']],by,by,1.0,False,-0.0
7,7,[<__main__.Word instance at 0x10a551a70>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,False,-0.0
8,8,[<__main__.Word instance at 0x10a551cf8>],Violet,1_6,False,True,[['spank']],spank,spank,1.0,False,-0.0
9,9,[<__main__.Word instance at 0x10a551908>],Violet,1_6,False,True,[['spank']],spank,spank,1.0,False,-0.0
10,10,[<__main__.Word instance at 0x10a551710>],Violet,1_6,False,True,[['spank']],spank,spank,1.0,False,-0.0
11,11,[<__main__.Word instance at 0x10a551758>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,False,-0.0
12,12,[<__main__.Word instance at 0x10a5515a8>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,False,-0.0
13,13,[<__main__.Word instance at 0x10a551440>],Violet,1_6,False,True,[['no']],no,no,1.0,False,-0.0
14,14,[<__main__.Word instance at 0x10a5514d0>],Violet,1_6,False,True,[['no']],no,no,1.0,False,-0.0
15,15,[<__main__.Word instance at 0x10a551518>],Violet,1_6,False,True,[['no']],no,no,1.0,False,-0.0
16,16,[<__main__.Word instance at 0x10a3baa28>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,False,-0.0
17,17,[<__main__.Word instance at 0x10a3bac68>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,False,-0.0
18,18,"[<__main__.Word instance at 0x10a3b8998>
 <__main__.Word instance at 0x10a3b8878>]",Violet,1_6,False,True,"[['guitar'], [""daddy's""]]",daddy'sguitar,daddy'sguitar,0.5,False,0.6931471805599453
19,19,[<__main__.Word instance at 0x11744a050>],Violet,1_6,False,True,[['butterfly']],butterfly,butterfly,1.0,False,-0.0
20,20,[<__main__.Word instance at 0x11744a128>],Violet,1_6,False,True,[['piggy']],piggy,piggy,1.0,False,-0.0
21,21,[<__main__.Word instance at 0x11744a320>],Violet,1_6,False,True,[['neck']],neck,neck,1.0,False,-0.0
22,22,[<__main__.Word instance at 0x11744a5a8>],Violet,1_6,False,True,[['duck']],duck,duck,1.0,False,-0.0
23,23,[<__main__.Word instance at 0x11744a6c8>],Violet,1_6,False,True,[['duck']],duck,duck,1.0,False,-0.0
24,24,[<__main__.Word instance at 0x11744a7a0>],Violet,1_6,False,True,[['duck']],duck,duck,1.0,False,-0.0
25,25,[<__main__.Word instance at 0x11744a9e0>],Violet,1_6,False,True,[['duck']],duck,duck,1.0,False,-0.0
26,26,[<__main__.Word instance at 0x11744aa28>],Violet,1_6,False,True,[['duck']],duck,duck,1.0,False,-0.0
27,27,[<__main__.Word instance at 0x11744a8c0>],Violet,1_6,False,True,[['piggy']],piggy,piggy,1.0,False,-0.0
28,28,[<__main__.Word instance at 0x11744a830>],Violet,1_6,False,True,[['Violet']],Violet,Violet,1.0,False,-0.0
29,29,[<__main__.Word instance at 0x11744abd8>],Violet,1_6,False,True,[['doggy']],doggy,doggy,1.0,False,-0.0
30,30,[<__main__.Word instance at 0x11744acb0>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
31,31,[<__main__.Word instance at 0x11744ad88>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
32,32,[<__main__.Word instance at 0x11744afc8>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
33,33,[<__main__.Word instance at 0x11744f248>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
34,34,[<__main__.Word instance at 0x11744f1b8>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
35,35,[<__main__.Word instance at 0x11744f368>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
36,36,[<__main__.Word instance at 0x11744f680>],Violet,1_6,False,True,[['this']],this,this,1.0,False,-0.0
37,37,[<__main__.Word instance at 0x11744f5f0>],Violet,1_6,False,True,[['this']],this,this,1.0,False,-0.0
38,38,[<__main__.Word instance at 0x11744f6c8>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
39,39,[<__main__.Word instance at 0x11744f7a0>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
40,40,[<__main__.Word instance at 0x11744f878>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
41,41,[<__main__.Word instance at 0x11744f950>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
42,42,[<__main__.Word instance at 0x11744fa28>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
43,43,[<__main__.Word instance at 0x11744fb00>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
44,44,[<__main__.Word instance at 0x11744fbd8>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
45,45,[<__main__.Word instance at 0x11744fcb0>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
46,46,[<__main__.Word instance at 0x11744fd88>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
47,47,[<__main__.Word instance at 0x11744f518>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
48,48,[<__main__.Word instance at 0x11744fe60>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
49,49,[<__main__.Word instance at 0x117453248>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
50,50,[<__main__.Word instance at 0x117453440>],Violet,1_6,False,True,[['there']],there,there,1.0,False,-0.0
51,51,[<__main__.Word instance at 0x1174535a8>],Violet,1_6,False,True,[['tea']],tea,tea,1.0,False,-0.0
52,52,"[<__main__.Word instance at 0x1174537a0>
 <__main__.Word instance at 0x117453638>]",Violet,1_6,False,True,"[[""tea's""], ['ready']]",tea'sready,tea'sready,0.5,False,0.6931471805599453
53,53,"[<__main__.Word instance at 0x117453560>
 <__main__.Word instance at 0x117453908>]",Violet,1_6,False,False,"[['I'], ['do']]",Ido,doI,0.5,False,-0.6931471805599453
54,54,[<__main__.Word instance at 0x117453b00>],Violet,1_6,False,True,[['page']],page,page,1.0,False,-0.0
55,55,[<__main__.Word instance at 0x117453bd8>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,False,-0.0
56,56,[<__main__.Word instance at 0x117453c68>],Violet,1_6,False,True,[['rock']],rock,rock,1.0,False,-0.0
57,57,[<__main__.Word instance at 0x117453cf8>],Violet,1_6,False,True,[['rock']],rock,rock,1.0,False,-0.0
58,58,[<__main__.Word instance at 0x117456170>],Violet,1_6,False,True,[['rock']],rock,rock,1.0,False,-0.0
59,59,[<__main__.Word instance at 0x117456200>],Violet,1_6,False,True,[['rock']],rock,rock,1.0,False,-0.0
60,60,[<__main__.Word instance at 0x117456368>],Violet,1_6,False,True,[['rock']],rock,rock,1.0,False,-0.0
61,61,[<__main__.Word instance at 0x117456560>],Violet,1_6,False,True,[['rock']],rock,rock,1.0,False,-0.0
62,62,[<__main__.Word instance at 0x1174563f8>],Violet,1_6,False,True,[['mommy']],mommy,mommy,1.0,False,-0.0
63,63,[<__main__.Word instance at 0x117456878>],Violet,1_6,False,True,[['this']],this,this,1.0,False,-0.0
64,64,[<__main__.Word instance at 0x1174565f0>],Violet,1_6,False,True,[['Ace']],Ace,Ace,1.0,False,-0.0
65,65,[<__main__.Word instance at 0x1174564d0>],Violet,1_6,False,True,[['Violet']],Violet,Violet,1.0,False,-0.0
66,66,[<__main__.Word instance at 0x117456710>],Violet,1_6,False,True,[['let']],let,let,1.0,False,-0.0
67,67,"[<__main__.Word instance at 0x1174567e8>
 <__main__.Word instance at 0x117456d88>]",Violet,1_6,False,False,"[['that'], [""what's""]]",what'sthat,thatwhat's,0.5,False,-0.6931471805599453
68,68,"[<__main__.Word instance at 0x1174591b8>
 <__main__.Word instance at 0x117459368>
 <__main__.Word instance at 0x117459200>]",Violet,1_6,False,False,"[['it'], ['&-uh'], ['did']]",&-uhdidit,&-uhitdid,0.166666666667,False,-0.1823215567939546
69,69,[<__main__.Word instance at 0x117459098>],Violet,1_6,False,True,[['broke']],broke,broke,1.0,False,-0.0
70,70,[<__main__.Word instance at 0x1174595f0>],Violet,1_6,False,True,[['broke']],broke,broke,1.0,False,-0.0
71,71,[<__main__.Word instance at 0x117459680>],Violet,1_6,False,True,[['that']],that,that,1.0,False,-0.0
72,72,[<__main__.Word instance at 0x117459830>],Violet,1_6,False,True,[['this']],this,this,1.0,False,-0.0
73,73,[<__main__.Word instance at 0x1174599e0>],Violet,1_6,False,True,[['this']],this,this,1.0,False,-0.0
74,74,[<__main__.Word instance at 0x117459ab8>],Violet,1_6,False,True,[['this']],this,this,1.0,False,-0.0
75,75,[<__main__.Word instance at 0x117459b90>],Violet,1_6,False,True,[['meow']],meow,meow,1.0,False,-0.0
76,76,[<__main__.Word instance at 0x117459c20>],Violet,1_6,False,True,[['bag']],bag,bag,1.0,False,-0.0
77,77,[<__main__.Word instance at 0x117459cf8>],Violet,1_6,False,True,[['bag']],bag,bag,1.0,False,-0.0
78,78,[<__main__.Word instance at 0x117459e18>],Violet,1_6,False,True,[['bag']],bag,bag,1.0,False,-0.0
79,79,[<__main__.Word instance at 0x117459c68>],Violet,1_6,False,True,[['bag']],bag,bag,1.0,False,-0.0
80,80,"[<__main__.Word instance at 0x117459f38>
 <__main__.Word instance at 0x117459ea8>]",Violet,1_6,False,True,"[['bag'], ['bag']]",bagbag,bagbag,1.0,True,-0.0
