num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x11c124e18>];Violet;4_0;False;True;[['trick']];trick;trick;1.0;0.0
1;"[<__main__.Word instance at 0x10f631560>
 <__main__.Word instance at 0x10f631a70>
 <__main__.Word instance at 0x10f6317a0>
 <__main__.Word instance at 0x10f631cf8>
 <__main__.Word instance at 0x10f631a28>]";Violet;4_0;False;False;[['here'], ['this'], ['in'], ['light'], ['need']];needthislightinhere;hereneedlightinthis;0.00833333333333;-0.00836824967052
2;[<__main__.Word instance at 0x10f6318c0>];Violet;4_0;False;True;[['Tigri']];Tigri;Tigri;1.0;0.0
3;"[<__main__.Word instance at 0x10f49aa28>
 <__main__.Word instance at 0x10f49aab8>
 <__main__.Word instance at 0x10f49ac20>
 <__main__.Word instance at 0x10f49abd8>
 <__main__.Word instance at 0x10f4986c8>
 <__main__.Word instance at 0x10f498908>
 <__main__.Word instance at 0x10f498998>
 <__main__.Word instance at 0x10f498b00>
 <__main__.Word instance at 0x10f498878>]";Violet;4_0;False;False;[['first'], ['of'], ['my'], ['in'], ['get'], ['book'], ['I', 'have_to'], ['ready']];firstIhave_togetreadyinmybookof;readygetIhave_tobookinfirstmyof;2.48015873016e-05;-2.4801894866e-05
4;"[<__main__.Word instance at 0x11c129170>
 <__main__.Word instance at 0x11c129290>
 <__main__.Word instance at 0x11c1293b0>]";Violet;4_0;False;True;"[['airborne'], [""there's""], ['tigers']]";there'sairbornetigers;there'sairbornetigers;0.166666666667;1.79175946923
5;"[<__main__.Word instance at 0x11c1295f0>
 <__main__.Word instance at 0x11c129710>
 <__main__.Word instance at 0x11c129830>]";Violet;4_0;False;False;"[[""he's""], ['up'], ['going']]";he'sgoingup;goinguphe's;0.166666666667;-0.182321556794
6;[<__main__.Word instance at 0x11c129a28>];Violet;4_0;False;True;[['up']];up;up;1.0;0.0
7;"[<__main__.Word instance at 0x11c129c20>
 <__main__.Word instance at 0x11c129d40>
 <__main__.Word instance at 0x11c129ef0>
 <__main__.Word instance at 0x11c129dd0>
 <__main__.Word instance at 0x11c129e60>
 <__main__.Word instance at 0x11c129fc8>
 <__main__.Word instance at 0x11c129f38>
 <__main__.Word instance at 0x11c129f80>
 <__main__.Word instance at 0x11c12f128>]";Violet;4_0;False;False;"[['him'], ['trying'], ['go'], ['make'], ['yeah', 'but'], ['flippy'], [""I'm""], ['to']]";yeahbutI'mtryingtomakehimgoflippy;I'mflippyyeahbuttogomakehimtrying;2.48015873016e-05;-2.4801894866e-05
8;"[<__main__.Word instance at 0x11c12f290>
 <__main__.Word instance at 0x11c12f320>
 <__main__.Word instance at 0x11c12f200>]";Violet;4_0;False;True;[['open'], ['door'], ['the']];openthedoor;openthedoor;0.166666666667;1.79175946923
9;"[<__main__.Word instance at 0x11c12f518>
 <__main__.Word instance at 0x11c12f5f0>
 <__main__.Word instance at 0x11c12f488>]";Violet;4_0;False;True;"[['it'], ['toss'], [""let's""]]";let'stossit;let'stossit;0.166666666667;1.79175946923
10;[<__main__.Word instance at 0x11c12f560>];Violet;4_0;False;True;[['whoa']];whoa;whoa;1.0;0.0
11;"[<__main__.Word instance at 0x11c12f098>
 <__main__.Word instance at 0x11c12f8c0>
 <__main__.Word instance at 0x11c12f680>]";Violet;4_0;False;False;[['extra'], ['one'], ['an']];anextraone;extraonean;0.166666666667;-0.182321556794
12;[<__main__.Word instance at 0x11c12fa28>];Violet;4_0;False;True;[['extra']];extra;extra;1.0;0.0
13;[<__main__.Word instance at 0x11c12fb00>];Violet;4_0;False;True;[['oh']];oh;oh;1.0;0.0
14;"[<__main__.Word instance at 0x11c12fb90>
 <__main__.Word instance at 0x11c12fa70>
 <__main__.Word instance at 0x11c12fdd0>
 <__main__.Word instance at 0x11c12f710>
 <__main__.Word instance at 0x11c12fea8>
 <__main__.Word instance at 0x11c12fc20>
 <__main__.Word instance at 0x11c12ff38>
 <__main__.Word instance at 0x11c12fc68>
 <__main__.Word instance at 0x11c12fcb0>]";Violet;4_0;False;False;"[['see'], ['snakes'], [""let's""], ['&-um'], ['airborne'], ['want'], ['okay'], ['&-um'], ['I']]";&-um&-umokaylet'sseeIwantairbornesnakes;let'sseeIwant&-um&-umokayairbornesnakes;2.7557319224e-06;-2.75573571947e-06
