num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x11eff3d88>
 <__main__.Word instance at 0x11eff3ef0>]";Ethan;1_6;False;True;[['off'], ['off']];offoff;offoff;0.5;0.69314718056
1;"[<__main__.Word instance at 0x110c02cf8>
 <__main__.Word instance at 0x110c0e5a8>
 <__main__.Word instance at 0x110c0e908>
 <__main__.Word instance at 0x110c0ea28>]";Ethan;1_6;False;True;[['off'], ['ow'], ['ow'], ['ow']];offowowow;offowowow;0.0416666666667;3.17805383035
2;[<__main__.Word instance at 0x110c0ec20>];Ethan;1_6;False;True;[['off']];off;off;1.0;0.0
3;"[<__main__.Word instance at 0x110c109e0>
 <__main__.Word instance at 0x110c10c20>]";Ethan;1_6;False;True;[['backpack'], ['on']];backpackon;backpackon;0.5;0.69314718056
4;"[<__main__.Word instance at 0x110c10bd8>
 <__main__.Word instance at 0x110da7560>]";Ethan;1_6;False;True;[['backpack'], ['on']];backpackon;backpackon;0.5;0.69314718056
5;"[<__main__.Word instance at 0x110da77a0>
 <__main__.Word instance at 0x110da7cf8>]";Ethan;1_6;False;True;[['backpack'], ['off']];backpackoff;backpackoff;0.5;0.69314718056
6;"[<__main__.Word instance at 0x110da7758>
 <__main__.Word instance at 0x110da73f8>]";Ethan;1_6;False;True;[['on'], ['backpack']];backpackon;backpackon;0.5;0.69314718056
7;"[<__main__.Word instance at 0x11eff92d8>
 <__main__.Word instance at 0x11eff93f8>]";Ethan;1_6;False;True;[['microphone'], ['on']];microphoneon;microphoneon;0.5;0.69314718056
8;[<__main__.Word instance at 0x11eff97a0>];Ethan;1_6;False;True;[['microphone']];microphone;microphone;1.0;0.0
9;"[<__main__.Word instance at 0x11eff9908>
 <__main__.Word instance at 0x11eff9a70>]";Ethan;1_6;False;True;[['microphone'], ['microphone']];microphonemicrophone;microphonemicrophone;0.5;0.69314718056
10;"[<__main__.Word instance at 0x11eff9b90>
 <__main__.Word instance at 0x11eff9c20>]";Ethan;1_6;False;True;[['off'], ['off']];offoff;offoff;0.5;0.69314718056
11;"[<__main__.Word instance at 0x11eff9ea8>
 <__main__.Word instance at 0x11eff9d88>]";Ethan;1_6;False;True;[['truck'], ['truck']];trucktruck;trucktruck;0.5;0.69314718056
12;[<__main__.Word instance at 0x11eff9cb0>];Ethan;1_6;False;True;[['little']];little;little;1.0;0.0
13;"[<__main__.Word instance at 0x11efff1b8>
 <__main__.Word instance at 0x11efff248>
 <__main__.Word instance at 0x11efff128>]";Ethan;1_6;False;False;[['too'], ['tunnel'], ['little']];tunneltoolittle;toolittletunnel;0.166666666667;-0.182321556794
14;[<__main__.Word instance at 0x11efff2d8>];Ethan;1_6;False;True;[['up']];up;up;1.0;0.0
15;[<__main__.Word instance at 0x11efff4d0>];Ethan;1_6;False;True;[['tunnel']];tunnel;tunnel;1.0;0.0
16;"[<__main__.Word instance at 0x11efff908>
 <__main__.Word instance at 0x11efff7e8>]";Ethan;1_6;False;True;[['little'], ['too']];toolittle;toolittle;0.5;0.69314718056
17;[<__main__.Word instance at 0x11efffcf8>];Ethan;1_6;False;True;[['engine']];engine;engine;1.0;0.0
18;[<__main__.Word instance at 0x11efff998>];Ethan;1_6;False;True;[['track']];track;track;1.0;0.0
19;"[<__main__.Word instance at 0x11efffe60>
 <__main__.Word instance at 0x11effff38>]";Ethan;1_6;False;True;[['the', 'track']];thetrack;thetrack;1.0;0.0
20;[<__main__.Word instance at 0x11f002050>];Ethan;1_6;False;True;[['truck']];truck;truck;1.0;0.0
21;"[<__main__.Word instance at 0x11f002248>
 <__main__.Word instance at 0x11f002440>
 <__main__.Word instance at 0x11f002518>]";Ethan;1_6;False;True;[['it'], ['fix'], ['together']];fixittogether;fixittogether;0.166666666667;1.79175946923
22;[<__main__.Word instance at 0x11f0025f0>];Ethan;1_6;False;True;[['together']];together;together;1.0;0.0
23;"[<__main__.Word instance at 0x11f0026c8>
 <__main__.Word instance at 0x11f002560>]";Ethan;1_6;False;False;[['get'], ['in']];getin;inget;0.5;-0.69314718056
24;[<__main__.Word instance at 0x11f0020e0>];Ethan;1_6;False;True;[['tunnel']];tunnel;tunnel;1.0;0.0
25;[<__main__.Word instance at 0x11f0027e8>];Ethan;1_6;False;True;[['tunnel']];tunnel;tunnel;1.0;0.0
26;"[<__main__.Word instance at 0x11f002638>
 <__main__.Word instance at 0x11f002c68>]";Ethan;1_6;False;True;[['tunnel'], ['up']];uptunnel;uptunnel;0.5;0.69314718056
27;"[<__main__.Word instance at 0x11f002cb0>
 <__main__.Word instance at 0x11f002a70>]";Ethan;1_6;False;True;[['tunnel'], ['tunnel']];tunneltunnel;tunneltunnel;0.5;0.69314718056
28;[<__main__.Word instance at 0x11f002d40>];Ethan;1_6;False;True;[['this']];this;this;1.0;0.0
29;[<__main__.Word instance at 0x11f002b00>];Ethan;1_6;False;True;[['truck']];truck;truck;1.0;0.0
30;"[<__main__.Word instance at 0x11f002f38>
 <__main__.Word instance at 0x11f002e60>]";Ethan;1_6;False;True;[['up'], ['down']];updown;updown;0.5;0.69314718056
31;[<__main__.Word instance at 0x11f0050e0>];Ethan;1_6;False;True;[['do']];do;do;1.0;0.0
32;[<__main__.Word instance at 0x11f005128>];Ethan;1_6;False;True;[['tunnel']];tunnel;tunnel;1.0;0.0
33;[<__main__.Word instance at 0x11f005200>];Ethan;1_6;False;True;[['tunnel']];tunnel;tunnel;1.0;0.0
34;"[<__main__.Word instance at 0x11f005050>
 <__main__.Word instance at 0x11f005758>
 <__main__.Word instance at 0x11f0055f0>
 <__main__.Word instance at 0x11f005878>]";Ethan;1_6;False;False;[['another'], ['one'], ['another'], ['another']];anotheranotheranotherone;anotheroneanotheranother;0.0416666666667;-0.0425596144188
35;"[<__main__.Word instance at 0x11f005a70>
 <__main__.Word instance at 0x11f005680>
 <__main__.Word instance at 0x11f005b48>
 <__main__.Word instance at 0x11f005bd8>
 <__main__.Word instance at 0x11f005ab8>]";Ethan;1_6;False;False;[['too'], ['one'], ['one'], ['another'], ['another']];anotheroneanotheronetoo;toooneanotheroneanother;0.00833333333333;-0.00836824967052
36;[<__main__.Word instance at 0x11f005cb0>];Ethan;1_6;False;True;[['another']];another;another;1.0;0.0
37;[<__main__.Word instance at 0x11f005e60>];Ethan;1_6;False;True;[['broken']];broken;broken;1.0;0.0
38;"[<__main__.Word instance at 0x11f0058c0>
 <__main__.Word instance at 0x11f005e18>]";Ethan;1_6;False;True;[['fix'], ['it']];fixit;fixit;0.5;0.69314718056
39;"[<__main__.Word instance at 0x11f008248>
 <__main__.Word instance at 0x11f0082d8>]";Ethan;1_6;False;True;[['choo', 'choo']];choochoo;choochoo;1.0;0.0
40;[<__main__.Word instance at 0x11f0085f0>];Ethan;1_6;False;True;[['toy']];toy;toy;1.0;0.0
41;[<__main__.Word instance at 0x11f008560>];Ethan;1_6;False;True;[['bathroom']];bathroom;bathroom;1.0;0.0
42;[<__main__.Word instance at 0x11f008830>];Ethan;1_6;False;True;[['toy']];toy;toy;1.0;0.0
