,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x1170cf518>],Alex,1_6,True,,,tree,,,NaN,NaN
1,1,[<__main__.Word instance at 0x1170cf710>],Alex,1_6,True,,,tree,,,NaN,NaN
2,2,[<__main__.Word instance at 0x1170cf950>],Alex,1_6,False,True,[['ball']],ball,ball,1.0,False,-0.0
3,3,[<__main__.Word instance at 0x1170cfb90>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,False,-0.0
4,4,[<__main__.Word instance at 0x1170cfdd0>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,False,-0.0
5,5,[<__main__.Word instance at 0x10a18b5a8>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,False,-0.0
6,6,[<__main__.Word instance at 0x10a18b368>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,False,-0.0
7,7,[<__main__.Word instance at 0x10a18b878>],Alex,1_6,True,,,&,,,NaN,NaN
8,8,[<__main__.Word instance at 0x10a18da28>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,False,-0.0
9,9,[<__main__.Word instance at 0x10a18dab8>],Alex,1_6,False,True,[['water']],water,water,1.0,False,-0.0
10,10,[<__main__.Word instance at 0x10a324560>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,False,-0.0
11,11,[<__main__.Word instance at 0x10a3247a0>],Alex,1_6,False,True,[['wow']],wow,wow,1.0,False,-0.0
12,12,[<__main__.Word instance at 0x10a324a28>],Alex,1_6,True,,,bat,,,NaN,NaN
13,13,[<__main__.Word instance at 0x10a3248c0>],Alex,1_6,True,,,bat,,,NaN,NaN
14,14,[<__main__.Word instance at 0x10a324680>],Alex,1_6,True,,,bat,,,NaN,NaN
15,15,[<__main__.Word instance at 0x1170d5128>],Alex,1_6,True,,,bat,,,NaN,NaN
16,16,[<__main__.Word instance at 0x1170d52d8>],Alex,1_6,False,True,[['one']],one,one,1.0,False,-0.0
17,17,[<__main__.Word instance at 0x1170d5440>],Alex,1_6,True,,,octopus,,,NaN,NaN
18,18,[<__main__.Word instance at 0x1170d5518>],Alex,1_6,True,,,octopus,,,NaN,NaN
19,19,[<__main__.Word instance at 0x1170d57e8>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,False,-0.0
20,20,[<__main__.Word instance at 0x1170d58c0>],Alex,1_6,True,,,boot,,,NaN,NaN
21,21,[<__main__.Word instance at 0x1170d5998>],Alex,1_6,True,,,b,,,NaN,NaN
22,22,[<__main__.Word instance at 0x1170d5a70>],Alex,1_6,True,,,b,,,NaN,NaN
23,23,[<__main__.Word instance at 0x1170d59e0>],Alex,1_6,False,True,[['two']],two,two,1.0,False,-0.0
24,24,[<__main__.Word instance at 0x1170d5ab8>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,False,-0.0
25,25,[<__main__.Word instance at 0x1170d5b90>],Alex,1_6,True,,,boot,,,NaN,NaN
26,26,"[<__main__.Word instance at 0x1170d5908>
 <__main__.Word instance at 0x1170d5e18>]",Alex,1_6,True,,,atree,,,NaN,NaN
27,27,[<__main__.Word instance at 0x1170d5ef0>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,False,-0.0
28,28,[<__main__.Word instance at 0x1170d54d0>],Alex,1_6,True,,,&,,,NaN,NaN
29,29,[<__main__.Word instance at 0x1170d9128>],Alex,1_6,True,,,ice,,,NaN,NaN
30,30,"[<__main__.Word instance at 0x1170d9098>
 <__main__.Word instance at 0x1170d92d8>]",Alex,1_6,True,,,MamaMama,,,NaN,NaN
31,31,[<__main__.Word instance at 0x1170d93b0>],Alex,1_6,False,True,[['two']],two,two,1.0,False,-0.0
32,32,[<__main__.Word instance at 0x1170d9488>],Alex,1_6,False,True,[['three']],three,three,1.0,False,-0.0
33,33,[<__main__.Word instance at 0x1170d9560>],Alex,1_6,False,True,[['three']],three,three,1.0,False,-0.0
34,34,[<__main__.Word instance at 0x1170d94d0>],Alex,1_6,False,True,[['three']],three,three,1.0,False,-0.0
35,35,[<__main__.Word instance at 0x1170d9878>],Alex,1_6,False,True,[['two']],two,two,1.0,False,-0.0
36,36,[<__main__.Word instance at 0x1170d9a70>],Alex,1_6,False,True,[['two']],two,two,1.0,False,-0.0
37,37,[<__main__.Word instance at 0x1170d9b48>],Alex,1_6,False,True,[['no']],no,no,1.0,False,-0.0
38,38,[<__main__.Word instance at 0x1170d9c20>],Alex,1_6,False,True,[['two']],two,two,1.0,False,-0.0
39,39,"[<__main__.Word instance at 0x1170d9cf8>
 <__main__.Word instance at 0x1170d93f8>]",Alex,1_6,False,True,"[['two'], ['two']]",twotwo,twotwo,1.0,True,-0.0
40,40,[<__main__.Word instance at 0x1170d9c68>],Alex,1_6,False,True,[['two']],two,two,1.0,False,-0.0
41,41,[<__main__.Word instance at 0x1170d9d40>],Alex,1_6,False,True,[['wow']],wow,wow,1.0,False,-0.0
42,42,[<__main__.Word instance at 0x1170d9e18>],Alex,1_6,False,True,[['wow']],wow,wow,1.0,False,-0.0
43,43,[<__main__.Word instance at 0x1170d9b90>],Alex,1_6,False,True,[['wow']],wow,wow,1.0,False,-0.0
44,44,[<__main__.Word instance at 0x1170d9a28>],Alex,1_6,True,,,uhoh,,,NaN,NaN
45,45,[<__main__.Word instance at 0x1170e01b8>],Alex,1_6,True,,,slow,,,NaN,NaN
46,46,"[<__main__.Word instance at 0x1170e02d8>
 <__main__.Word instance at 0x1170e0128>]",Alex,1_6,True,,,atree,,,NaN,NaN
47,47,[<__main__.Word instance at 0x1170e0200>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,False,-0.0
48,48,[<__main__.Word instance at 0x1170e03b0>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,False,-0.0
49,49,[<__main__.Word instance at 0x1170e0170>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,False,-0.0
50,50,[<__main__.Word instance at 0x1170e0638>],Alex,1_6,False,True,[['pop']],pop,pop,1.0,False,-0.0
51,51,[<__main__.Word instance at 0x1170e07e8>],Alex,1_6,False,True,[['pop']],pop,pop,1.0,False,-0.0
52,52,[<__main__.Word instance at 0x1170e06c8>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,False,-0.0
53,53,[<__main__.Word instance at 0x1170e0950>],Alex,1_6,True,,,tree,,,NaN,NaN
