num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x1170cf518>];Alex;1_6;True;NaN;NaN;tree;NaN;NaN;NaN
1;[<__main__.Word instance at 0x1170cf710>];Alex;1_6;True;NaN;NaN;tree;NaN;NaN;NaN
2;[<__main__.Word instance at 0x1170cf950>];Alex;1_6;False;True;[['ball']];ball;ball;1.0;0.0
3;[<__main__.Word instance at 0x1170cfb90>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
4;[<__main__.Word instance at 0x1170cfdd0>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
5;[<__main__.Word instance at 0x10a18b5a8>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
6;[<__main__.Word instance at 0x10a18b368>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
7;[<__main__.Word instance at 0x10a18b878>];Alex;1_6;True;NaN;NaN;&;NaN;NaN;NaN
8;[<__main__.Word instance at 0x10a18da28>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
9;[<__main__.Word instance at 0x10a18dab8>];Alex;1_6;False;True;[['water']];water;water;1.0;0.0
10;[<__main__.Word instance at 0x10a324560>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
11;[<__main__.Word instance at 0x10a3247a0>];Alex;1_6;False;True;[['wow']];wow;wow;1.0;0.0
12;[<__main__.Word instance at 0x10a324a28>];Alex;1_6;True;NaN;NaN;bat;NaN;NaN;NaN
13;[<__main__.Word instance at 0x10a3248c0>];Alex;1_6;True;NaN;NaN;bat;NaN;NaN;NaN
14;[<__main__.Word instance at 0x10a324680>];Alex;1_6;True;NaN;NaN;bat;NaN;NaN;NaN
15;[<__main__.Word instance at 0x1170d5128>];Alex;1_6;True;NaN;NaN;bat;NaN;NaN;NaN
16;[<__main__.Word instance at 0x1170d52d8>];Alex;1_6;False;True;[['one']];one;one;1.0;0.0
17;[<__main__.Word instance at 0x1170d5440>];Alex;1_6;True;NaN;NaN;octopus;NaN;NaN;NaN
18;[<__main__.Word instance at 0x1170d5518>];Alex;1_6;True;NaN;NaN;octopus;NaN;NaN;NaN
19;[<__main__.Word instance at 0x1170d57e8>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
20;[<__main__.Word instance at 0x1170d58c0>];Alex;1_6;True;NaN;NaN;boot;NaN;NaN;NaN
21;[<__main__.Word instance at 0x1170d5998>];Alex;1_6;True;NaN;NaN;b;NaN;NaN;NaN
22;[<__main__.Word instance at 0x1170d5a70>];Alex;1_6;True;NaN;NaN;b;NaN;NaN;NaN
23;[<__main__.Word instance at 0x1170d59e0>];Alex;1_6;False;True;[['two']];two;two;1.0;0.0
24;[<__main__.Word instance at 0x1170d5ab8>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
25;[<__main__.Word instance at 0x1170d5b90>];Alex;1_6;True;NaN;NaN;boot;NaN;NaN;NaN
26;"[<__main__.Word instance at 0x1170d5908>
 <__main__.Word instance at 0x1170d5e18>]";Alex;1_6;True;NaN;NaN;atree;NaN;NaN;NaN
27;[<__main__.Word instance at 0x1170d5ef0>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
28;[<__main__.Word instance at 0x1170d54d0>];Alex;1_6;True;NaN;NaN;&;NaN;NaN;NaN
29;[<__main__.Word instance at 0x1170d9128>];Alex;1_6;True;NaN;NaN;ice;NaN;NaN;NaN
30;"[<__main__.Word instance at 0x1170d9098>
 <__main__.Word instance at 0x1170d92d8>]";Alex;1_6;True;NaN;NaN;MamaMama;NaN;NaN;NaN
31;[<__main__.Word instance at 0x1170d93b0>];Alex;1_6;False;True;[['two']];two;two;1.0;0.0
32;[<__main__.Word instance at 0x1170d9488>];Alex;1_6;False;True;[['three']];three;three;1.0;0.0
33;[<__main__.Word instance at 0x1170d9560>];Alex;1_6;False;True;[['three']];three;three;1.0;0.0
34;[<__main__.Word instance at 0x1170d94d0>];Alex;1_6;False;True;[['three']];three;three;1.0;0.0
35;[<__main__.Word instance at 0x1170d9878>];Alex;1_6;False;True;[['two']];two;two;1.0;0.0
36;[<__main__.Word instance at 0x1170d9a70>];Alex;1_6;False;True;[['two']];two;two;1.0;0.0
37;[<__main__.Word instance at 0x1170d9b48>];Alex;1_6;False;True;[['no']];no;no;1.0;0.0
38;[<__main__.Word instance at 0x1170d9c20>];Alex;1_6;False;True;[['two']];two;two;1.0;0.0
39;"[<__main__.Word instance at 0x1170d9cf8>
 <__main__.Word instance at 0x1170d93f8>]";Alex;1_6;False;True;[['two'], ['two']];twotwo;twotwo;0.5;0.69314718056
40;[<__main__.Word instance at 0x1170d9c68>];Alex;1_6;False;True;[['two']];two;two;1.0;0.0
41;[<__main__.Word instance at 0x1170d9d40>];Alex;1_6;False;True;[['wow']];wow;wow;1.0;0.0
42;[<__main__.Word instance at 0x1170d9e18>];Alex;1_6;False;True;[['wow']];wow;wow;1.0;0.0
43;[<__main__.Word instance at 0x1170d9b90>];Alex;1_6;False;True;[['wow']];wow;wow;1.0;0.0
44;[<__main__.Word instance at 0x1170d9a28>];Alex;1_6;True;NaN;NaN;uhoh;NaN;NaN;NaN
