num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x11a850488>
 <__main__.Word instance at 0x11a8505f0>
 <__main__.Word instance at 0x11a850680>
 <__main__.Word instance at 0x11a8507e8>]";Alex;3_6;False;True;[['how', 'bout'], ['this', 'one']];howboutthisone;howboutthisone;0.5;0.69314718056
1;[<__main__.Word instance at 0x11a850ab8>];Alex;3_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
2;"[<__main__.Word instance at 0x11a850cf8>
 <__main__.Word instance at 0x11a850e18>]";Alex;3_6;False;True;[['no'], ['yes']];noyes;noyes;0.5;0.69314718056
3;[<__main__.Word instance at 0x108ef56c8>];Alex;3_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
4;"[<__main__.Word instance at 0x108ef5998>
 <__main__.Word instance at 0x108ef5b48>
 <__main__.Word instance at 0x108ef5b00>]";Alex;3_6;False;False;[['this', 'one'], ['oh']];ohthisone;thisoneoh;0.5;-0.69314718056
5;"[<__main__.Word instance at 0x108ef7ab8>
 <__main__.Word instance at 0x108ef7bd8>
 <__main__.Word instance at 0x108ef7c68>
 <__main__.Word instance at 0x10908e560>
 <__main__.Word instance at 0x10908ea70>
 <__main__.Word instance at 0x10908e7a0>
 <__main__.Word instance at 0x10908ecf8>]";Alex;3_6;False;False;[['more'], ['like'], ['with'], ['bat'], ['it'], ['I'], ['the']];Ilikeitmorewiththebat;batthewithitlikemoreI;0.000198412698413;-0.000198432384816
6;"[<__main__.Word instance at 0x10908e758>
 <__main__.Word instance at 0x10908e8c0>
 <__main__.Word instance at 0x10908e518>
 <__main__.Word instance at 0x10908e680>]";Alex;3_6;False;False;[['bat'], ['remove'], ['the'], ['I']];Iremovethebat;batremoveIthe;0.0416666666667;-0.0425596144188
7;[<__main__.Word instance at 0x11a856170>];Alex;3_6;False;True;[['Amanda']];Amanda;Amanda;1.0;0.0
8;[<__main__.Word instance at 0x11a856320>];Alex;3_6;False;True;[['throw']];throw;throw;1.0;0.0
9;"[<__main__.Word instance at 0x11a856518>
 <__main__.Word instance at 0x11a8566c8>]";Alex;3_6;False;True;[['throw'], ['ball']];throwball;throwball;0.5;0.69314718056
10;"[<__main__.Word instance at 0x11a8567a0>
 <__main__.Word instance at 0x11a856878>]";Alex;3_6;False;True;"[['for'], [""that's""]]";that'sfor;that'sfor;0.5;0.69314718056
11;[<__main__.Word instance at 0x11a856950>];Alex;3_6;False;True;[['oh']];oh;oh;1.0;0.0
12;"[<__main__.Word instance at 0x11a856a28>
 <__main__.Word instance at 0x11a8568c0>
 <__main__.Word instance at 0x11a856b00>]";Alex;3_6;False;False;[['let'], ['okay'], ['play']];okayletplay;playletokay;0.166666666667;-0.182321556794
13;"[<__main__.Word instance at 0x11a856bd8>
 <__main__.Word instance at 0x11a856a70>]";Alex;3_6;False;True;[['how', 'about']];howabout;howabout;1.0;0.0
14;"[<__main__.Word instance at 0x11a856b48>
 <__main__.Word instance at 0x11a856d88>]";Alex;3_6;False;True;[['how', 'bout']];howbout;howbout;1.0;0.0
15;"[<__main__.Word instance at 0x11a856e18>
 <__main__.Word instance at 0x11a856998>
 <__main__.Word instance at 0x11a856ea8>]";Alex;3_6;False;False;[['me'], ['let'], ['see']];letmesee;seeletme;0.166666666667;-0.182321556794
16;"[<__main__.Word instance at 0x11a856fc8>
 <__main__.Word instance at 0x11a856680>
 <__main__.Word instance at 0x11a856560>
 <__main__.Word instance at 0x11a85b128>]";Alex;3_6;False;False;[['how', 'bout'], ['Elmo'], ['sport']];howboutElmosport;howboutsportElmo;0.166666666667;-0.182321556794
17;"[<__main__.Word instance at 0x11a85b2d8>
 <__main__.Word instance at 0x11a85b170>
 <__main__.Word instance at 0x11a85b3b0>
 <__main__.Word instance at 0x11a85b248>
 <__main__.Word instance at 0x11a85b488>]";Alex;3_6;False;False;[['sport'], ['how', 'bout'], ['Elmo'], ['instead']];howboutElmosportinstead;howboutsportElmoinstead;0.0416666666667;-0.0425596144188
18;"[<__main__.Word instance at 0x11a85b560>
 <__main__.Word instance at 0x11a85b3f8>
 <__main__.Word instance at 0x11a85b638>
 <__main__.Word instance at 0x11a85b6c8>]";Alex;3_6;False;False;[['blue'], ['the'], ['how', 'bout']];howbouttheblue;thebluehowbout;0.166666666667;-0.182321556794
