num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x10ab84560>];Ethan;1_0;False;True;[['up']];up;up;1.0;0.0
1;[<__main__.Word instance at 0x10ab847a0>];Ethan;1_0;True;NaN;NaN;button;NaN;NaN;NaN
2;"[<__main__.Word instance at 0x10ab84a28>
 <__main__.Word instance at 0x10ab84758>]";Ethan;1_0;True;NaN;NaN;hacow;NaN;NaN;NaN
3;"[<__main__.Word instance at 0x10abbb098>
 <__main__.Word instance at 0x10abbb200>]";Ethan;1_0;True;NaN;NaN;quackquack;NaN;NaN;NaN
4;[<__main__.Word instance at 0x10abbb3b0>];Ethan;1_0;False;True;[['cow']];cow;cow;1.0;0.0
5;[<__main__.Word instance at 0x10abbb5f0>];Ethan;1_0;False;True;[['bubbles']];bubbles;bubbles;1.0;0.0
6;[<__main__.Word instance at 0x10abbb998>];Ethan;1_0;False;True;[['bubble']];bubble;bubble;1.0;0.0
7;[<__main__.Word instance at 0x10abbbb00>];Ethan;1_0;False;True;[['bubbles']];bubbles;bubbles;1.0;0.0
8;[<__main__.Word instance at 0x10abbbcf8>];Ethan;1_0;True;NaN;NaN;mom;NaN;NaN;NaN
9;[<__main__.Word instance at 0x10abbbe18>];Ethan;1_0;False;True;[['block']];block;block;1.0;0.0
10;[<__main__.Word instance at 0x10abbbf38>];Ethan;1_0;True;NaN;NaN;bah;NaN;NaN;NaN
11;[<__main__.Word instance at 0x10a9eb6c8>];Ethan;1_0;True;NaN;NaN;bus;NaN;NaN;NaN
12;"[<__main__.Word instance at 0x10a9ebb48>
 <__main__.Word instance at 0x10a9eb878>]";Ethan;1_0;False;True;[['ball'], ['ball']];ballball;ballball;0.5;0.69314718056
13;[<__main__.Word instance at 0x10a9eb4d0>];Ethan;1_0;False;True;[['balloon']];balloon;balloon;1.0;0.0
14;[<__main__.Word instance at 0x10a9edc68>];Ethan;1_0;False;True;[['daddy']];daddy;daddy;1.0;0.0
15;[<__main__.Word instance at 0x10a9edc20>];Ethan;1_0;True;NaN;NaN;&;NaN;NaN;NaN
16;[<__main__.Word instance at 0x117b59098>];Ethan;1_0;False;True;[['baby']];baby;baby;1.0;0.0
17;[<__main__.Word instance at 0x117b59248>];Ethan;1_0;False;True;[['ball']];ball;ball;1.0;0.0
18;[<__main__.Word instance at 0x117b593b0>];Ethan;1_0;False;True;[['baby']];baby;baby;1.0;0.0
19;[<__main__.Word instance at 0x117b59560>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
20;[<__main__.Word instance at 0x117b59710>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
21;[<__main__.Word instance at 0x117b597a0>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
22;[<__main__.Word instance at 0x117b598c0>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
23;[<__main__.Word instance at 0x117b59cf8>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
24;[<__main__.Word instance at 0x117b59a28>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
25;[<__main__.Word instance at 0x117b59e60>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
26;[<__main__.Word instance at 0x117b5d128>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
27;[<__main__.Word instance at 0x117b5d368>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
28;[<__main__.Word instance at 0x117b5d440>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
29;[<__main__.Word instance at 0x117b5d3b0>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
30;"[<__main__.Word instance at 0x117b5d488>
 <__main__.Word instance at 0x117b5d6c8>]";Ethan;1_0;False;True;[['box'], ['box']];boxbox;boxbox;0.5;0.69314718056
31;[<__main__.Word instance at 0x117b5d758>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
32;"[<__main__.Word instance at 0x117b5d908>
 <__main__.Word instance at 0x117b5d7e8>]";Ethan;1_0;False;True;[['box'], ['box']];boxbox;boxbox;0.5;0.69314718056
33;[<__main__.Word instance at 0x117b5d638>];Ethan;1_0;False;True;[['box']];box;box;1.0;0.0
34;[<__main__.Word instance at 0x117b5d8c0>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
35;[<__main__.Word instance at 0x117b5da28>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
36;[<__main__.Word instance at 0x117b5dcf8>];Ethan;1_0;False;True;[['star']];star;star;1.0;0.0
37;[<__main__.Word instance at 0x117b5dab8>];Ethan;1_0;False;True;[['star']];star;star;1.0;0.0
38;[<__main__.Word instance at 0x117b5dea8>];Ethan;1_0;False;True;[['up']];up;up;1.0;0.0
39;[<__main__.Word instance at 0x117b5de18>];Ethan;1_0;False;True;[['star']];star;star;1.0;0.0
40;[<__main__.Word instance at 0x117b60050>];Ethan;1_0;True;NaN;NaN;mom;NaN;NaN;NaN
41;[<__main__.Word instance at 0x117b60098>];Ethan;1_0;False;True;[['apple']];apple;apple;1.0;0.0
42;[<__main__.Word instance at 0x117b60170>];Ethan;1_0;False;True;[['apple']];apple;apple;1.0;0.0
43;[<__main__.Word instance at 0x117b606c8>];Ethan;1_0;True;NaN;NaN;tired;NaN;NaN;NaN
44;[<__main__.Word instance at 0x117b607a0>];Ethan;1_0;False;True;[['ball']];ball;ball;1.0;0.0
45;[<__main__.Word instance at 0x117b60998>];Ethan;1_0;False;True;[['meow']];meow;meow;1.0;0.0
46;[<__main__.Word instance at 0x117b60a70>];Ethan;1_0;False;True;[['dog']];dog;dog;1.0;0.0
47;"[<__main__.Word instance at 0x117b609e0>
 <__main__.Word instance at 0x117b60cb0>]";Ethan;1_0;False;True;[['nice'], ['dog']];nicedog;nicedog;0.5;0.69314718056
48;[<__main__.Word instance at 0x117b60e60>];Ethan;1_0;False;True;[['cat']];cat;cat;1.0;0.0
49;[<__main__.Word instance at 0x117b60ef0>];Ethan;1_0;False;True;[['up']];up;up;1.0;0.0
