num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x10ea0acf8>];Ethan;1_0;False;True;[['up']];up;up;1.0;0.0
1;[<__main__.Word instance at 0x10ea16908>];Ethan;1_0;False;True;[['button']];button;button;1.0;0.0
2;"[<__main__.Word instance at 0x10ea16368>
 <__main__.Word instance at 0x10ea16c20>]";Ethan;1_0;False;True;[['ha'], ['cow']];hacow;hacow;0.5;0.69314718056
3;"[<__main__.Word instance at 0x10ea189e0>
 <__main__.Word instance at 0x10ea18c20>]";Ethan;1_0;False;True;[['quack'], ['quack']];quackquack;quackquack;0.5;0.69314718056
4;[<__main__.Word instance at 0x10ea18bd8>];Ethan;1_0;False;True;[['cow']];cow;cow;1.0;0.0
5;[<__main__.Word instance at 0x10ebafa70>];Ethan;1_0;False;True;[['bubbles']];bubbles;bubbles;1.0;0.0
6;[<__main__.Word instance at 0x10ebafcf8>];Ethan;1_0;False;True;[['bubble']];bubble;bubble;1.0;0.0
7;[<__main__.Word instance at 0x10ebaf758>];Ethan;1_0;False;True;[['bubbles']];bubbles;bubbles;1.0;0.0
8;[<__main__.Word instance at 0x10ebe6098>];Ethan;1_0;False;True;[['mom']];mom;mom;1.0;0.0
9;[<__main__.Word instance at 0x10ebe6290>];Ethan;1_0;False;True;[['block']];block;block;1.0;0.0
10;[<__main__.Word instance at 0x10ebe64d0>];Ethan;1_0;False;True;[['bah']];bah;bah;1.0;0.0
11;[<__main__.Word instance at 0x10ebe68c0>];Ethan;1_0;False;True;[['bus']];bus;bus;1.0;0.0
12;"[<__main__.Word instance at 0x10ebe6a28>
 <__main__.Word instance at 0x10ebe6b00>]";Ethan;1_0;False;True;[['ball'], ['ball']];ballball;ballball;0.5;0.69314718056
13;[<__main__.Word instance at 0x10ebe6cf8>];Ethan;1_0;False;True;[['balloon']];balloon;balloon;1.0;0.0
14;[<__main__.Word instance at 0x10ebe6e18>];Ethan;1_0;False;True;[['daddy']];daddy;daddy;1.0;0.0
15;[<__main__.Word instance at 0x10ebe6ea8>];Ethan;1_0;False;True;[['&']];&;&;1.0;0.0
16;[<__main__.Word instance at 0x11bb840e0>];Ethan;1_0;False;True;[['baby']];baby;baby;1.0;0.0
17;[<__main__.Word instance at 0x11bb84290>];Ethan;1_0;False;True;[['ball']];ball;ball;1.0;0.0
18;[<__main__.Word instance at 0x11bb843f8>];Ethan;1_0;False;True;[['baby']];baby;baby;1.0;0.0
19;[<__main__.Word instance at 0x11bb845a8>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
20;[<__main__.Word instance at 0x11bb84758>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
21;[<__main__.Word instance at 0x11bb847e8>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
22;[<__main__.Word instance at 0x11bb84908>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
23;[<__main__.Word instance at 0x11bb84d40>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
24;[<__main__.Word instance at 0x11bb84a70>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
25;[<__main__.Word instance at 0x11bb84ea8>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
26;[<__main__.Word instance at 0x11bb88170>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
27;[<__main__.Word instance at 0x11bb883b0>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
28;[<__main__.Word instance at 0x11bb88488>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
29;[<__main__.Word instance at 0x11bb883f8>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
30;"[<__main__.Word instance at 0x11bb884d0>
 <__main__.Word instance at 0x11bb88710>]";Ethan;1_0;False;True;[['box'], ['box']];boxbox;boxbox;0.5;0.69314718056
31;[<__main__.Word instance at 0x11bb887a0>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
32;"[<__main__.Word instance at 0x11bb88950>
 <__main__.Word instance at 0x11bb88830>]";Ethan;1_0;False;True;[['box'], ['box']];boxbox;boxbox;0.5;0.69314718056
33;[<__main__.Word instance at 0x11bb88680>];Ethan;1_0;False;True;[['box']];box;box;1.0;0.0
34;[<__main__.Word instance at 0x11bb88908>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
35;[<__main__.Word instance at 0x11bb88a70>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
36;[<__main__.Word instance at 0x11bb88d40>];Ethan;1_0;False;True;[['star']];star;star;1.0;0.0
37;[<__main__.Word instance at 0x11bb88b00>];Ethan;1_0;False;True;[['star']];star;star;1.0;0.0
38;[<__main__.Word instance at 0x11bb88ef0>];Ethan;1_0;False;True;[['up']];up;up;1.0;0.0
39;[<__main__.Word instance at 0x11bb88e60>];Ethan;1_0;False;True;[['star']];star;star;1.0;0.0
40;[<__main__.Word instance at 0x11bb8b098>];Ethan;1_0;False;True;[['mom']];mom;mom;1.0;0.0
41;[<__main__.Word instance at 0x11bb8b0e0>];Ethan;1_0;False;True;[['apple']];apple;apple;1.0;0.0
42;[<__main__.Word instance at 0x11bb8b1b8>];Ethan;1_0;False;True;[['apple']];apple;apple;1.0;0.0
43;[<__main__.Word instance at 0x11bb8b710>];Ethan;1_0;False;True;[['tired']];tired;tired;1.0;0.0
44;[<__main__.Word instance at 0x11bb8b7e8>];Ethan;1_0;False;True;[['ball']];ball;ball;1.0;0.0
45;[<__main__.Word instance at 0x11bb8b9e0>];Ethan;1_0;False;True;[['meow']];meow;meow;1.0;0.0
46;[<__main__.Word instance at 0x11bb8bab8>];Ethan;1_0;False;True;[['dog']];dog;dog;1.0;0.0
47;"[<__main__.Word instance at 0x11bb8ba28>
 <__main__.Word instance at 0x11bb8bcf8>]";Ethan;1_0;False;True;[['dog'], ['nice']];nicedog;nicedog;0.5;0.69314718056
48;[<__main__.Word instance at 0x11bb8bea8>];Ethan;1_0;False;True;[['cat']];cat;cat;1.0;0.0
49;[<__main__.Word instance at 0x11bb8bf38>];Ethan;1_0;False;True;[['up']];up;up;1.0;0.0
50;[<__main__.Word instance at 0x11bb8bd88>];Ethan;1_0;False;True;[['up']];up;up;1.0;0.0
51;[<__main__.Word instance at 0x11bb8e1b8>];Ethan;1_0;False;True;[['up']];up;up;1.0;0.0
52;[<__main__.Word instance at 0x11bb8e128>];Ethan;1_0;False;True;[['hi']];hi;hi;1.0;0.0
53;[<__main__.Word instance at 0x11bb8e440>];Ethan;1_0;False;True;[['book']];book;book;1.0;0.0
54;[<__main__.Word instance at 0x11bb8e3b0>];Ethan;1_0;False;True;[['book']];book;book;1.0;0.0
55;[<__main__.Word instance at 0x11bb8e680>];Ethan;1_0;False;True;[['ball']];ball;ball;1.0;0.0
56;[<__main__.Word instance at 0x11bb8e2d8>];Ethan;1_0;False;True;[['ball']];ball;ball;1.0;0.0
57;[<__main__.Word instance at 0x11bb8e7e8>];Ethan;1_0;False;True;[['ball']];ball;ball;1.0;0.0
58;[<__main__.Word instance at 0x11bb8e638>];Ethan;1_0;False;True;[['ball']];ball;ball;1.0;0.0
59;[<__main__.Word instance at 0x11bb8ebd8>];Ethan;1_0;False;True;[['ball']];ball;ball;1.0;0.0
60;[<__main__.Word instance at 0x11bb8ecb0>];Ethan;1_0;False;True;[['ball']];ball;ball;1.0;0.0
61;[<__main__.Word instance at 0x11bb8ed40>];Ethan;1_0;False;True;[['ball']];ball;ball;1.0;0.0
62;[<__main__.Word instance at 0x11bb8eef0>];Ethan;1_0;False;True;[['shake']];shake;shake;1.0;0.0
63;[<__main__.Word instance at 0x11bb8ef38>];Ethan;1_0;False;True;[['hi']];hi;hi;1.0;0.0
64;[<__main__.Word instance at 0x11bb91248>];Ethan;1_0;False;True;[['ball']];ball;ball;1.0;0.0
65;[<__main__.Word instance at 0x11bb91098>];Ethan;1_0;False;True;[['ball']];ball;ball;1.0;0.0
66;"[<__main__.Word instance at 0x11bb915a8>
 <__main__.Word instance at 0x11bb916c8>]";Ethan;1_0;False;True;[['a', 'ball']];aball;aball;1.0;0.0
67;[<__main__.Word instance at 0x11bb919e0>];Ethan;1_0;False;True;[['boom']];boom;boom;1.0;0.0
68;[<__main__.Word instance at 0x11bb911b8>];Ethan;1_0;False;True;[['hi']];hi;hi;1.0;0.0
69;[<__main__.Word instance at 0x11bb915f0>];Ethan;1_0;False;True;[['ball']];ball;ball;1.0;0.0
70;[<__main__.Word instance at 0x11bb91488>];Ethan;1_0;False;True;[['hey']];hey;hey;1.0;0.0
71;[<__main__.Word instance at 0x11bb91c68>];Ethan;1_0;False;True;[['this']];this;this;1.0;0.0
72;[<__main__.Word instance at 0x11bb91cf8>];Ethan;1_0;False;True;[['balloon']];balloon;balloon;1.0;0.0
73;[<__main__.Word instance at 0x11bb91908>];Ethan;1_0;False;True;[['book']];book;book;1.0;0.0
74;[<__main__.Word instance at 0x11bb91ea8>];Ethan;1_0;False;True;[['ready']];ready;ready;1.0;0.0
75;[<__main__.Word instance at 0x11bb950e0>];Ethan;1_0;False;True;[['hippo']];hippo;hippo;1.0;0.0
76;[<__main__.Word instance at 0x11bb951b8>];Ethan;1_0;False;True;[['ball']];ball;ball;1.0;0.0
77;[<__main__.Word instance at 0x11bb95488>];Ethan;1_0;False;True;[['this']];this;this;1.0;0.0
78;[<__main__.Word instance at 0x11bb95518>];Ethan;1_0;False;True;[['Pooh']];Pooh;Pooh;1.0;0.0
79;[<__main__.Word instance at 0x11bb955a8>];Ethan;1_0;False;True;[['that']];that;that;1.0;0.0
80;"[<__main__.Word instance at 0x11bb95758>
 <__main__.Word instance at 0x11bb95950>]";Ethan;1_0;False;False;"[['that'], [""what's""]]";what'sthat;thatwhat's;0.5;-0.69314718056
81;[<__main__.Word instance at 0x11bb95b48>];Ethan;1_0;False;True;[['book']];book;book;1.0;0.0
82;[<__main__.Word instance at 0x11bb95b90>];Ethan;1_0;False;True;[['hi']];hi;hi;1.0;0.0
83;"[<__main__.Word instance at 0x11bb95ef0>
 <__main__.Word instance at 0x11bb95dd0>]";Ethan;1_0;False;True;[['tick', 'tock']];ticktock;ticktock;1.0;0.0
84;"[<__main__.Word instance at 0x11bb95ab8>
 <__main__.Word instance at 0x11bb95f38>]";Ethan;1_0;False;True;[['tick', 'tock']];ticktock;ticktock;1.0;0.0
85;[<__main__.Word instance at 0x11bb980e0>];Ethan;1_0;False;True;[['tock']];tock;tock;1.0;0.0
86;"[<__main__.Word instance at 0x11bb98050>
 <__main__.Word instance at 0x11bb98320>
 <__main__.Word instance at 0x11bb98248>]";Ethan;1_0;False;True;[['tick'], ['tick', 'tock']];ticktocktick;ticktocktick;0.5;0.69314718056
87;[<__main__.Word instance at 0x11bb983f8>];Ethan;1_0;False;True;[['tick']];tick;tick;1.0;0.0
88;[<__main__.Word instance at 0x11bb986c8>];Ethan;1_0;False;True;[['tick']];tick;tick;1.0;0.0
89;[<__main__.Word instance at 0x11bb987a0>];Ethan;1_0;False;True;[['tick']];tick;tick;1.0;0.0
90;"[<__main__.Word instance at 0x11bb98878>
 <__main__.Word instance at 0x11bb98710>]";Ethan;1_0;False;True;[['clock'], ['clock']];clockclock;clockclock;0.5;0.69314718056
91;[<__main__.Word instance at 0x11bb987e8>];Ethan;1_0;False;True;[['tock']];tock;tock;1.0;0.0
92;[<__main__.Word instance at 0x11bb988c0>];Ethan;1_0;False;True;[['book']];book;book;1.0;0.0
93;[<__main__.Word instance at 0x11bb98638>];Ethan;1_0;False;True;[['ducks']];ducks;ducks;1.0;0.0
94;[<__main__.Word instance at 0x11bb98b48>];Ethan;1_0;False;True;[['koala']];koala;koala;1.0;0.0
95;[<__main__.Word instance at 0x11bb98e60>];Ethan;1_0;False;True;[['koala']];koala;koala;1.0;0.0
96;[<__main__.Word instance at 0x11bb9b290>];Ethan;1_0;False;True;[['baa']];baa;baa;1.0;0.0
97;"[<__main__.Word instance at 0x11bb9b368>
 <__main__.Word instance at 0x11bb9b878>]";Ethan;1_0;False;True;[['baa'], ['baa']];baabaa;baabaa;0.5;0.69314718056
98;[<__main__.Word instance at 0x11bb9b908>];Ethan;1_0;False;True;[['baa']];baa;baa;1.0;0.0
99;[<__main__.Word instance at 0x11bb9bb00>];Ethan;1_0;False;True;[['sheep']];sheep;sheep;1.0;0.0
100;"[<__main__.Word instance at 0x11bb9bb90>
 <__main__.Word instance at 0x11bb9b5a8>
 <__main__.Word instance at 0x11bb9bd88>
 <__main__.Word instance at 0x11bb9bc20>
 <__main__.Word instance at 0x11bb9be60>
 <__main__.Word instance at 0x11bb9bab8>
 <__main__.Word instance at 0x11bb9bcb0>
 <__main__.Word instance at 0x11bb9bdd0>
 <__main__.Word instance at 0x11bb9bf80>
 <__main__.Word instance at 0x11bb9bd40>
 <__main__.Word instance at 0x11bb9b638>]";Ethan;1_0;False;True;[['bear'], ['bear'], ['bear'], ['bear'], ['bear'], ['bear'], ['bear'], ['bear'], ['bear'], ['bear'], ['bear']];bearbearbearbearbearbearbearbearbearbearbear;bearbearbearbearbearbearbearbearbearbearbear;2.50521083854e-08;17.5023078459
101;[<__main__.Word instance at 0x11bb9e0e0>];Ethan;1_0;False;True;[['tock']];tock;tock;1.0;0.0
102;[<__main__.Word instance at 0x11bb9e3b0>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
103;[<__main__.Word instance at 0x11bb9e440>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
104;[<__main__.Word instance at 0x11bb9e4d0>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
105;[<__main__.Word instance at 0x11bb9e7e8>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
106;[<__main__.Word instance at 0x11bb9e998>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
107;[<__main__.Word instance at 0x11bb9ea28>];Ethan;1_0;False;True;[['duck']];duck;duck;1.0;0.0
108;[<__main__.Word instance at 0x11bb9eea8>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
109;[<__main__.Word instance at 0x11bb9ef38>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
110;[<__main__.Word instance at 0x11bba2200>];Ethan;1_0;False;True;[['bubble']];bubble;bubble;1.0;0.0
111;[<__main__.Word instance at 0x11bba2a28>];Ethan;1_0;False;True;[['hey']];hey;hey;1.0;0.0
112;[<__main__.Word instance at 0x11bba2ab8>];Ethan;1_0;False;True;[['car']];car;car;1.0;0.0
113;"[<__main__.Word instance at 0x11bba2b90>
 <__main__.Word instance at 0x11bba27a0>]";Ethan;1_0;False;True;[['car'], ['the']];thecar;thecar;0.5;0.69314718056
114;[<__main__.Word instance at 0x11bba2b00>];Ethan;1_0;False;True;[['around']];around;around;1.0;0.0
115;[<__main__.Word instance at 0x11bba2440>];Ethan;1_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
116;[<__main__.Word instance at 0x11bba2d88>];Ethan;1_0;False;True;[['car']];car;car;1.0;0.0
117;[<__main__.Word instance at 0x11bba2fc8>];Ethan;1_0;False;True;[['car']];car;car;1.0;0.0
118;[<__main__.Word instance at 0x11bba2f38>];Ethan;1_0;False;True;[['car']];car;car;1.0;0.0
119;[<__main__.Word instance at 0x11bba52d8>];Ethan;1_0;False;True;[['backpack']];backpack;backpack;1.0;0.0
120;[<__main__.Word instance at 0x11bba5320>];Ethan;1_0;False;True;[['backpack']];backpack;backpack;1.0;0.0
121;[<__main__.Word instance at 0x11bba5710>];Ethan;1_0;False;True;[['backpack']];backpack;backpack;1.0;0.0
122;[<__main__.Word instance at 0x11bba57a0>];Ethan;1_0;False;True;[['up']];up;up;1.0;0.0
123;"[<__main__.Word instance at 0x11bba5878>
 <__main__.Word instance at 0x11bba5518>]";Ethan;1_0;False;False;[['&-uh'], ['up']];&-uhup;up&-uh;0.5;-0.69314718056
124;[<__main__.Word instance at 0x11bba5cb0>];Ethan;1_0;False;True;[['up']];up;up;1.0;0.0
125;[<__main__.Word instance at 0x11bba5a70>];Ethan;1_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
126;[<__main__.Word instance at 0x11bba8050>];Ethan;1_0;False;True;[['book']];book;book;1.0;0.0
127;"[<__main__.Word instance at 0x11bba81b8>
 <__main__.Word instance at 0x11bba8290>]";Ethan;1_0;False;True;[['book'], ['that']];thatbook;thatbook;0.5;0.69314718056
128;"[<__main__.Word instance at 0x11bba85f0>
 <__main__.Word instance at 0x11bba84d0>]";Ethan;1_0;False;True;[['apple'], ['apple']];appleapple;appleapple;0.5;0.69314718056
129;[<__main__.Word instance at 0x11bba8830>];Ethan;1_0;False;True;[['apple']];apple;apple;1.0;0.0
130;[<__main__.Word instance at 0x11bba8950>];Ethan;1_0;False;True;[['apple']];apple;apple;1.0;0.0
131;"[<__main__.Word instance at 0x11bba89e0>
 <__main__.Word instance at 0x11bba85a8>]";Ethan;1_0;False;True;[['apple'], ['apple']];appleapple;appleapple;0.5;0.69314718056
132;[<__main__.Word instance at 0x11bba8440>];Ethan;1_0;False;True;[['dog']];dog;dog;1.0;0.0
133;[<__main__.Word instance at 0x11bba8a70>];Ethan;1_0;False;True;[['book']];book;book;1.0;0.0
134;[<__main__.Word instance at 0x11bba8bd8>];Ethan;1_0;False;True;[['book']];book;book;1.0;0.0
