,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x11eff3d88>
 <__main__.Word instance at 0x11eff3ef0>]",Ethan,1_6,False,True,"[['off'], ['off']]",offoff,offoff,1.0,True,-0.0
1,1,"[<__main__.Word instance at 0x110c02cf8>
 <__main__.Word instance at 0x110c0e5a8>
 <__main__.Word instance at 0x110c0e908>
 <__main__.Word instance at 0x110c0ea28>]",Ethan,1_6,False,True,"[['off'], ['ow'], ['ow'], ['ow']]",offowowow,offowowow,0.25,True,1.3862943611198906
2,2,[<__main__.Word instance at 0x110c0ec20>],Ethan,1_6,False,True,[['off']],off,off,1.0,False,-0.0
3,3,"[<__main__.Word instance at 0x110c109e0>
 <__main__.Word instance at 0x110c10c20>]",Ethan,1_6,False,True,"[['backpack'], ['on']]",backpackon,backpackon,0.5,False,0.6931471805599453
4,4,"[<__main__.Word instance at 0x110c10bd8>
 <__main__.Word instance at 0x110da7560>]",Ethan,1_6,False,True,"[['backpack'], ['on']]",backpackon,backpackon,0.5,False,0.6931471805599453
5,5,"[<__main__.Word instance at 0x110da77a0>
 <__main__.Word instance at 0x110da7cf8>]",Ethan,1_6,False,True,"[['backpack'], ['off']]",backpackoff,backpackoff,0.5,False,0.6931471805599453
6,6,"[<__main__.Word instance at 0x110da7758>
 <__main__.Word instance at 0x110da73f8>]",Ethan,1_6,False,True,"[['on'], ['backpack']]",backpackon,backpackon,0.5,False,0.6931471805599453
7,7,"[<__main__.Word instance at 0x11eff92d8>
 <__main__.Word instance at 0x11eff93f8>]",Ethan,1_6,False,True,"[['microphone'], ['on']]",microphoneon,microphoneon,0.5,False,0.6931471805599453
8,8,[<__main__.Word instance at 0x11eff97a0>],Ethan,1_6,False,True,[['microphone']],microphone,microphone,1.0,False,-0.0
9,9,"[<__main__.Word instance at 0x11eff9908>
 <__main__.Word instance at 0x11eff9a70>]",Ethan,1_6,False,True,"[['microphone'], ['microphone']]",microphonemicrophone,microphonemicrophone,1.0,True,-0.0
