,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x1157ebab8>],Lily,1_6,False,True,[['&']],&,&,1.0,False,-0.0
1,1,[<__main__.Word instance at 0x1157ebcb0>],Lily,1_6,False,True,[['&']],&,&,1.0,False,-0.0
2,2,[<__main__.Word instance at 0x1157ebf38>],Lily,1_6,False,True,[['&muah']],&muah,&muah,1.0,False,-0.0
3,3,[<__main__.Word instance at 0x1074ada70>],Lily,1_6,False,True,[['&']],&,&,1.0,False,-0.0
4,4,[<__main__.Word instance at 0x1074adcf8>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
5,5,[<__main__.Word instance at 0x1074ad758>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
6,6,[<__main__.Word instance at 0x1074ad5a8>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
7,7,[<__main__.Word instance at 0x1074adf80>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
8,8,[<__main__.Word instance at 0x1074ad488>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
9,9,[<__main__.Word instance at 0x107314a28>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
10,10,[<__main__.Word instance at 0x1073145a8>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
11,11,[<__main__.Word instance at 0x107314b48>],Lily,1_6,False,True,[['mommy']],mommy,mommy,1.0,False,-0.0
12,12,[<__main__.Word instance at 0x107314908>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
13,13,[<__main__.Word instance at 0x1073169e0>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
14,14,[<__main__.Word instance at 0x1157f10e0>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
15,15,[<__main__.Word instance at 0x1157f1200>],Lily,1_6,False,True,[['mommy']],mommy,mommy,1.0,False,-0.0
16,16,[<__main__.Word instance at 0x1157f12d8>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
17,17,[<__main__.Word instance at 0x1157f1518>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
18,18,[<__main__.Word instance at 0x1157f15f0>],Lily,1_6,False,True,[['mommy']],mommy,mommy,1.0,False,-0.0
19,19,[<__main__.Word instance at 0x1157f17e8>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
20,20,[<__main__.Word instance at 0x1157f1908>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
21,21,[<__main__.Word instance at 0x1157f1a28>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
22,22,[<__main__.Word instance at 0x1157f1b48>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
23,23,[<__main__.Word instance at 0x1157f1bd8>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
24,24,[<__main__.Word instance at 0x1157f1fc8>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
25,25,[<__main__.Word instance at 0x1157f1d88>],Lily,1_6,False,True,[['&']],&,&,1.0,False,-0.0
26,26,[<__main__.Word instance at 0x1157f1cf8>],Lily,1_6,False,True,[['&muah']],&muah,&muah,1.0,False,-0.0
27,27,[<__main__.Word instance at 0x1157f5170>],Lily,1_6,False,True,[['duckie']],duckie,duckie,1.0,False,-0.0
28,28,[<__main__.Word instance at 0x1157f55f0>],Lily,1_6,False,True,[['no']],no,no,1.0,False,-0.0
29,29,[<__main__.Word instance at 0x1157f57e8>],Lily,1_6,False,True,[['&']],&,&,1.0,False,-0.0
30,30,[<__main__.Word instance at 0x1157f5830>],Lily,1_6,False,True,[['blah']],blah,blah,1.0,False,-0.0
31,31,[<__main__.Word instance at 0x1157f5950>],Lily,1_6,False,True,[['mommy']],mommy,mommy,1.0,False,-0.0
32,32,[<__main__.Word instance at 0x1157f58c0>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
33,33,[<__main__.Word instance at 0x1157f5c20>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
34,34,[<__main__.Word instance at 0x1157f5cb0>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
35,35,[<__main__.Word instance at 0x1157f5d88>],Lily,1_6,False,True,[['woofy']],woofy,woofy,1.0,False,-0.0
36,36,[<__main__.Word instance at 0x1157f5e60>],Lily,1_6,False,True,[['woofy']],woofy,woofy,1.0,False,-0.0
37,37,[<__main__.Word instance at 0x1157f5f38>],Lily,1_6,False,True,[['woof']],woof,woof,1.0,False,-0.0
38,38,[<__main__.Word instance at 0x1157f5fc8>],Lily,1_6,False,True,[['blah']],blah,blah,1.0,False,-0.0
39,39,[<__main__.Word instance at 0x1157f5a70>],Lily,1_6,False,True,[['blah']],blah,blah,1.0,False,-0.0
40,40,[<__main__.Word instance at 0x1157f56c8>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
41,41,"[<__main__.Word instance at 0x1157f9290>
 <__main__.Word instance at 0x1157f9170>]",Lily,1_6,False,True,"[['Pooh', 'Bear']]",PoohBear,PoohBear,1.0,False,-0.0
42,42,[<__main__.Word instance at 0x1157f93f8>],Lily,1_6,False,True,[['blah']],blah,blah,1.0,False,-0.0
43,43,[<__main__.Word instance at 0x1157f9638>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
44,44,"[<__main__.Word instance at 0x1157f9830>
 <__main__.Word instance at 0x1157f9758>]",Lily,1_6,False,True,"[['Pooh', 'Bear']]",PoohBear,PoohBear,1.0,False,-0.0
45,45,[<__main__.Word instance at 0x1157f99e0>],Lily,1_6,False,True,[['Poohbie']],Poohbie,Poohbie,1.0,False,-0.0
46,46,[<__main__.Word instance at 0x1157f9ab8>],Lily,1_6,False,True,[['&']],&,&,1.0,False,-0.0
47,47,[<__main__.Word instance at 0x1157f9b90>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
48,48,[<__main__.Word instance at 0x1157f9cb0>],Lily,1_6,False,True,[['hm']],hm,hm,1.0,False,-0.0
49,49,[<__main__.Word instance at 0x1157f9cf8>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
50,50,[<__main__.Word instance at 0x1157f9dd0>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
51,51,[<__main__.Word instance at 0x1157f9ea8>],Lily,1_6,False,True,[['hm']],hm,hm,1.0,False,-0.0
52,52,[<__main__.Word instance at 0x1157f9fc8>],Lily,1_6,False,True,[['backpack']],backpack,backpack,1.0,False,-0.0
53,53,[<__main__.Word instance at 0x1157fc050>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
54,54,[<__main__.Word instance at 0x1157fc200>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
55,55,[<__main__.Word instance at 0x1157fc290>],Lily,1_6,False,True,[['mommy']],mommy,mommy,1.0,False,-0.0
56,56,[<__main__.Word instance at 0x1157fc488>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
57,57,[<__main__.Word instance at 0x1157fc560>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
58,58,[<__main__.Word instance at 0x1157fc638>],Lily,1_6,False,True,[['puppy']],puppy,puppy,1.0,False,-0.0
59,59,[<__main__.Word instance at 0x1157fc440>],Lily,1_6,False,True,[['doggy']],doggy,doggy,1.0,False,-0.0
60,60,[<__main__.Word instance at 0x1157fc7a0>],Lily,1_6,False,True,[['puppy']],puppy,puppy,1.0,False,-0.0
61,61,[<__main__.Word instance at 0x1157fc5a8>],Lily,1_6,False,True,[['ah']],ah,ah,1.0,False,-0.0
62,62,[<__main__.Word instance at 0x1157fc908>],Lily,1_6,False,True,[['&']],&,&,1.0,False,-0.0
63,63,"[<__main__.Word instance at 0x1157fc9e0>
 <__main__.Word instance at 0x1157fcc20>]",Lily,1_6,False,True,"[['bumble'], ['bee']]",bumblebee,bumblebee,0.5,False,0.6931471805599453
64,64,[<__main__.Word instance at 0x1157fccf8>],Lily,1_6,False,True,[['ah']],ah,ah,1.0,False,-0.0
65,65,[<__main__.Word instance at 0x1157fcdd0>],Lily,1_6,False,True,[['puppy']],puppy,puppy,1.0,False,-0.0
66,66,[<__main__.Word instance at 0x1157fccb0>],Lily,1_6,False,True,[['puppy']],puppy,puppy,1.0,False,-0.0
67,67,[<__main__.Word instance at 0x1157fcef0>],Lily,1_6,False,True,[['woof']],woof,woof,1.0,False,-0.0
68,68,[<__main__.Word instance at 0x1157fcc68>],Lily,1_6,False,True,[['moon']],moon,moon,1.0,False,-0.0
69,69,"[<__main__.Word instance at 0x1157fce18>
 <__main__.Word instance at 0x1157ff050>]",Lily,1_6,False,True,"[['a', 'helicopter']]",ahelicopter,ahelicopter,1.0,False,-0.0
70,70,[<__main__.Word instance at 0x1157ff1b8>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
71,71,[<__main__.Word instance at 0x1157ff2d8>],Lily,1_6,False,True,[['bleh']],bleh,bleh,1.0,False,-0.0
72,72,[<__main__.Word instance at 0x1157ff560>],Lily,1_6,False,True,[['bleh']],bleh,bleh,1.0,False,-0.0
73,73,[<__main__.Word instance at 0x1157ff680>],Lily,1_6,False,True,[['hm']],hm,hm,1.0,False,-0.0
74,74,[<__main__.Word instance at 0x1157ff5f0>],Lily,1_6,False,True,[['&']],&,&,1.0,False,-0.0
75,75,[<__main__.Word instance at 0x1157ff7a0>],Lily,1_6,False,True,[['&']],&,&,1.0,False,-0.0
76,76,[<__main__.Word instance at 0x1157ffb48>],Lily,1_6,False,True,[['puppy']],puppy,puppy,1.0,False,-0.0
77,77,[<__main__.Word instance at 0x1157ffd40>],Lily,1_6,False,True,[['gaudy']],gaudy,gaudy,1.0,False,-0.0
78,78,[<__main__.Word instance at 0x1157ffef0>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
79,79,[<__main__.Word instance at 0x1157fff80>],Lily,1_6,False,True,[['gaudy']],gaudy,gaudy,1.0,False,-0.0
