num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x119c96320>];Lily;3_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
1;[<__main__.Word instance at 0x119c96518>];Lily;3_6;False;True;[['no']];no;no;1.0;0.0
2;[<__main__.Word instance at 0x119c967a0>];Lily;3_6;False;True;[['nothing']];nothing;nothing;1.0;0.0
3;[<__main__.Word instance at 0x119c96998>];Lily;3_6;False;True;[['no']];no;no;1.0;0.0
4;"[<__main__.Word instance at 0x119c96ab8>
 <__main__.Word instance at 0x119c96b00>]";Lily;3_6;True;NaN;NaN;whichElasmosaurus;NaN;NaN;NaN
5;[<__main__.Word instance at 0x119c96d40>];Lily;3_6;False;True;[['no']];no;no;1.0;0.0
6;[<__main__.Word instance at 0x119c96e18>];Lily;3_6;False;True;[['mommy']];mommy;mommy;1.0;0.0
7;"[<__main__.Word instance at 0x10390b560>
 <__main__.Word instance at 0x10390ba70>]";Lily;3_6;False;True;[['&-uh'], ['&-uh']];&-uh&-uh;&-uh&-uh;0.5;0.69314718056
8;"[<__main__.Word instance at 0x10390bcf8>
 <__main__.Word instance at 0x10390ba28>
 <__main__.Word instance at 0x10390b758>
 <__main__.Word instance at 0x10390b710>]";Lily;3_6;False;False;"[['want'], ['&-um'], ['I', ""don't""]]";Idon'twant&-um;wantIdon't&-um;0.166666666667;-0.182321556794
9;"[<__main__.Word instance at 0x10390b8c0>
 <__main__.Word instance at 0x10390bf80>
 <__main__.Word instance at 0x10390b4d0>]";Lily;3_6;False;False;[['backpack'], ['the'], ['in']];inthebackpack;backpackthein;0.166666666667;-0.182321556794
10;"[<__main__.Word instance at 0x10390b3f8>
 <__main__.Word instance at 0x10390b680>
 <__main__.Word instance at 0x1037726c8>]";Lily;3_6;False;False;"[['I', ""don't""], ['know']]";Idon'tknow;knowIdon't;0.5;-0.69314718056
11;"[<__main__.Word instance at 0x103772998>
 <__main__.Word instance at 0x103772b00>]";Lily;3_6;False;True;[['Manuela'], ['my']];myManuela;myManuela;0.5;0.69314718056
12;[<__main__.Word instance at 0x103772c20>];Lily;3_6;True;NaN;NaN;Gabi's;NaN;NaN;NaN
13;[<__main__.Word instance at 0x103774c68>];Lily;3_6;False;True;[['what']];what;what;1.0;0.0
14;"[<__main__.Word instance at 0x1037749e0>
 <__main__.Word instance at 0x119c9c050>]";Lily;3_6;False;False;[['thunder'], ['lizard']];thunderlizard;lizardthunder;0.5;-0.69314718056
15;"[<__main__.Word instance at 0x119c9c170>
 <__main__.Word instance at 0x119c9c200>
 <__main__.Word instance at 0x119c9c290>
 <__main__.Word instance at 0x119c9c2d8>
 <__main__.Word instance at 0x119c9c3b0>
 <__main__.Word instance at 0x119c9c560>
 <__main__.Word instance at 0x119c9c638>]";Lily;3_6;False;False;[['what'], ['is'], ['is'], ['for'], ['that'], ['spanish'], ['word']];isthatwhatspanishwordforis;thatisforwordspanishiswhat;0.000198412698413;-0.000198432384816
