,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x11067c560>
 <__main__.Word instance at 0x11067ca70>]",Naima,2_0,False,True,"[['chicken', 'stew']]",chickenstew,chickenstew,1.0,False,-0.0
1,1,"[<__main__.Word instance at 0x11067ccf8>
 <__main__.Word instance at 0x11067ca28>
 <__main__.Word instance at 0x11067c758>
 <__main__.Word instance at 0x11067c8c0>
 <__main__.Word instance at 0x11067c518>]",Naima,2_0,False,False,"[[""that's""], ['it'], ['where'], ['you'], ['put']]",that'swhereyouputit,itwhereyouputthat's,0.00833333333333,False,-0.00836824967051658
2,2,"[<__main__.Word instance at 0x1106b3200>
 <__main__.Word instance at 0x1106b3290>
 <__main__.Word instance at 0x1106b33f8>
 <__main__.Word instance at 0x1106b35a8>
 <__main__.Word instance at 0x1106b36c8>
 <__main__.Word instance at 0x1106b37e8>
 <__main__.Word instance at 0x1106b3908>]",Naima,2_0,False,True,"[['me'], ['la', 'la', 'moon'], ['take'], ['the'], ['to']]",takemetothelalamoon,takemetothelalamoon,0.00833333333333,False,4.787491742782046
3,3,"[<__main__.Word instance at 0x1106b3b48>
 <__main__.Word instance at 0x1106b3c68>
 <__main__.Word instance at 0x1106b3d88>
 <__main__.Word instance at 0x1106b3ea8>
 <__main__.Word instance at 0x1106b3fc8>]",Naima,2_0,False,False,"[['sun'], ['me'], ['moon'], ['me'], ['give']]",megivemesunmoon,sungivemememoon,0.0166666666667,True,-0.01680711831638129
4,4,[<__main__.Word instance at 0x1104e5c68>],Naima,2_0,False,True,[['jumping']],jumping,jumping,1.0,False,-0.0
5,5,"[<__main__.Word instance at 0x1104e35a8>
 <__main__.Word instance at 0x1104e3a28>
 <__main__.Word instance at 0x1104e3368>
 <__main__.Word instance at 0x1104e3b00>
 <__main__.Word instance at 0x1104e3b48>
 <__main__.Word instance at 0x1220dc170>
 <__main__.Word instance at 0x1220dc368>
 <__main__.Word instance at 0x1220dc200>
 <__main__.Word instance at 0x1220dc560>]",Naima,2_0,False,False,"[['take'], ['to'], ['talk'], ['me'], ['about'], ['the'], ['la', 'la', 'moon']]",talkabouttakemetothelalamoon,takemetotalkaboutthelalamoon,0.000198412698413,False,-0.0001984323848162081
6,6,"[<__main__.Word instance at 0x1220dc758>
 <__main__.Word instance at 0x1220dc5f0>
 <__main__.Word instance at 0x1220dc950>
 <__main__.Word instance at 0x1220dc7e8>
 <__main__.Word instance at 0x1220dcb48>
 <__main__.Word instance at 0x1220dc9e0>]",Naima,2_0,False,False,"[['bird'], ['as'], ['a', 'free'], ['I'], ['little']]",afreelittlebirdasI,asafreelittlebirdI,0.00833333333333,False,-0.00836824967051658
7,7,[<__main__.Word instance at 0x1220dcbd8>],Naima,2_0,False,True,[['chicken']],chicken,chicken,1.0,False,-0.0
8,8,"[<__main__.Word instance at 0x1220dc908>
 <__main__.Word instance at 0x1220dcea8>
 <__main__.Word instance at 0x1220dcd40>
 <__main__.Word instance at 0x1220dcf80>
 <__main__.Word instance at 0x1220dcc68>
 <__main__.Word instance at 0x1220dcef0>
 <__main__.Word instance at 0x1220dcfc8>]",Naima,2_0,True,,,Ihaveasplashonmyleg,,,NaN,NaN
9,9,"[<__main__.Word instance at 0x1220e0098>
 <__main__.Word instance at 0x1220e0170>
 <__main__.Word instance at 0x1220e0248>]",Naima,2_0,False,False,"[[""I'm""], ['done'], ['eating']]",I'mdoneeating,doneeatingI'm,0.166666666667,False,-0.1823215567939546
