num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x119151a28>];Violet;2_0;False;True;[['back']];back;back;1.0;0.0
1;"[<__main__.Word instance at 0x119151c20>
 <__main__.Word instance at 0x119151d88>]";Violet;2_0;True;NaN;NaN;backitch;NaN;NaN;NaN
2;"[<__main__.Word instance at 0x10b03b560>
 <__main__.Word instance at 0x10b03ba70>
 <__main__.Word instance at 0x10b03b7a0>]";Violet;2_0;False;False;[['nice'], ['is'], ['back']];backisnice;nicebackis;0.166666666667;-0.182321556794
3;[<__main__.Word instance at 0x10b03ba28>];Violet;2_0;False;True;[['back']];back;back;1.0;0.0
4;[<__main__.Word instance at 0x10b03b8c0>];Violet;2_0;False;True;[['back']];back;back;1.0;0.0
5;[<__main__.Word instance at 0x10b03b680>];Violet;2_0;False;True;[['nose']];nose;nose;1.0;0.0
6;"[<__main__.Word instance at 0x10b03b4d0>
 <__main__.Word instance at 0x10b03b488>
 <__main__.Word instance at 0x10b03b3f8>]";Violet;2_0;False;False;[['how', 'about'], ['this']];howaboutthis;thishowabout;0.5;-0.69314718056
7;"[<__main__.Word instance at 0x10b03bf80>
 <__main__.Word instance at 0x10aea25a8>
 <__main__.Word instance at 0x10aea26c8>]";Violet;2_0;False;False;[['this'], ['how', 'about']];howaboutthis;thishowabout;0.5;-0.69314718056
8;"[<__main__.Word instance at 0x10aea24d0>
 <__main__.Word instance at 0x10aea2908>
 <__main__.Word instance at 0x10aea2998>
 <__main__.Word instance at 0x10aea2878>
 <__main__.Word instance at 0x10aea2b00>]";Violet;2_0;True;NaN;NaN;howaboutreathisone;NaN;NaN;NaN
9;[<__main__.Word instance at 0x10aea4a28>];Violet;2_0;True;NaN;NaN;rhino;NaN;NaN;NaN
10;[<__main__.Word instance at 0x10aea4c68>];Violet;2_0;False;True;[['no']];no;no;1.0;0.0
