num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x11784a998>
 <__main__.Word instance at 0x11784ab00>
 <__main__.Word instance at 0x11784ab90>
 <__main__.Word instance at 0x11784acf8>
 <__main__.Word instance at 0x11784aea8>
 <__main__.Word instance at 0x11784af80>
 <__main__.Word instance at 0x10731bcf8>]";Violet;3_6;False;False;[['a', 'new'], ['string'], ['you', 'making'], ['are'], ['Mom']];Momareyoumakinganewstring;areyoumakingstringMomanew;0.00833333333333;-0.00836824967052
1;[<__main__.Word instance at 0x1074c0a70>];Violet;3_6;False;True;[['kite']];kite;kite;1.0;0.0
2;"[<__main__.Word instance at 0x1074c0cf8>
 <__main__.Word instance at 0x1074c0a28>
 <__main__.Word instance at 0x1074c0758>]";Violet;3_6;False;False;[['is'], ['this'], ['what']];whatisthis;isthiswhat;0.166666666667;-0.182321556794
3;"[<__main__.Word instance at 0x1074c09e0>
 <__main__.Word instance at 0x1074c0680>
 <__main__.Word instance at 0x1074c0518>
 <__main__.Word instance at 0x1074c04d0>]";Violet;3_6;False;False;[['is'], ['what'], ['for'], ['it']];whatisitfor;isitforwhat;0.0416666666667;-0.0425596144188
4;"[<__main__.Word instance at 0x1074c03f8>
 <__main__.Word instance at 0x1074c0440>
 <__main__.Word instance at 0x1074c0f80>]";Violet;3_6;False;False;[['this'], ['what'], ['is']];whatisthis;isthiswhat;0.166666666667;-0.182321556794
5;"[<__main__.Word instance at 0x1073275a8>
 <__main__.Word instance at 0x107327a28>
 <__main__.Word instance at 0x107327908>]";Violet;3_6;False;False;"[['a'], ['kite'], [""here's""]]";here'sakite;akitehere's;0.166666666667;-0.182321556794
6;[<__main__.Word instance at 0x107327878>];Violet;3_6;False;True;[['kite']];kite;kite;1.0;0.0
7;"[<__main__.Word instance at 0x107327b48>
 <__main__.Word instance at 0x107327998>
 <__main__.Word instance at 0x1178500e0>]";Violet;3_6;False;False;[['I'], ['it'], ['see']];Iseeit;seeitI;0.166666666667;-0.182321556794
8;[<__main__.Word instance at 0x117850200>];Violet;3_6;False;True;[['movie']];movie;movie;1.0;0.0
9;[<__main__.Word instance at 0x117850320>];Violet;3_6;False;True;[['hey']];hey;hey;1.0;0.0
