,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x110c44560>],William,2_0,False,True,[['see']],see,see,1.0,False,-0.0
1,1,[<__main__.Word instance at 0x110c447a0>],William,2_0,True,,,guys,,,NaN,NaN
2,2,[<__main__.Word instance at 0x110c44a28>],William,2_0,True,,,guys,,,NaN,NaN
3,3,[<__main__.Word instance at 0x110c448c0>],William,2_0,True,,,guys,,,NaN,NaN
4,4,[<__main__.Word instance at 0x11f1a3560>],William,2_0,True,,,guys,,,NaN,NaN
5,5,"[<__main__.Word instance at 0x11f1a3758>
 <__main__.Word instance at 0x11f1a38c0>
 <__main__.Word instance at 0x11f1a3a70>
 <__main__.Word instance at 0x11f1a3b90>]",William,2_0,False,False,"[['what', 'about'], ['raisins'], ['the']]",whatabouttheraisins,raisinsthewhatabout,0.166666666667,False,-0.1823215567939546
6,6,"[<__main__.Word instance at 0x11f1a3dd0>
 <__main__.Word instance at 0x11f1a3ef0>
 <__main__.Word instance at 0x110aab5a8>
 <__main__.Word instance at 0x110aaba28>]",William,2_0,False,True,"[['Manuela'], ['a'], ['want'], ['raisin']]",Manuelawantaraisin,Manuelawantaraisin,0.0416666666667,False,3.1780538303479458
7,7,"[<__main__.Word instance at 0x110aabb00>
 <__main__.Word instance at 0x110aada28>
 <__main__.Word instance at 0x110aad9e0>]",William,2_0,False,False,"[['want'], ['a'], ['raisin']]",wantaraisin,raisinawant,0.166666666667,False,-0.1823215567939546
8,8,[<__main__.Word instance at 0x110aadc68>],William,2_0,False,True,[['raisin']],raisin,raisin,1.0,False,-0.0
9,9,"[<__main__.Word instance at 0x11f1a9170>
 <__main__.Word instance at 0x11f1a9290>]",William,2_0,False,True,"[['raisin'], ['raisin']]",raisinraisin,raisinraisin,1.0,True,-0.0
10,10,[<__main__.Word instance at 0x11f1a95a8>],William,2_0,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
11,11,"[<__main__.Word instance at 0x11f1a9710>
 <__main__.Word instance at 0x11f1a97e8>]",William,2_0,False,True,"[['triangle'], ['the']]",thetriangle,thetriangle,0.5,False,0.6931471805599453
12,12,[<__main__.Word instance at 0x11f1a98c0>],William,2_0,True,,,uhuh,,,NaN,NaN
13,13,"[<__main__.Word instance at 0x11f1a9998>
 <__main__.Word instance at 0x11f1a9830>]",William,2_0,False,True,"[['oh'], ['&-uh']]",&-uhoh,&-uhoh,0.5,False,0.6931471805599453
14,14,[<__main__.Word instance at 0x11f1a9518>],William,2_0,False,True,[['triangle']],triangle,triangle,1.0,False,-0.0
15,15,"[<__main__.Word instance at 0x11f1a99e0>
 <__main__.Word instance at 0x11f1a9c20>]",William,2_0,True,,,trianglecircle,,,NaN,NaN
16,16,[<__main__.Word instance at 0x11f1a9fc8>],William,2_0,True,,,circle,,,NaN,NaN
17,17,[<__main__.Word instance at 0x11f1a9b90>],William,2_0,False,True,[['triangle']],triangle,triangle,1.0,False,-0.0
18,18,[<__main__.Word instance at 0x11f1ae128>],William,2_0,False,True,[['blue']],blue,blue,1.0,False,-0.0
19,19,[<__main__.Word instance at 0x11f1ae518>],William,2_0,False,True,[['red']],red,red,1.0,False,-0.0
20,20,[<__main__.Word instance at 0x11f1ae440>],William,2_0,False,True,[['yellow']],yellow,yellow,1.0,False,-0.0
21,21,"[<__main__.Word instance at 0x11f1ae1b8>
 <__main__.Word instance at 0x11f1ae8c0>]",William,2_0,False,True,"[['&-uh'], ['&-uh']]",&-uh&-uh,&-uh&-uh,1.0,True,-0.0
22,22,[<__main__.Word instance at 0x11f1ae908>],William,2_0,False,True,[['yummy']],yummy,yummy,1.0,False,-0.0
23,23,[<__main__.Word instance at 0x11f1ae878>],William,2_0,False,True,[['car']],car,car,1.0,False,-0.0
24,24,"[<__main__.Word instance at 0x11f1aeab8>
 <__main__.Word instance at 0x11f1aed40>]",William,2_0,False,False,"[['got'], ['it']]",gotit,itgot,0.5,False,-0.6931471805599453
25,25,"[<__main__.Word instance at 0x11f1aeef0>
 <__main__.Word instance at 0x11f1aee18>]",William,2_0,False,True,"[['wow'], ['a']]",awow,awow,0.5,False,0.6931471805599453
26,26,"[<__main__.Word instance at 0x11f1aed88>
 <__main__.Word instance at 0x11f1aef38>]",William,2_0,True,,,themouse,,,NaN,NaN
27,27,[<__main__.Word instance at 0x11f1aecb0>],William,2_0,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
28,28,[<__main__.Word instance at 0x11f1b1170>],William,2_0,False,True,[['hungry']],hungry,hungry,1.0,False,-0.0
29,29,[<__main__.Word instance at 0x11f1b1518>],William,2_0,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
30,30,[<__main__.Word instance at 0x11f1b1908>],William,2_0,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
31,31,[<__main__.Word instance at 0x11f1b1a28>],William,2_0,False,True,[['z']],z,z,1.0,False,-0.0
32,32,[<__main__.Word instance at 0x11f1b1b00>],William,2_0,True,,,number,,,NaN,NaN
33,33,"[<__main__.Word instance at 0x11f1b1cf8>
 <__main__.Word instance at 0x11f1b1b90>
 <__main__.Word instance at 0x11f1b1dd0>
 <__main__.Word instance at 0x11f1b13f8>]",William,2_0,False,True,"[['i'], ['me'], ['a'], ['show']]",showmeai,showmeai,0.0416666666667,False,3.1780538303479458
34,34,[<__main__.Word instance at 0x11f1b1ea8>],William,2_0,True,,,mom,,,NaN,NaN
35,35,"[<__main__.Word instance at 0x11f1b1e18>
 <__main__.Word instance at 0x11f1b4050>]",William,2_0,False,True,"[['I'], ['I']]",II,II,1.0,True,-0.0
36,36,[<__main__.Word instance at 0x11f1b4488>],William,2_0,True,,,circle,,,NaN,NaN
37,37,"[<__main__.Word instance at 0x11f1b4248>
 <__main__.Word instance at 0x11f1b4638>]",William,2_0,True,,,thecircle,,,NaN,NaN
38,38,"[<__main__.Word instance at 0x11f1b4878>
 <__main__.Word instance at 0x11f1b4758>]",William,2_0,False,True,"[['the'], ['triangle']]",thetriangle,thetriangle,0.5,False,0.6931471805599453
39,39,"[<__main__.Word instance at 0x11f1b4a28>
 <__main__.Word instance at 0x11f1b48c0>]",William,2_0,False,True,"[['blue'], ['blue']]",blueblue,blueblue,1.0,True,-0.0
40,40,[<__main__.Word instance at 0x11f1b4998>],William,2_0,False,True,[['blue']],blue,blue,1.0,False,-0.0
41,41,[<__main__.Word instance at 0x11f1b4710>],William,2_0,False,True,[['red']],red,red,1.0,False,-0.0
42,42,[<__main__.Word instance at 0x11f1b4c20>],William,2_0,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
43,43,"[<__main__.Word instance at 0x11f1b4830>
 <__main__.Word instance at 0x11f1b4ef0>]",William,2_0,False,False,"[['like'], ['it']]",likeit,itlike,0.5,False,-0.6931471805599453
44,44,"[<__main__.Word instance at 0x11f1b4368>
 <__main__.Word instance at 0x11f1b4f80>]",William,2_0,False,False,"[['like'], ['it']]",likeit,itlike,0.5,False,-0.6931471805599453
45,45,[<__main__.Word instance at 0x11f1b7050>],William,2_0,False,True,[['doing']],doing,doing,1.0,False,-0.0
46,46,"[<__main__.Word instance at 0x11f1b7290>
 <__main__.Word instance at 0x11f1b7170>]",William,2_0,False,True,"[['soup'], ['the']]",thesoup,thesoup,0.5,False,0.6931471805599453
47,47,[<__main__.Word instance at 0x11f1b7488>],William,2_0,True,,,guys,,,NaN,NaN
48,48,"[<__main__.Word instance at 0x11f1b75a8>
 <__main__.Word instance at 0x11f1b73b0>]",William,2_0,False,True,"[['some'], ['want']]",wantsome,wantsome,0.5,False,0.6931471805599453
49,49,"[<__main__.Word instance at 0x11f1b7710>
 <__main__.Word instance at 0x11f1b7950>
 <__main__.Word instance at 0x11f1b7248>
 <__main__.Word instance at 0x11f1b7a28>]",William,2_0,False,True,"[['baby', 'bop'], ['baby', 'bop']]",babybopbabybop,babybopbabybop,1.0,True,-0.0
50,50,"[<__main__.Word instance at 0x11f1b7ab8>
 <__main__.Word instance at 0x11f1b7998>]",William,2_0,False,True,"[['baby', 'bop']]",babybop,babybop,1.0,False,-0.0
51,51,[<__main__.Word instance at 0x11f1b7680>],William,2_0,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
52,52,"[<__main__.Word instance at 0x11f1b7830>
 <__main__.Word instance at 0x11f1b7e60>]",William,2_0,False,True,"[['bowl'], ['bowl']]",bowlbowl,bowlbowl,1.0,True,-0.0
53,53,[<__main__.Word instance at 0x11f1b7d88>],William,2_0,False,True,[['bowl']],bowl,bowl,1.0,False,-0.0
54,54,"[<__main__.Word instance at 0x11f1b7f38>
 <__main__.Word instance at 0x11f1b7e18>]",William,2_0,False,False,"[['a'], ['little']]",littlea,alittle,0.5,False,-0.6931471805599453
55,55,[<__main__.Word instance at 0x11f1b7758>],William,2_0,False,True,[['a']],a,a,1.0,False,-0.0
56,56,[<__main__.Word instance at 0x11f1ba0e0>],William,2_0,False,True,[['h']],h,h,1.0,False,-0.0
57,57,[<__main__.Word instance at 0x11f1ba290>],William,2_0,False,True,[['h']],h,h,1.0,False,-0.0
58,58,[<__main__.Word instance at 0x11f1ba200>],William,2_0,False,True,[['see']],see,see,1.0,False,-0.0
59,59,[<__main__.Word instance at 0x11f1ba2d8>],William,2_0,False,True,[['see']],see,see,1.0,False,-0.0
60,60,"[<__main__.Word instance at 0x11f1ba050>
 <__main__.Word instance at 0x11f1ba680>]",William,2_0,False,True,"[['the', 'car']]",thecar,thecar,1.0,False,-0.0
61,61,"[<__main__.Word instance at 0x11f1ba710>
 <__main__.Word instance at 0x11f1ba638>]",William,2_0,False,True,"[['want'], ['some']]",wantsome,wantsome,0.5,False,0.6931471805599453
62,62,"[<__main__.Word instance at 0x11f1ba830>
 <__main__.Word instance at 0x11f1ba878>]",William,2_0,False,False,"[['hungry'], ['you']]",youhungry,hungryyou,0.5,False,-0.6931471805599453
63,63,"[<__main__.Word instance at 0x11f1baa28>
 <__main__.Word instance at 0x11f1ba7a0>]",William,2_0,False,True,"[['some'], ['want']]",wantsome,wantsome,0.5,False,0.6931471805599453
64,64,"[<__main__.Word instance at 0x11f1bab48>
 <__main__.Word instance at 0x11f1bacb0>]",William,2_0,False,True,"[['it'], ['have']]",haveit,haveit,0.5,False,0.6931471805599453
65,65,[<__main__.Word instance at 0x11f1baab8>],William,2_0,False,True,[['okay']],okay,okay,1.0,False,-0.0
66,66,"[<__main__.Word instance at 0x11f1baef0>
 <__main__.Word instance at 0x11f1ba9e0>]",William,2_0,False,True,"[['I'], ['I']]",II,II,1.0,True,-0.0
67,67,[<__main__.Word instance at 0x11f1ba950>],William,2_0,False,True,[['a']],a,a,1.0,False,-0.0
68,68,[<__main__.Word instance at 0x11f1bd098>],William,2_0,False,True,[['shh']],shh,shh,1.0,False,-0.0
69,69,[<__main__.Word instance at 0x11f1bd2d8>],William,2_0,False,True,[['a']],a,a,1.0,False,-0.0
70,70,"[<__main__.Word instance at 0x11f1bd488>
 <__main__.Word instance at 0x11f1bd320>]",William,2_0,False,True,"[['h'], ['h']]",hh,hh,1.0,True,-0.0
71,71,"[<__main__.Word instance at 0x11f1bd3f8>
 <__main__.Word instance at 0x11f1bd710>]",William,2_0,False,False,"[['a'], ['h']]",ah,ha,0.5,False,-0.6931471805599453
72,72,"[<__main__.Word instance at 0x11f1bd7a0>
 <__main__.Word instance at 0x11f1bd950>]",William,2_0,False,True,"[['h'], ['h']]",hh,hh,1.0,True,-0.0
73,73,[<__main__.Word instance at 0x11f1bdcb0>],William,2_0,False,True,[['f']],f,f,1.0,False,-0.0
74,74,[<__main__.Word instance at 0x11f1bdd40>],William,2_0,False,True,[['f']],f,f,1.0,False,-0.0
75,75,[<__main__.Word instance at 0x11f1bde18>],William,2_0,False,True,[['f']],f,f,1.0,False,-0.0
76,76,[<__main__.Word instance at 0x11f1bdef0>],William,2_0,False,True,[['abcs']],abcs,abcs,1.0,False,-0.0
77,77,"[<__main__.Word instance at 0x11f1bdf80>
 <__main__.Word instance at 0x11f1bde60>
 <__main__.Word instance at 0x11f1bdbd8>
 <__main__.Word instance at 0x11f1bd908>
 <__main__.Word instance at 0x11f1c1098>
 <__main__.Word instance at 0x11f1c1290>
 <__main__.Word instance at 0x11f1c1128>]",William,2_0,False,True,"[['d'], ['d'], ['d'], ['d'], ['d'], ['d'], ['d']]",ddddddd,ddddddd,1.0,True,-0.0
