num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x110c44560>];William;2_0;False;True;[['see']];see;see;1.0;0.0
1;[<__main__.Word instance at 0x110c447a0>];William;2_0;True;NaN;NaN;guys;NaN;NaN;NaN
2;[<__main__.Word instance at 0x110c44a28>];William;2_0;True;NaN;NaN;guys;NaN;NaN;NaN
3;[<__main__.Word instance at 0x110c448c0>];William;2_0;True;NaN;NaN;guys;NaN;NaN;NaN
4;[<__main__.Word instance at 0x11f1a3560>];William;2_0;True;NaN;NaN;guys;NaN;NaN;NaN
5;"[<__main__.Word instance at 0x11f1a3758>
 <__main__.Word instance at 0x11f1a38c0>
 <__main__.Word instance at 0x11f1a3a70>
 <__main__.Word instance at 0x11f1a3b90>]";William;2_0;False;False;[['what', 'about'], ['raisins'], ['the']];whatabouttheraisins;raisinsthewhatabout;0.166666666667;-0.182321556794
6;"[<__main__.Word instance at 0x11f1a3dd0>
 <__main__.Word instance at 0x11f1a3ef0>
 <__main__.Word instance at 0x110aab5a8>
 <__main__.Word instance at 0x110aaba28>]";William;2_0;False;True;[['Manuela'], ['a'], ['want'], ['raisin']];Manuelawantaraisin;Manuelawantaraisin;0.0416666666667;3.17805383035
7;"[<__main__.Word instance at 0x110aabb00>
 <__main__.Word instance at 0x110aada28>
 <__main__.Word instance at 0x110aad9e0>]";William;2_0;False;False;[['want'], ['a'], ['raisin']];wantaraisin;raisinawant;0.166666666667;-0.182321556794
8;[<__main__.Word instance at 0x110aadc68>];William;2_0;False;True;[['raisin']];raisin;raisin;1.0;0.0
9;"[<__main__.Word instance at 0x11f1a9170>
 <__main__.Word instance at 0x11f1a9290>]";William;2_0;False;True;[['raisin'], ['raisin']];raisinraisin;raisinraisin;0.5;0.69314718056
10;[<__main__.Word instance at 0x11f1a95a8>];William;2_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
11;"[<__main__.Word instance at 0x11f1a9710>
 <__main__.Word instance at 0x11f1a97e8>]";William;2_0;False;True;[['triangle'], ['the']];thetriangle;thetriangle;0.5;0.69314718056
12;[<__main__.Word instance at 0x11f1a98c0>];William;2_0;True;NaN;NaN;uhuh;NaN;NaN;NaN
13;"[<__main__.Word instance at 0x11f1a9998>
 <__main__.Word instance at 0x11f1a9830>]";William;2_0;False;True;[['oh'], ['&-uh']];&-uhoh;&-uhoh;0.5;0.69314718056
14;[<__main__.Word instance at 0x11f1a9518>];William;2_0;False;True;[['triangle']];triangle;triangle;1.0;0.0
15;"[<__main__.Word instance at 0x11f1a99e0>
 <__main__.Word instance at 0x11f1a9c20>]";William;2_0;True;NaN;NaN;trianglecircle;NaN;NaN;NaN
16;[<__main__.Word instance at 0x11f1a9fc8>];William;2_0;True;NaN;NaN;circle;NaN;NaN;NaN
17;[<__main__.Word instance at 0x11f1a9b90>];William;2_0;False;True;[['triangle']];triangle;triangle;1.0;0.0
18;[<__main__.Word instance at 0x11f1ae128>];William;2_0;False;True;[['blue']];blue;blue;1.0;0.0
19;[<__main__.Word instance at 0x11f1ae518>];William;2_0;False;True;[['red']];red;red;1.0;0.0
20;[<__main__.Word instance at 0x11f1ae440>];William;2_0;False;True;[['yellow']];yellow;yellow;1.0;0.0
21;"[<__main__.Word instance at 0x11f1ae1b8>
 <__main__.Word instance at 0x11f1ae8c0>]";William;2_0;False;True;[['&-uh'], ['&-uh']];&-uh&-uh;&-uh&-uh;0.5;0.69314718056
22;[<__main__.Word instance at 0x11f1ae908>];William;2_0;False;True;[['yummy']];yummy;yummy;1.0;0.0
23;[<__main__.Word instance at 0x11f1ae878>];William;2_0;False;True;[['car']];car;car;1.0;0.0
24;"[<__main__.Word instance at 0x11f1aeab8>
 <__main__.Word instance at 0x11f1aed40>]";William;2_0;False;False;[['got'], ['it']];gotit;itgot;0.5;-0.69314718056
