num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x11c4c1320>];Alex;2_6;False;True;[['no']];no;no;1.0;0.0
1;[<__main__.Word instance at 0x11c4c1518>];Alex;2_6;False;True;[['no']];no;no;1.0;0.0
2;[<__main__.Word instance at 0x11c4c1758>];Alex;2_6;True;NaN;NaN;outside;NaN;NaN;NaN
3;[<__main__.Word instance at 0x11c4c1998>];Alex;2_6;False;True;[['oh']];oh;oh;1.0;0.0
4;"[<__main__.Word instance at 0x11c4c1bd8>
 <__main__.Word instance at 0x11c4c1cb0>]";Alex;2_6;False;False;[['a'], ['two']];atwo;twoa;0.5;-0.69314718056
5;"[<__main__.Word instance at 0x11c4c1ea8>
 <__main__.Word instance at 0x11c4c1f38>]";Alex;2_6;False;False;[['a'], ['two']];atwo;twoa;0.5;-0.69314718056
6;[<__main__.Word instance at 0x10f566a70>];Alex;2_6;True;NaN;NaN;bye;NaN;NaN;NaN
7;[<__main__.Word instance at 0x10f566cf8>];Alex;2_6;True;NaN;NaN;nobody;NaN;NaN;NaN
8;[<__main__.Word instance at 0x10f566758>];Alex;2_6;False;True;[['no']];no;no;1.0;0.0
9;"[<__main__.Word instance at 0x10f566518>
 <__main__.Word instance at 0x10f5664d0>]";Alex;2_6;False;False;"[['that'], [""what's""]]";what'sthat;thatwhat's;0.5;-0.69314718056
10;"[<__main__.Word instance at 0x10f3cfab8>
 <__main__.Word instance at 0x10f3cfc68>]";Alex;2_6;True;NaN;NaN;afoot;NaN;NaN;NaN
11;"[<__main__.Word instance at 0x10f3cfbd8>
 <__main__.Word instance at 0x10f3cfc20>]";Alex;2_6;True;NaN;NaN;afoot;NaN;NaN;NaN
12;[<__main__.Word instance at 0x10f3cda28>];Alex;2_6;False;True;[['one']];one;one;1.0;0.0
13;"[<__main__.Word instance at 0x10f3cd998>
 <__main__.Word instance at 0x10f3cdb48>
 <__main__.Word instance at 0x10f3cdb00>
 <__main__.Word instance at 0x10f3cd4d0>
 <__main__.Word instance at 0x10f3cdc20>
 <__main__.Word instance at 0x11c4c7050>]";Alex;2_6;True;NaN;NaN;onetwothreewakeupJeff;NaN;NaN;NaN
14;"[<__main__.Word instance at 0x11c4c7170>
 <__main__.Word instance at 0x11c4c7200>]";Alex;2_6;False;True;[['oh'], ['oh']];ohoh;ohoh;0.5;0.69314718056
