,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x110aa9560>],Ethan,3_0,False,True,[['this']],this,this,1.0,False,-0.0
1,1,"[<__main__.Word instance at 0x110aa97a0>
 <__main__.Word instance at 0x110aa9cf8>
 <__main__.Word instance at 0x110aa9a28>
 <__main__.Word instance at 0x110aa9758>]",Ethan,3_0,False,True,"[['have'], ['backpack'], ['I'], ['on']]",Ihavebackpackon,Ihavebackpackon,0.0416666666667,False,3.1780538303479458
2,2,[<__main__.Word instance at 0x110aa9f80>],Ethan,3_0,True,,,microwave,,,NaN,NaN
3,3,[<__main__.Word instance at 0x110aa93f8>],Ethan,3_0,True,,,microwave,,,NaN,NaN
4,4,"[<__main__.Word instance at 0x110aa9680>
 <__main__.Word instance at 0x11d620440>
 <__main__.Word instance at 0x11d6205a8>]",Ethan,3_0,False,False,"[['this'], ['you', 'need']]",youneedthis,thisyouneed,0.5,False,-0.6931471805599453
5,5,"[<__main__.Word instance at 0x11d620758>
 <__main__.Word instance at 0x11d620878>]",Ethan,3_0,True,,,you'reexplorer,,,NaN,NaN
6,6,"[<__main__.Word instance at 0x11d620a28>
 <__main__.Word instance at 0x11d620b90>]",Ethan,3_0,False,False,"[['hard'], ['hat']]",hardhat,hathard,0.5,False,-0.6931471805599453
7,7,"[<__main__.Word instance at 0x11d620cf8>
 <__main__.Word instance at 0x11d620d88>
 <__main__.Word instance at 0x11d620e18>]",Ethan,3_0,True,,,someseabirds,,,NaN,NaN
8,8,"[<__main__.Word instance at 0x11d620f38>
 <__main__.Word instance at 0x11d620fc8>]",Ethan,3_0,True,,,warblerwarbler,,,NaN,NaN
9,9,"[<__main__.Word instance at 0x1109104d0>
 <__main__.Word instance at 0x110910368>]",Ethan,3_0,True,,,birdbird,,,NaN,NaN
10,10,"[<__main__.Word instance at 0x110910908>
 <__main__.Word instance at 0x110910b00>]",Ethan,3_0,False,False,"[[""what's""], ['that']]",what'sthat,thatwhat's,0.5,False,-0.6931471805599453
11,11,[<__main__.Word instance at 0x110910c20>],Ethan,3_0,False,True,[['Brio']],Brio,Brio,1.0,False,-0.0
