,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x1083964d0>],Lily,1_6,True,,,&,,,NaN,NaN
1,1,[<__main__.Word instance at 0x1083966c8>],Lily,1_6,True,,,&,,,NaN,NaN
2,2,[<__main__.Word instance at 0x108396c20>],Lily,1_6,True,,,&muah,,,NaN,NaN
3,3,[<__main__.Word instance at 0x1156f2098>],Lily,1_6,True,,,&,,,NaN,NaN
4,4,[<__main__.Word instance at 0x1156f2248>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
5,5,[<__main__.Word instance at 0x1156f23f8>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
6,6,[<__main__.Word instance at 0x1156f2680>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
7,7,[<__main__.Word instance at 0x1156f27e8>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
8,8,[<__main__.Word instance at 0x1156f2950>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
9,9,[<__main__.Word instance at 0x1156f2ab8>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
10,10,[<__main__.Word instance at 0x1156f2c68>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
11,11,[<__main__.Word instance at 0x1156f2e18>],Lily,1_6,False,True,[['mommy']],mommy,mommy,1.0,False,-0.0
12,12,[<__main__.Word instance at 0x1156f2f38>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
13,13,[<__main__.Word instance at 0x10852f560>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
14,14,[<__main__.Word instance at 0x10852f7a0>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
15,15,[<__main__.Word instance at 0x10852fa28>],Lily,1_6,False,True,[['mommy']],mommy,mommy,1.0,False,-0.0
16,16,[<__main__.Word instance at 0x10852f680>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
17,17,[<__main__.Word instance at 0x10852f518>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
18,18,[<__main__.Word instance at 0x10852f3f8>],Lily,1_6,False,True,[['mommy']],mommy,mommy,1.0,False,-0.0
19,19,[<__main__.Word instance at 0x108398ab8>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
20,20,[<__main__.Word instance at 0x108398c20>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
21,21,[<__main__.Word instance at 0x1083989e0>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
22,22,[<__main__.Word instance at 0x1156f8050>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
23,23,[<__main__.Word instance at 0x1156f8200>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
24,24,[<__main__.Word instance at 0x1156f82d8>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
25,25,[<__main__.Word instance at 0x1156f8248>],Lily,1_6,True,,,&,,,NaN,NaN
26,26,[<__main__.Word instance at 0x1156f8560>],Lily,1_6,True,,,&muah,,,NaN,NaN
27,27,[<__main__.Word instance at 0x1156f8638>],Lily,1_6,True,,,duckie,,,NaN,NaN
28,28,[<__main__.Word instance at 0x1156f85a8>],Lily,1_6,False,True,[['no']],no,no,1.0,False,-0.0
29,29,[<__main__.Word instance at 0x1156f8440>],Lily,1_6,True,,,&,,,NaN,NaN
30,30,[<__main__.Word instance at 0x1156f8758>],Lily,1_6,True,,,blah,,,NaN,NaN
31,31,[<__main__.Word instance at 0x1156f8680>],Lily,1_6,False,True,[['mommy']],mommy,mommy,1.0,False,-0.0
32,32,[<__main__.Word instance at 0x1156f86c8>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
33,33,[<__main__.Word instance at 0x1156f8ab8>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
34,34,[<__main__.Word instance at 0x1156f8bd8>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
35,35,[<__main__.Word instance at 0x1156f8830>],Lily,1_6,True,,,woofy,,,NaN,NaN
36,36,[<__main__.Word instance at 0x1156f8908>],Lily,1_6,True,,,woofy,,,NaN,NaN
37,37,[<__main__.Word instance at 0x1156f8cf8>],Lily,1_6,True,,,woof,,,NaN,NaN
38,38,[<__main__.Word instance at 0x1156f8ef0>],Lily,1_6,True,,,blah,,,NaN,NaN
39,39,[<__main__.Word instance at 0x1156fb098>],Lily,1_6,True,,,blah,,,NaN,NaN
40,40,[<__main__.Word instance at 0x1156fb290>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
41,41,"[<__main__.Word instance at 0x1156fb518>
 <__main__.Word instance at 0x1156fb5a8>]",Lily,1_6,False,True,"[['Pooh', 'Bear']]",PoohBear,PoohBear,1.0,False,-0.0
42,42,[<__main__.Word instance at 0x1156fb758>],Lily,1_6,True,,,blah,,,NaN,NaN
43,43,[<__main__.Word instance at 0x1156fb830>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
44,44,"[<__main__.Word instance at 0x1156fb8c0>
 <__main__.Word instance at 0x1156fb7a0>]",Lily,1_6,False,True,"[['Pooh', 'Bear']]",PoohBear,PoohBear,1.0,False,-0.0
45,45,[<__main__.Word instance at 0x1156fb560>],Lily,1_6,True,,,Poohbie,,,NaN,NaN
46,46,[<__main__.Word instance at 0x1156fb368>],Lily,1_6,True,,,&,,,NaN,NaN
47,47,[<__main__.Word instance at 0x1156fb5f0>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
48,48,[<__main__.Word instance at 0x1156fbbd8>],Lily,1_6,False,True,[['hm']],hm,hm,1.0,False,-0.0
49,49,[<__main__.Word instance at 0x1156fba28>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
50,50,[<__main__.Word instance at 0x1156fbd88>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
51,51,[<__main__.Word instance at 0x1156fbb00>],Lily,1_6,False,True,[['hm']],hm,hm,1.0,False,-0.0
52,52,[<__main__.Word instance at 0x1156ff0e0>],Lily,1_6,False,True,[['backpack']],backpack,backpack,1.0,False,-0.0
53,53,[<__main__.Word instance at 0x1156ff248>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
54,54,[<__main__.Word instance at 0x1156ff440>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
55,55,[<__main__.Word instance at 0x1156ff5a8>],Lily,1_6,False,True,[['mommy']],mommy,mommy,1.0,False,-0.0
56,56,[<__main__.Word instance at 0x1156ff7a0>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
57,57,[<__main__.Word instance at 0x1156ff830>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
58,58,[<__main__.Word instance at 0x1156ff8c0>],Lily,1_6,False,True,[['puppy']],puppy,puppy,1.0,False,-0.0
59,59,[<__main__.Word instance at 0x1156ff560>],Lily,1_6,True,,,doggy,,,NaN,NaN
60,60,[<__main__.Word instance at 0x1156ffa70>],Lily,1_6,False,True,[['puppy']],puppy,puppy,1.0,False,-0.0
61,61,[<__main__.Word instance at 0x1156ffb48>],Lily,1_6,False,True,[['ah']],ah,ah,1.0,False,-0.0
62,62,[<__main__.Word instance at 0x1156ffc20>],Lily,1_6,True,,,&,,,NaN,NaN
63,63,"[<__main__.Word instance at 0x1156ffd40>
 <__main__.Word instance at 0x1156fff80>]",Lily,1_6,True,,,bumblebee,,,NaN,NaN
64,64,[<__main__.Word instance at 0x115702098>],Lily,1_6,False,True,[['ah']],ah,ah,1.0,False,-0.0
65,65,[<__main__.Word instance at 0x115702368>],Lily,1_6,False,True,[['puppy']],puppy,puppy,1.0,False,-0.0
66,66,[<__main__.Word instance at 0x115702050>],Lily,1_6,False,True,[['puppy']],puppy,puppy,1.0,False,-0.0
67,67,[<__main__.Word instance at 0x115702290>],Lily,1_6,True,,,woof,,,NaN,NaN
68,68,[<__main__.Word instance at 0x1157021b8>],Lily,1_6,False,True,[['moon']],moon,moon,1.0,False,-0.0
69,69,"[<__main__.Word instance at 0x115702680>
 <__main__.Word instance at 0x115702830>]",Lily,1_6,True,,,ahelicopter,,,NaN,NaN
70,70,[<__main__.Word instance at 0x115702908>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
71,71,[<__main__.Word instance at 0x115702998>],Lily,1_6,True,,,bleh,,,NaN,NaN
72,72,[<__main__.Word instance at 0x115702ab8>],Lily,1_6,True,,,bleh,,,NaN,NaN
73,73,[<__main__.Word instance at 0x115702b90>],Lily,1_6,False,True,[['hm']],hm,hm,1.0,False,-0.0
74,74,[<__main__.Word instance at 0x115702b00>],Lily,1_6,True,,,&,,,NaN,NaN
75,75,[<__main__.Word instance at 0x115702bd8>],Lily,1_6,True,,,&,,,NaN,NaN
76,76,[<__main__.Word instance at 0x115702cb0>],Lily,1_6,False,True,[['puppy']],puppy,puppy,1.0,False,-0.0
77,77,[<__main__.Word instance at 0x115702d88>],Lily,1_6,False,True,[['gaudy']],gaudy,gaudy,1.0,False,-0.0
78,78,[<__main__.Word instance at 0x115702e60>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
79,79,[<__main__.Word instance at 0x115702248>],Lily,1_6,False,True,[['gaudy']],gaudy,gaudy,1.0,False,-0.0
80,80,[<__main__.Word instance at 0x1157050e0>],Lily,1_6,False,True,[['gaudy']],gaudy,gaudy,1.0,False,-0.0
81,81,[<__main__.Word instance at 0x115705050>],Lily,1_6,False,True,[['huh']],huh,huh,1.0,False,-0.0
82,82,[<__main__.Word instance at 0x115705518>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
83,83,[<__main__.Word instance at 0x115705488>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
