num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x104e94a70>];Lily;2_0;False;True;[['Manuela']];Manuela;Manuela;1.0;0.0
1;"[<__main__.Word instance at 0x104e94908>
 <__main__.Word instance at 0x104e94638>]";Lily;2_0;True;NaN;NaN;LalaLala;NaN;NaN;NaN
2;[<__main__.Word instance at 0x104e94680>];Lily;2_0;True;NaN;NaN;Lala;NaN;NaN;NaN
3;[<__main__.Word instance at 0x104e94440>];Lily;2_0;False;True;[['no']];no;no;1.0;0.0
4;"[<__main__.Word instance at 0x104e94488>
 <__main__.Word instance at 0x1124a8290>]";Lily;2_0;False;True;[['in', 'here']];inhere;inhere;1.0;0.0
5;[<__main__.Word instance at 0x1124a8518>];Lily;2_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
6;[<__main__.Word instance at 0x1124a8758>];Lily;2_0;False;True;[['okay']];okay;okay;1.0;0.0
7;[<__main__.Word instance at 0x1124a88c0>];Lily;2_0;False;True;[['okay']];okay;okay;1.0;0.0
8;[<__main__.Word instance at 0x1124a8998>];Lily;2_0;False;True;[['up']];up;up;1.0;0.0
9;[<__main__.Word instance at 0x1124a8bd8>];Lily;2_0;False;True;[['on']];on;on;1.0;0.0
10;"[<__main__.Word instance at 0x1124a8cb0>
 <__main__.Word instance at 0x1124a8dd0>
 <__main__.Word instance at 0x1124a8e60>
 <__main__.Word instance at 0x1124a8ef0>
 <__main__.Word instance at 0x1124a8f80>]";Lily;2_0;False;True;[['wiggle'], ['wiggle'], ['wiggle'], ['wiggle'], ['wiggle']];wigglewigglewigglewigglewiggle;wigglewigglewigglewigglewiggle;0.00833333333333;4.78749174278
11;"[<__main__.Word instance at 0x104cfba28>
 <__main__.Word instance at 0x104cfb4d0>]";Lily;2_0;False;True;[['wiggle'], ['wiggle']];wigglewiggle;wigglewiggle;0.5;0.69314718056
12;"[<__main__.Word instance at 0x104cfbb00>
 <__main__.Word instance at 0x104cfbb48>]";Lily;2_0;False;True;[['wiggle'], ['wiggle']];wigglewiggle;wigglewiggle;0.5;0.69314718056
13;"[<__main__.Word instance at 0x104cfb5a8>
 <__main__.Word instance at 0x104cefcf8>]";Lily;2_0;False;True;[['wiggle'], ['wiggle']];wigglewiggle;wigglewiggle;0.5;0.69314718056
14;"[<__main__.Word instance at 0x1124ae0e0>
 <__main__.Word instance at 0x1124ae170>]";Lily;2_0;False;True;[['wiggle'], ['wiggle']];wigglewiggle;wigglewiggle;0.5;0.69314718056
15;"[<__main__.Word instance at 0x1124ae290>
 <__main__.Word instance at 0x1124ae320>]";Lily;2_0;False;True;[['wiggle'], ['wiggle']];wigglewiggle;wigglewiggle;0.5;0.69314718056
16;"[<__main__.Word instance at 0x1124ae440>
 <__main__.Word instance at 0x1124ae5f0>]";Lily;2_0;False;True;[['wiggle'], ['wiggle']];wigglewiggle;wigglewiggle;0.5;0.69314718056
17;[<__main__.Word instance at 0x1124ae7e8>];Lily;2_0;False;True;[['okay']];okay;okay;1.0;0.0
18;[<__main__.Word instance at 0x1124ae998>];Lily;2_0;False;True;[['yes']];yes;yes;1.0;0.0
19;"[<__main__.Word instance at 0x1124aeb90>
 <__main__.Word instance at 0x1124ae830>]";Lily;2_0;False;False;[['yeah'], ['backpack']];backpackyeah;yeahbackpack;0.5;-0.69314718056
20;"[<__main__.Word instance at 0x1124aedd0>
 <__main__.Word instance at 0x1124aec68>
 <__main__.Word instance at 0x1124aee60>
 <__main__.Word instance at 0x1124ae9e0>
 <__main__.Word instance at 0x1124aeb00>]";Lily;2_0;False;True;[['wiggle'], ['wiggle'], ['wiggle'], ['wiggle'], ['wiggle']];wigglewigglewigglewigglewiggle;wigglewigglewigglewigglewiggle;0.00833333333333;4.78749174278
21;[<__main__.Word instance at 0x1124b12d8>];Lily;2_0;False;True;[['Manuela']];Manuela;Manuela;1.0;0.0
22;"[<__main__.Word instance at 0x1124b1098>
 <__main__.Word instance at 0x1124b15a8>
 <__main__.Word instance at 0x1124b1680>
 <__main__.Word instance at 0x1124b1518>]";Lily;2_0;False;False;[['wiggle'], ['know'], ['what'], ['say']];knowwhatsaywiggle;wiggleknowwhatsay;0.0416666666667;-0.0425596144188
23;[<__main__.Word instance at 0x1124b15f0>];Lily;2_0;True;NaN;NaN;lettuce;NaN;NaN;NaN
24;[<__main__.Word instance at 0x1124b11b8>];Lily;2_0;False;True;[['yes']];yes;yes;1.0;0.0
25;[<__main__.Word instance at 0x1124b1998>];Lily;2_0;False;True;[['Lily']];Lily;Lily;1.0;0.0
26;"[<__main__.Word instance at 0x1124b1b00>
 <__main__.Word instance at 0x1124b1e18>]";Lily;2_0;False;True;[['and'], ['mommy']];andmommy;andmommy;0.5;0.69314718056
27;[<__main__.Word instance at 0x1124b1ef0>];Lily;2_0;False;True;[['wiggle']];wiggle;wiggle;1.0;0.0
28;"[<__main__.Word instance at 0x1124b1d40>
 <__main__.Word instance at 0x1124b1e60>]";Lily;2_0;False;True;[['wiggle'], ['wiggle']];wigglewiggle;wigglewiggle;0.5;0.69314718056
29;[<__main__.Word instance at 0x1124b1f38>];Lily;2_0;False;True;[['no']];no;no;1.0;0.0
30;[<__main__.Word instance at 0x1124b1440>];Lily;2_0;False;True;[['no']];no;no;1.0;0.0
31;"[<__main__.Word instance at 0x1124b4248>
 <__main__.Word instance at 0x1124b4200>]";Lily;2_0;False;False;[['yeah'], ['oh']];ohyeah;yeahoh;0.5;-0.69314718056
32;[<__main__.Word instance at 0x1124b43b0>];Lily;2_0;False;True;[['no']];no;no;1.0;0.0
33;[<__main__.Word instance at 0x1124b4518>];Lily;2_0;False;True;[['no']];no;no;1.0;0.0
34;[<__main__.Word instance at 0x1124b4638>];Lily;2_0;True;NaN;NaN;necklace;NaN;NaN;NaN
35;"[<__main__.Word instance at 0x1124b46c8>
 <__main__.Word instance at 0x1124b40e0>]";Lily;2_0;False;True;[['nuh'], ['nuh']];nuhnuh;nuhnuh;0.5;0.69314718056
36;[<__main__.Word instance at 0x1124b4758>];Lily;2_0;False;True;[['yes']];yes;yes;1.0;0.0
37;"[<__main__.Word instance at 0x1124b4290>
 <__main__.Word instance at 0x1124b4a70>]";Lily;2_0;False;False;[['oh'], ['know']];ohknow;knowoh;0.5;-0.69314718056
38;[<__main__.Word instance at 0x1124b4b48>];Lily;2_0;False;True;[['no']];no;no;1.0;0.0
39;"[<__main__.Word instance at 0x1124b4c20>
 <__main__.Word instance at 0x1124b49e0>]";Lily;2_0;False;True;[['no'], ['mommy']];nomommy;nomommy;0.5;0.69314718056
40;"[<__main__.Word instance at 0x1124b4b90>
 <__main__.Word instance at 0x1124b4dd0>
 <__main__.Word instance at 0x1124b4c68>]";Lily;2_0;False;True;[['Manuela'], ['&-uh'], ['Manuela']];&-uhManuelaManuela;&-uhManuelaManuela;0.166666666667;1.79175946923
41;[<__main__.Word instance at 0x1124b4d40>];Lily;2_0;False;True;[['no']];no;no;1.0;0.0
42;[<__main__.Word instance at 0x1124b4e18>];Lily;2_0;False;True;[['yes']];yes;yes;1.0;0.0
43;[<__main__.Word instance at 0x1124b4fc8>];Lily;2_0;False;True;[['Manuela']];Manuela;Manuela;1.0;0.0
44;"[<__main__.Word instance at 0x1124b4ab8>
 <__main__.Word instance at 0x1124b8098>]";Lily;2_0;False;False;[['Manuela'], ['oh']];ohManuela;Manuelaoh;0.5;-0.69314718056
45;[<__main__.Word instance at 0x1124b8368>];Lily;2_0;False;True;[['Manuela']];Manuela;Manuela;1.0;0.0
46;"[<__main__.Word instance at 0x1124b82d8>
 <__main__.Word instance at 0x1124b84d0>
 <__main__.Word instance at 0x1124b8290>
 <__main__.Word instance at 0x1124b85a8>
 <__main__.Word instance at 0x1124b8440>
 <__main__.Word instance at 0x1124b8680>]";Lily;2_0;False;True;[['wiggle'], ['wiggle'], ['wiggle'], ['wiggle'], ['wiggle'], ['wiggle']];wigglewigglewigglewigglewigglewiggle;wigglewigglewigglewigglewigglewiggle;0.00138888888889;6.57925121201
47;[<__main__.Word instance at 0x1124b8758>];Lily;2_0;False;True;[['yes']];yes;yes;1.0;0.0
48;[<__main__.Word instance at 0x1124b87a0>];Lily;2_0;False;True;[['wiggle']];wiggle;wiggle;1.0;0.0
49;"[<__main__.Word instance at 0x1124b85f0>
 <__main__.Word instance at 0x1124b8b90>]";Lily;2_0;False;True;[['wiggle'], ['wiggle']];wigglewiggle;wigglewiggle;0.5;0.69314718056
50;[<__main__.Word instance at 0x1124b8c68>];Lily;2_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
51;"[<__main__.Word instance at 0x1124b8d40>
 <__main__.Word instance at 0x1124b8bd8>]";Lily;2_0;False;True;[['wiggle'], ['wiggle']];wigglewiggle;wigglewiggle;0.5;0.69314718056
52;[<__main__.Word instance at 0x1124b8e18>];Lily;2_0;False;True;[['hello']];hello;hello;1.0;0.0
53;"[<__main__.Word instance at 0x1124b8b48>
 <__main__.Word instance at 0x1124b8f38>
 <__main__.Word instance at 0x1124b8d88>]";Lily;2_0;True;NaN;NaN;HucklecatandSally;NaN;NaN;NaN
54;[<__main__.Word instance at 0x1124b8cb0>];Lily;2_0;False;True;[['Hucklecat']];Hucklecat;Hucklecat;1.0;0.0
55;[<__main__.Word instance at 0x1124b86c8>];Lily;2_0;True;NaN;NaN;Sally;NaN;NaN;NaN
56;"[<__main__.Word instance at 0x1124bf0e0>
 <__main__.Word instance at 0x1124bf1b8>
 <__main__.Word instance at 0x1124bf248>
 <__main__.Word instance at 0x1124bf128>
 <__main__.Word instance at 0x1124bf4d0>
 <__main__.Word instance at 0x1124bf440>
 <__main__.Word instance at 0x1124bf5f0>]";Lily;2_0;False;True;[['and', 'lowly', 'worm', 'has', 'one', 'shoe'], ['on']];andlowlywormhasoneshoeon;andlowlywormhasoneshoeon;0.5;0.69314718056
57;[<__main__.Word instance at 0x1124bf680>];Lily;2_0;False;True;[['right']];right;right;1.0;0.0
58;[<__main__.Word instance at 0x1124bf710>];Lily;2_0;True;NaN;NaN;raincoat;NaN;NaN;NaN
59;"[<__main__.Word instance at 0x1124bf8c0>
 <__main__.Word instance at 0x1124bfbd8>
 <__main__.Word instance at 0x1124bfa70>]";Lily;2_0;True;NaN;NaN;andasweater;NaN;NaN;NaN
60;"[<__main__.Word instance at 0x1124bf998>
 <__main__.Word instance at 0x1124bfe60>
 <__main__.Word instance at 0x1124bfcf8>]";Lily;2_0;True;NaN;NaN;andacap;NaN;NaN;NaN
61;"[<__main__.Word instance at 0x1124bfb90>
 <__main__.Word instance at 0x1124bb0e0>
 <__main__.Word instance at 0x1124bb200>]";Lily;2_0;False;True;[['a', 'hat'], ['and']];andahat;andahat;0.5;0.69314718056
62;"[<__main__.Word instance at 0x1124bb368>
 <__main__.Word instance at 0x1124bb440>]";Lily;2_0;True;NaN;NaN;andsweater;NaN;NaN;NaN
63;"[<__main__.Word instance at 0x1124bb4d0>
 <__main__.Word instance at 0x1124bb3b0>
 <__main__.Word instance at 0x1124bb560>
 <__main__.Word instance at 0x1124bb758>]";Lily;2_0;True;NaN;NaN;andagloveglove;NaN;NaN;NaN
64;"[<__main__.Word instance at 0x1124bb830>
 <__main__.Word instance at 0x1124bb050>
 <__main__.Word instance at 0x1124bb8c0>
 <__main__.Word instance at 0x1124bb7a0>
 <__main__.Word instance at 0x1124bba28>]";Lily;2_0;True;NaN;NaN;Bugissittingasock;NaN;NaN;NaN
65;"[<__main__.Word instance at 0x1124bb998>
 <__main__.Word instance at 0x1124bbc68>
 <__main__.Word instance at 0x1124bbb00>]";Lily;2_0;True;NaN;NaN;mommy'scookegg;NaN;NaN;NaN
66;[<__main__.Word instance at 0x1124bb710>];Lily;2_0;False;True;[['blah']];blah;blah;1.0;0.0
67;[<__main__.Word instance at 0x1124bbd88>];Lily;2_0;False;True;[['blah']];blah;blah;1.0;0.0
68;"[<__main__.Word instance at 0x1124bbab8>
 <__main__.Word instance at 0x1124bb5f0>]";Lily;2_0;False;True;[['blah'], ['blah']];blahblah;blahblah;0.5;0.69314718056
69;[<__main__.Word instance at 0x1124bbf38>];Lily;2_0;False;True;[['blah']];blah;blah;1.0;0.0
70;"[<__main__.Word instance at 0x104cf43b0>
 <__main__.Word instance at 0x104cf4b48>
 <__main__.Word instance at 0x104cf44d0>
 <__main__.Word instance at 0x104cf4440>
 <__main__.Word instance at 0x104cfa5f0>
 <__main__.Word instance at 0x104cfa5a8>
 <__main__.Word instance at 0x1124c2128>]";Lily;2_0;False;False;"[['a'], ['that'], ['a'], ['&-um'], ['lollipop'], [""it's""], ['red']]";thata&-umit'saredlollipop;redlollipopa&-umit'sathat;0.000198412698413;-0.000198432384816
71;[<__main__.Word instance at 0x1124c2290>];Lily;2_0;False;True;[['no']];no;no;1.0;0.0
72;"[<__main__.Word instance at 0x1124c2488>
 <__main__.Word instance at 0x1124c2320>
 <__main__.Word instance at 0x1124c2560>
 <__main__.Word instance at 0x1124c2638>
 <__main__.Word instance at 0x1124c24d0>]";Lily;2_0;False;False;[['a', 'spoon'], ['and'], ['a', 'fork']];aforkandaspoon;andaspoonafork;0.166666666667;-0.182321556794
73;"[<__main__.Word instance at 0x1124c25a8>
 <__main__.Word instance at 0x1124c28c0>
 <__main__.Word instance at 0x1124c2758>]";Lily;2_0;False;True;[['his'], ['wash'], ['hand']];washhishand;washhishand;0.166666666667;1.79175946923
74;"[<__main__.Word instance at 0x1124c2248>
 <__main__.Word instance at 0x1124c2a28>]";Lily;2_0;False;True;[['I', 'think']];Ithink;Ithink;1.0;0.0
75;"[<__main__.Word instance at 0x1124c2d88>
 <__main__.Word instance at 0x1124c2b90>
 <__main__.Word instance at 0x1124c2dd0>
 <__main__.Word instance at 0x1124c2cf8>]";Lily;2_0;True;NaN;NaN;LowlyWormissitting;NaN;NaN;NaN
76;"[<__main__.Word instance at 0x1124c2e60>
 <__main__.Word instance at 0x1124c2c20>]";Lily;2_0;True;NaN;NaN;onneck;NaN;NaN;NaN
77;[<__main__.Word instance at 0x1124c2908>];Lily;2_0;False;True;[['Manuela']];Manuela;Manuela;1.0;0.0
78;"[<__main__.Word instance at 0x104cf2d40>
 <__main__.Word instance at 0x104cf2dd0>
 <__main__.Word instance at 0x104cf2e18>
 <__main__.Word instance at 0x104cfdab8>
 <__main__.Word instance at 0x104cfdc68>
 <__main__.Word instance at 0x104cfd9e0>
 <__main__.Word instance at 0x104cfdc20>
 <__main__.Word instance at 0x104cfdbd8>
 <__main__.Word instance at 0x104cfda28>
 <__main__.Word instance at 0x104cfdcf8>
 <__main__.Word instance at 0x104cfd7e8>
 <__main__.Word instance at 0x104cfd8c0>]";Lily;2_0;True;NaN;NaN;&-umitLowlyWormissittingininininain;NaN;NaN;NaN
79;"[<__main__.Word instance at 0x104cfd6c8>
 <__main__.Word instance at 0x104cfdb90>
 <__main__.Word instance at 0x104eba170>
 <__main__.Word instance at 0x104ebaa28>
 <__main__.Word instance at 0x104eba878>]";Lily;2_0;False;False;"[[""he's""], ['a', 'bib'], ['&-um'], ['&-um']]";he's&-um&-umabib;&-um&-umhe'sabib;0.0416666666667;-0.0425596144188
80;[<__main__.Word instance at 0x1124c7200>];Lily;2_0;False;True;[['strawberries']];strawberries;strawberries;1.0;0.0
81;[<__main__.Word instance at 0x1124c7320>];Lily;2_0;True;NaN;NaN;toast;NaN;NaN;NaN
82;[<__main__.Word instance at 0x1124c7290>];Lily;2_0;False;True;[['egg']];egg;egg;1.0;0.0
