,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x112044e60>],Lily,3_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
1,1,[<__main__.Word instance at 0x1054ef560>],Lily,3_6,False,True,[['no']],no,no,1.0,False,-0.0
2,2,[<__main__.Word instance at 0x1054ef7a0>],Lily,3_6,False,True,[['nothing']],nothing,nothing,1.0,False,-0.0
3,3,[<__main__.Word instance at 0x1054efa28>],Lily,3_6,False,True,[['no']],no,no,1.0,False,-0.0
4,4,"[<__main__.Word instance at 0x1054ef8c0>
 <__main__.Word instance at 0x1054ef518>]",Lily,3_6,False,True,"[['which'], ['Elasmosaurus']]",whichElasmosaurus,whichElasmosaurus,0.5,False,0.6931471805599453
5,5,[<__main__.Word instance at 0x1054ef3f8>],Lily,3_6,False,True,[['no']],no,no,1.0,False,-0.0
6,6,[<__main__.Word instance at 0x112049098>],Lily,3_6,False,True,[['mommy']],mommy,mommy,1.0,False,-0.0
7,7,"[<__main__.Word instance at 0x1120492d8>
 <__main__.Word instance at 0x1120493f8>]",Lily,3_6,False,True,"[['&-uh'], ['&-uh']]",&-uh&-uh,&-uh&-uh,1.0,True,-0.0
8,8,"[<__main__.Word instance at 0x1120495f0>
 <__main__.Word instance at 0x1120496c8>
 <__main__.Word instance at 0x1120497e8>
 <__main__.Word instance at 0x112049908>]",Lily,3_6,False,False,"[['&-um'], ['I', ""don't""], ['want']]",Idon'twant&-um,&-umwantIdon't,0.166666666667,False,-0.1823215567939546
9,9,"[<__main__.Word instance at 0x112049ab8>
 <__main__.Word instance at 0x112049b90>
 <__main__.Word instance at 0x112049c20>]",Lily,3_6,False,False,"[['backpack'], ['in'], ['the']]",inthebackpack,thebackpackin,0.166666666667,False,-0.1823215567939546
10,10,"[<__main__.Word instance at 0x112049d40>
 <__main__.Word instance at 0x112049dd0>
 <__main__.Word instance at 0x112049e60>]",Lily,3_6,False,True,"[['I', ""don't"", 'know']]",Idon'tknow,Idon'tknow,1.0,False,-0.0
11,11,"[<__main__.Word instance at 0x112049ea8>
 <__main__.Word instance at 0x112049f80>]",Lily,3_6,False,True,"[['my'], ['Manuela']]",myManuela,myManuela,0.5,False,0.6931471805599453
12,12,[<__main__.Word instance at 0x105358ab8>],Lily,3_6,False,True,"[[""Gabi's""]]",Gabi's,Gabi's,1.0,False,-0.0
13,13,[<__main__.Word instance at 0x105358c20>],Lily,3_6,False,True,[['what']],what,what,1.0,False,-0.0
14,14,"[<__main__.Word instance at 0x105358bd8>
 <__main__.Word instance at 0x1053565a8>]",Lily,3_6,False,True,"[['thunder'], ['lizard']]",thunderlizard,thunderlizard,0.5,False,0.6931471805599453
