,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x11cca2320>
 <__main__.Word instance at 0x11cca23b0>]",Naima,3_0,True,,,ohpush,,,NaN,NaN
1,1,"[<__main__.Word instance at 0x11cca25a8>
 <__main__.Word instance at 0x11cca26c8>
 <__main__.Word instance at 0x11cca2758>
 <__main__.Word instance at 0x11cca27e8>
 <__main__.Word instance at 0x11cca2878>]",Naima,3_0,False,False,"[['all'], ['all'], [""that's""], [""that's""], [""that's""]]",that'sthat'sallthat'sall,allthat'sallthat'sthat's,0.1,True,-0.10536051565782628
2,2,"[<__main__.Word instance at 0x11cca2998>
 <__main__.Word instance at 0x11cca2a28>
 <__main__.Word instance at 0x11cca2ab8>
 <__main__.Word instance at 0x11cca28c0>
 <__main__.Word instance at 0x11cca2c20>
 <__main__.Word instance at 0x11cca2cb0>
 <__main__.Word instance at 0x11cca2d40>
 <__main__.Word instance at 0x11cca2dd0>
 <__main__.Word instance at 0x11cca2e60>]",Naima,3_0,False,False,"[['got'], ['of'], [""that's""], ['I'], ['because'], ['the', 'farm'], ['animals'], ['all']]",that'sallofthefarmanimalsbecauseIgot,becauseofallIgotanimalsthat'sthefarm,2.48015873016e-05,False,-2.48018948660112e-05
3,3,[<__main__.Word instance at 0x11cca2fc8>],Naima,3_0,False,True,[['why']],why,why,1.0,False,-0.0
4,4,[<__main__.Word instance at 0x10fc6da28>],Naima,3_0,False,True,[['yes']],yes,yes,1.0,False,-0.0
5,5,"[<__main__.Word instance at 0x10fc6dc68>
 <__main__.Word instance at 0x10fc6d9e0>
 <__main__.Word instance at 0x10fc6dc20>
 <__main__.Word instance at 0x10fc6b6c8>
 <__main__.Word instance at 0x10fc6b5a8>
 <__main__.Word instance at 0x10fc6b4d0>
 <__main__.Word instance at 0x10fc6b908>]",Naima,3_0,True,,,Daddy'sgonnabeabletogointo,,,NaN,NaN
6,6,"[<__main__.Word instance at 0x10fc6b998>
 <__main__.Word instance at 0x10fc6bb48>
 <__main__.Word instance at 0x10fc6ba28>
 <__main__.Word instance at 0x10fc6bc20>
 <__main__.Word instance at 0x10fe04560>]",Naima,3_0,False,False,"[['in'], ['the'], ['that'], ['get'], ['patients']]",getthatpatientsinthe,thatpatientsgetinthe,0.00833333333333,False,-0.00836824967051658
7,7,"[<__main__.Word instance at 0x10fe047a0>
 <__main__.Word instance at 0x10fe04cf8>]",Naima,3_0,False,True,"[['and'], ['make']]",andmake,andmake,0.5,False,0.6931471805599453
8,8,"[<__main__.Word instance at 0x10fe04758>
 <__main__.Word instance at 0x10fe04710>
 <__main__.Word instance at 0x10fe045a8>
 <__main__.Word instance at 0x10fe048c0>
 <__main__.Word instance at 0x10fe04f80>
 <__main__.Word instance at 0x10fe049e0>
 <__main__.Word instance at 0x10fe04518>
 <__main__.Word instance at 0x10fe044d0>]",Naima,3_0,True,,,andyouhave_topatientstoexerciseonthere,,,NaN,NaN
9,9,"[<__main__.Word instance at 0x10fe04680>
 <__main__.Word instance at 0x11cca8098>
 <__main__.Word instance at 0x11cca8128>
 <__main__.Word instance at 0x11cca81b8>
 <__main__.Word instance at 0x11cca8248>]",Naima,3_0,True,,,hewillbeableto,,,NaN,NaN
10,10,"[<__main__.Word instance at 0x11cca8368>
 <__main__.Word instance at 0x11cca83b0>
 <__main__.Word instance at 0x11cca85a8>]",Naima,3_0,True,,,andhave_toboth,,,NaN,NaN
11,11,"[<__main__.Word instance at 0x11cca8638>
 <__main__.Word instance at 0x11cca8830>
 <__main__.Word instance at 0x11cca86c8>
 <__main__.Word instance at 0x11cca8908>
 <__main__.Word instance at 0x11cca89e0>
 <__main__.Word instance at 0x11cca8878>
 <__main__.Word instance at 0x11cca8a70>
 <__main__.Word instance at 0x11cca8950>
 <__main__.Word instance at 0x11cca8c68>
 <__main__.Word instance at 0x11cca8b00>]",Naima,3_0,False,False,"[['the'], ['be'], ['doctor'], ['have_to'], ['to'], ['has'], ['be'], ['there'], ['and'], ['nurse']]",hastobetherethenurseandhave_tobedoctor,andthetheretobenursebehasdoctorhave_to,5.5114638448e-07,True,-5.511465364121339e-07
12,12,"[<__main__.Word instance at 0x11cca8560>
 <__main__.Word instance at 0x11cca8ef0>
 <__main__.Word instance at 0x11cca8d88>
 <__main__.Word instance at 0x11cca8f80>
 <__main__.Word instance at 0x11cca8c20>
 <__main__.Word instance at 0x11cca8ea8>
 <__main__.Word instance at 0x11cca87e8>
 <__main__.Word instance at 0x11ccab1b8>
 <__main__.Word instance at 0x11ccab050>
 <__main__.Word instance at 0x11ccab290>
 <__main__.Word instance at 0x11ccab368>
 <__main__.Word instance at 0x11ccab200>
 <__main__.Word instance at 0x11ccab440>]",Naima,3_0,True,,,let'spretendthatinsidehereisisthespecialwaterfortheanimals,,,NaN,NaN
13,13,"[<__main__.Word instance at 0x11ccab4d0>
 <__main__.Word instance at 0x11ccab3b0>
 <__main__.Word instance at 0x11ccab7e8>
 <__main__.Word instance at 0x11ccab6c8>
 <__main__.Word instance at 0x11ccab878>]",Naima,3_0,False,False,"[['some'], ['here'], ['bees', 'wax'], [""there's""]]",there'ssomebeeswaxhere,herethere'sbeeswaxsome,0.0416666666667,False,-0.04255961441879589
14,14,[<__main__.Word instance at 0x11ccab908>],Naima,3_0,False,True,[['yes']],yes,yes,1.0,False,-0.0
15,15,"[<__main__.Word instance at 0x11ccab560>
 <__main__.Word instance at 0x11ccabcf8>
 <__main__.Word instance at 0x11ccaba28>
 <__main__.Word instance at 0x11ccabd40>
 <__main__.Word instance at 0x11ccabab8>]",Naima,3_0,False,False,"[['came'], ['bees', 'wax'], ['out'], ['some']]",somebeeswaxcameout,someoutbeeswaxcame,0.0416666666667,False,-0.04255961441879589
16,16,[<__main__.Word instance at 0x11ccabb48>],Naima,3_0,False,True,[['yes']],yes,yes,1.0,False,-0.0
17,17,"[<__main__.Word instance at 0x11ccab638>
 <__main__.Word instance at 0x11ccabea8>
 <__main__.Word instance at 0x11ccabf80>]",Naima,3_0,False,False,"[['is'], ['this'], ['soft']]",isthissoft,thisissoft,0.166666666667,False,-0.1823215567939546
