num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x117444878>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
1;[<__main__.Word instance at 0x1174449e0>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
2;[<__main__.Word instance at 0x117444b00>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
3;[<__main__.Word instance at 0x117444c20>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
4;[<__main__.Word instance at 0x117444d40>];Violet;1_6;False;True;[['this']];this;this;1.0;0.0
5;[<__main__.Word instance at 0x117444e60>];Violet;1_6;False;True;[['baby']];baby;baby;1.0;0.0
6;[<__main__.Word instance at 0x117444f80>];Violet;1_6;False;True;[['by']];by;by;1.0;0.0
7;[<__main__.Word instance at 0x10a551a70>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
8;[<__main__.Word instance at 0x10a551cf8>];Violet;1_6;False;True;[['spank']];spank;spank;1.0;0.0
9;[<__main__.Word instance at 0x10a551908>];Violet;1_6;False;True;[['spank']];spank;spank;1.0;0.0
10;[<__main__.Word instance at 0x10a551710>];Violet;1_6;False;True;[['spank']];spank;spank;1.0;0.0
11;[<__main__.Word instance at 0x10a551758>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
12;[<__main__.Word instance at 0x10a5515a8>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
13;[<__main__.Word instance at 0x10a551440>];Violet;1_6;False;True;[['no']];no;no;1.0;0.0
14;[<__main__.Word instance at 0x10a5514d0>];Violet;1_6;False;True;[['no']];no;no;1.0;0.0
15;[<__main__.Word instance at 0x10a551518>];Violet;1_6;False;True;[['no']];no;no;1.0;0.0
16;[<__main__.Word instance at 0x10a3baa28>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
17;[<__main__.Word instance at 0x10a3bac68>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
18;"[<__main__.Word instance at 0x10a3b8998>
 <__main__.Word instance at 0x10a3b8878>]";Violet;1_6;False;True;"[['guitar'], [""daddy's""]]";daddy'sguitar;daddy'sguitar;0.5;0.69314718056
19;[<__main__.Word instance at 0x11744a050>];Violet;1_6;False;True;[['butterfly']];butterfly;butterfly;1.0;0.0
20;[<__main__.Word instance at 0x11744a128>];Violet;1_6;False;True;[['piggy']];piggy;piggy;1.0;0.0
21;[<__main__.Word instance at 0x11744a320>];Violet;1_6;False;True;[['neck']];neck;neck;1.0;0.0
