,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x1077cfa70>],William,2_0,False,True,[['see']],see,see,1.0,False,-0.0
1,1,[<__main__.Word instance at 0x1077cfcf8>],William,2_0,True,,,guys,,,NaN,NaN
2,2,[<__main__.Word instance at 0x1077cf758>],William,2_0,True,,,guys,,,NaN,NaN
3,3,[<__main__.Word instance at 0x1077cf518>],William,2_0,True,,,guys,,,NaN,NaN
4,4,[<__main__.Word instance at 0x107636a28>],William,2_0,True,,,guys,,,NaN,NaN
5,5,"[<__main__.Word instance at 0x107636c20>
 <__main__.Word instance at 0x114772128>
 <__main__.Word instance at 0x114772290>
 <__main__.Word instance at 0x114772320>]",William,2_0,True,,,whatabouttheraisins,,,NaN,NaN
6,6,"[<__main__.Word instance at 0x114772560>
 <__main__.Word instance at 0x114772680>
 <__main__.Word instance at 0x1147727a0>
 <__main__.Word instance at 0x1147728c0>]",William,2_0,True,,,Manuelawantaraisin,,,NaN,NaN
7,7,"[<__main__.Word instance at 0x114772b00>
 <__main__.Word instance at 0x114772cb0>
 <__main__.Word instance at 0x114772dd0>]",William,2_0,True,,,wantaraisin,,,NaN,NaN
8,8,[<__main__.Word instance at 0x114772f80>],William,2_0,True,,,raisin,,,NaN,NaN
9,9,"[<__main__.Word instance at 0x107638bd8>
 <__main__.Word instance at 0x107638c68>]",William,2_0,True,,,raisinraisin,,,NaN,NaN
10,10,[<__main__.Word instance at 0x114778128>],William,2_0,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
11,11,"[<__main__.Word instance at 0x1147781b8>
 <__main__.Word instance at 0x114778320>]",William,2_0,True,,,thetriangle,,,NaN,NaN
12,12,[<__main__.Word instance at 0x114778290>],William,2_0,True,,,uhuh,,,NaN,NaN
13,13,"[<__main__.Word instance at 0x114778170>
 <__main__.Word instance at 0x1147785f0>]",William,2_0,False,True,"[['oh'], ['&-uh']]",&-uhoh,&-uhoh,0.5,False,0.6931471805599453
14,14,[<__main__.Word instance at 0x1147786c8>],William,2_0,True,,,triangle,,,NaN,NaN
15,15,"[<__main__.Word instance at 0x114778638>
 <__main__.Word instance at 0x114778878>]",William,2_0,True,,,trianglecircle,,,NaN,NaN
16,16,[<__main__.Word instance at 0x1147787e8>],William,2_0,True,,,circle,,,NaN,NaN
