,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x11e854b48>
 <__main__.Word instance at 0x11e854bd8>
 <__main__.Word instance at 0x11e854cf8>
 <__main__.Word instance at 0x11e854e18>
 <__main__.Word instance at 0x11e854f38>
 <__main__.Word instance at 0x1117d2560>]",William,3_0,False,False,"[['it'], ['I'], ['more'], ['yay'], ['go'], ['did']]",Ididitgomoreyay,itgodidyayImore,0.00138888888889,False,-0.0013898542890543016
1,1,"[<__main__.Word instance at 0x1117d27a0>
 <__main__.Word instance at 0x1117d2cf8>
 <__main__.Word instance at 0x1117d2a28>
 <__main__.Word instance at 0x1117d2758>
 <__main__.Word instance at 0x1117d28c0>]",William,3_0,False,False,"[['it'], ['it'], ['did'], ['go'], ['more']]",itdiditgomore,itgoitdidmore,0.0166666666667,True,-0.01680711831638129
2,2,"[<__main__.Word instance at 0x1116396c8>
 <__main__.Word instance at 0x111639908>
 <__main__.Word instance at 0x111639998>
 <__main__.Word instance at 0x111639b48>
 <__main__.Word instance at 0x11162dcf8>
 <__main__.Word instance at 0x11163b9e0>]",William,3_0,False,False,"[['did'], ['go'], ['yay'], ['it'], ['more'], ['it']]",itdiditgomoreyay,itgoyayitdidmore,0.00277777777778,True,-0.002781642961876803
3,3,[<__main__.Word instance at 0x11e85a1b8>],William,3_0,False,True,[['yes']],yes,yes,1.0,False,-0.0
4,4,"[<__main__.Word instance at 0x11e85a3f8>
 <__main__.Word instance at 0x11e85a518>
 <__main__.Word instance at 0x11e85a638>]",William,3_0,False,True,"[['okay'], ['how', 'about']]",okayhowabout,okayhowabout,0.5,False,0.6931471805599453
5,5,[<__main__.Word instance at 0x11e85a878>],William,3_0,False,True,[['purple']],purple,purple,1.0,False,-0.0
6,6,"[<__main__.Word instance at 0x11e85a8c0>
 <__main__.Word instance at 0x11e85abd8>]",William,3_0,False,True,"[['the'], ['orange']]",theorange,theorange,0.5,False,0.6931471805599453
7,7,"[<__main__.Word instance at 0x11e85acf8>
 <__main__.Word instance at 0x11e85aa70>
 <__main__.Word instance at 0x11e85ad88>]",William,3_0,False,True,"[['orange'], ['oh'], ['orange']]",orangeorangeoh,orangeorangeoh,0.333333333333,True,1.0986122886681098
8,8,"[<__main__.Word instance at 0x11e85aea8>
 <__main__.Word instance at 0x11e85e050>
 <__main__.Word instance at 0x11e85e0e0>
 <__main__.Word instance at 0x11e85e200>]",William,3_0,False,True,"[['can'], ['orange'], ['me'], ['help']]",canhelpmeorange,canhelpmeorange,0.0416666666667,False,3.1780538303479458
9,9,[<__main__.Word instance at 0x11e85e290>],William,3_0,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
