effect,group,term,estimate,std.error,statistic,p.value,model
fixed,NA,(Intercept),2.5937959559135235,0.4999773350934095,5.187827075059174,2.1276202756668127e-7,uncorrected_accuracy_local_input
fixed,NA,age,-0.8050431239491276,0.18117846257471096,-4.4433709863122335,8.856026865750738e-6,uncorrected_accuracy_local_input
ran_pars,child,sd__(Intercept),1.3622902571343771,NA,NA,NA,uncorrected_accuracy_local_input
ran_pars,child,sd__age,0.49023458352411153,NA,NA,NA,uncorrected_accuracy_local_input
ran_pars,child,cor__(Intercept).age,-0.9748635190096926,NA,NA,NA,uncorrected_accuracy_local_input
fixed,NA,(Intercept),2.398500653683926,0.3939896342543681,6.087725272831424,1.1452616943073111e-9,uncorrected_accuracy_cumulative_input
fixed,NA,age,-0.8210997872604864,0.14078048782343183,-5.83248289557227,5.4608604344285725e-9,uncorrected_accuracy_cumulative_input
ran_pars,child,sd__(Intercept),1.1830715775459293,NA,NA,NA,uncorrected_accuracy_cumulative_input
ran_pars,child,sd__age,0.41417429474932005,NA,NA,NA,uncorrected_accuracy_cumulative_input
ran_pars,child,cor__(Intercept).age,-0.9588038717174688,NA,NA,NA,uncorrected_accuracy_cumulative_input
fixed,NA,(Intercept),0.11002641553906271,0.02172625185443502,5.064215230322979,NA,corrected_accuracy_local_input
fixed,NA,recentered_age,0.03005965487361187,0.017884007607047673,1.680812015633792,NA,corrected_accuracy_local_input
ran_pars,child,sd__(Intercept),0.05197159623052617,NA,NA,NA,corrected_accuracy_local_input
ran_pars,child,sd__recentered_age,0.03904090397218491,NA,NA,NA,corrected_accuracy_local_input
ran_pars,child,cor__(Intercept).recentered_age,0.6319820041122611,NA,NA,NA,corrected_accuracy_local_input
ran_pars,Residual,sd__Observation,0.6300440406923389,NA,NA,NA,corrected_accuracy_local_input
fixed,NA,(Intercept),0.05930151974510504,0.009506158977728574,6.238220913834821,NA,corrected_accuracy_cumulative_input
fixed,NA,recentered_age,0.020848686368229532,0.013112473170434154,1.5899888676408427,NA,corrected_accuracy_cumulative_input
ran_pars,child,sd__(Intercept),0.021439063062605027,NA,NA,NA,corrected_accuracy_cumulative_input
ran_pars,child,sd__recentered_age,0.02789822666072152,NA,NA,NA,corrected_accuracy_cumulative_input
ran_pars,child,cor__(Intercept).recentered_age,-0.7147244006928,NA,NA,NA,corrected_accuracy_cumulative_input
ran_pars,Residual,sd__Observation,0.5945419966320632,NA,NA,NA,corrected_accuracy_cumulative_input
fixed,NA,(Intercept),-2.1104738764752713,0.23934875943270395,-8.81756764262093,1.1697293174615272e-18,likelihood_unseen_words_local_input
fixed,NA,age,0.3644945120889361,0.09448516917061342,3.857690209886404,1.1446359597440232e-4,likelihood_unseen_words_local_input
fixed,NA,numwords,0.1704460447239815,0.0053358185667766265,31.943748197373235,6.598160690332952e-224,likelihood_unseen_words_local_input
ran_pars,child,sd__(Intercept),0.5776619346562644,NA,NA,NA,likelihood_unseen_words_local_input
ran_pars,child,sd__age,0.2275917986660228,NA,NA,NA,likelihood_unseen_words_local_input
ran_pars,child,cor__(Intercept).age,-0.9612784992359178,NA,NA,NA,likelihood_unseen_words_local_input
fixed,NA,(Intercept),-1.716636529183131,0.19964940523363914,-8.598255162214192,8.09371886462229e-18,likelihood_unseen_words_cumulative_input
fixed,NA,age,-0.13937446664716774,0.06805579592847172,-2.0479441132927705,0.040565475755944755,likelihood_unseen_words_cumulative_input
fixed,NA,numwords,0.10479044013475902,0.005957348900204829,17.590112966382755,2.932923680104454e-69,likelihood_unseen_words_cumulative_input
ran_pars,child,sd__(Intercept),0.4580476619446171,NA,NA,NA,likelihood_unseen_words_cumulative_input
ran_pars,child,sd__age,0.15006584344697338,NA,NA,NA,likelihood_unseen_words_cumulative_input
ran_pars,child,cor__(Intercept).age,-0.8878481022700638,NA,NA,NA,likelihood_unseen_words_cumulative_input
