,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x103dbc560>],Ethan,1_0,False,True,[['up']],up,up,1.0,False,-0.0
1,1,[<__main__.Word instance at 0x103dbc7a0>],Ethan,1_0,True,,,button,,,NaN,NaN
2,2,"[<__main__.Word instance at 0x103dbca28>
 <__main__.Word instance at 0x103dbc758>]",Ethan,1_0,True,,,hacow,,,NaN,NaN
3,3,"[<__main__.Word instance at 0x103df3098>
 <__main__.Word instance at 0x103df3200>]",Ethan,1_0,True,,,quackquack,,,NaN,NaN
4,4,[<__main__.Word instance at 0x103df33b0>],Ethan,1_0,False,True,[['cow']],cow,cow,1.0,False,-0.0
5,5,[<__main__.Word instance at 0x103df35f0>],Ethan,1_0,False,True,[['bubbles']],bubbles,bubbles,1.0,False,-0.0
6,6,[<__main__.Word instance at 0x103df3998>],Ethan,1_0,False,True,[['bubble']],bubble,bubble,1.0,False,-0.0
7,7,[<__main__.Word instance at 0x103df3b00>],Ethan,1_0,False,True,[['bubbles']],bubbles,bubbles,1.0,False,-0.0
8,8,[<__main__.Word instance at 0x103df3cf8>],Ethan,1_0,True,,,mom,,,NaN,NaN
9,9,[<__main__.Word instance at 0x103df3e18>],Ethan,1_0,False,True,[['block']],block,block,1.0,False,-0.0
10,10,[<__main__.Word instance at 0x103df3f38>],Ethan,1_0,True,,,bah,,,NaN,NaN
11,11,[<__main__.Word instance at 0x103c236c8>],Ethan,1_0,True,,,bus,,,NaN,NaN
12,12,"[<__main__.Word instance at 0x103c23b48>
 <__main__.Word instance at 0x103c23878>]",Ethan,1_0,False,True,"[['ball'], ['ball']]",ballball,ballball,1.0,True,-0.0
13,13,[<__main__.Word instance at 0x103c234d0>],Ethan,1_0,False,True,[['balloon']],balloon,balloon,1.0,False,-0.0
14,14,[<__main__.Word instance at 0x103c25c68>],Ethan,1_0,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
15,15,[<__main__.Word instance at 0x103c25c20>],Ethan,1_0,True,,,&,,,NaN,NaN
16,16,[<__main__.Word instance at 0x110d91098>],Ethan,1_0,False,True,[['baby']],baby,baby,1.0,False,-0.0
17,17,[<__main__.Word instance at 0x110d91248>],Ethan,1_0,False,True,[['ball']],ball,ball,1.0,False,-0.0
18,18,[<__main__.Word instance at 0x110d913b0>],Ethan,1_0,False,True,[['baby']],baby,baby,1.0,False,-0.0
19,19,[<__main__.Word instance at 0x110d91560>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,False,-0.0
