,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x10fb3bea8>
 <__main__.Word instance at 0x10fb3bf38>
 <__main__.Word instance at 0x102a71560>
 <__main__.Word instance at 0x102a71a70>]",Violet,2_6,False,True,"[['it'], ['I'], ['see'], ['can']]",canIseeit,canIseeit,0.0416666666667,False,3.1780538303479458
1,1,[<__main__.Word instance at 0x102a71cf8>],Violet,2_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
2,2,[<__main__.Word instance at 0x102a71758>],Violet,2_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
3,3,[<__main__.Word instance at 0x102a71518>],Violet,2_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
4,4,"[<__main__.Word instance at 0x1028d85a8>
 <__main__.Word instance at 0x1028d8a28>
 <__main__.Word instance at 0x1028d8368>
 <__main__.Word instance at 0x1028d8b00>
 <__main__.Word instance at 0x1028d8c20>]",Violet,2_6,False,False,"[['wanna'], ['see'], ['the'], ['too'], ['I']]",Iwannaseethetoo,seethewannatooI,0.00833333333333,False,-0.00836824967051658
5,5,"[<__main__.Word instance at 0x1028d8998>
 <__main__.Word instance at 0x1028dac68>
 <__main__.Word instance at 0x1028dac20>
 <__main__.Word instance at 0x1028daab8>]",Violet,2_6,True,,,let'sgomarchthis,,,NaN,NaN
6,6,"[<__main__.Word instance at 0x10fb41098>
 <__main__.Word instance at 0x10fb411b8>
 <__main__.Word instance at 0x10fb412d8>
 <__main__.Word instance at 0x10fb413f8>]",Violet,2_6,True,,,lookwebroughttoday,,,NaN,NaN
7,7,"[<__main__.Word instance at 0x10fb41638>
 <__main__.Word instance at 0x10fb41710>
 <__main__.Word instance at 0x10fb417e8>
 <__main__.Word instance at 0x10fb41908>]",Violet,2_6,False,False,"[['my'], ['bring'], ['we'], ['can']]",wecanbringmy,canbringwemy,0.0416666666667,False,-0.04255961441879589
8,8,"[<__main__.Word instance at 0x10fb419e0>
 <__main__.Word instance at 0x10fb41b00>
 <__main__.Word instance at 0x10fb41b90>]",Violet,2_6,True,,,mickeymouseclub,,,NaN,NaN
9,9,[<__main__.Word instance at 0x10fb41c68>],Violet,2_6,True,,,blanket,,,NaN,NaN
10,10,"[<__main__.Word instance at 0x10fb41f38>
 <__main__.Word instance at 0x10fb41fc8>
 <__main__.Word instance at 0x10fb41dd0>
 <__main__.Word instance at 0x10fb41cf8>
 <__main__.Word instance at 0x10fb41e18>
 <__main__.Word instance at 0x10fb46200>
 <__main__.Word instance at 0x10fb46098>]",Violet,2_6,True,,,wecanbringmymickeymouseblanket,,,NaN,NaN
11,11,[<__main__.Word instance at 0x10fb463b0>],Violet,2_6,True,,,blanket,,,NaN,NaN
12,12,"[<__main__.Word instance at 0x10fb46488>
 <__main__.Word instance at 0x10fb46320>
 <__main__.Word instance at 0x10fb46560>
 <__main__.Word instance at 0x10fb463f8>
 <__main__.Word instance at 0x10fb46638>]",Violet,2_6,True,,,momI'msittingrighthere,,,NaN,NaN
13,13,[<__main__.Word instance at 0x10fb46710>],Violet,2_6,False,True,[['no']],no,no,1.0,False,-0.0
