,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x10cb7a170>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,False,-0.0
1,1,[<__main__.Word instance at 0x10cb54a70>],Lily,4_0,False,True,[['&-uh']],&-uh,&-uh,1.0,False,-0.0
2,2,"[<__main__.Word instance at 0x10cb54cf8>
 <__main__.Word instance at 0x10cb54a28>
 <__main__.Word instance at 0x10cb54758>]",Lily,4_0,False,False,"[['read'], ['&-uh'], ['read']]",&-uhreadread,read&-uhread,0.333333333333,True,-0.4054651081081643
3,3,[<__main__.Word instance at 0x10cb545a8>],Lily,4_0,False,True,[['Grandma']],Grandma,Grandma,1.0,False,-0.0
4,4,"[<__main__.Word instance at 0x10cb54f80>
 <__main__.Word instance at 0x10cb544d0>
 <__main__.Word instance at 0x10cb54488>]",Lily,4_0,False,True,"[['and', 'Grandpa'], ['Grandma']]",GrandmaandGrandpa,GrandmaandGrandpa,0.5,False,0.6931471805599453
5,5,"[<__main__.Word instance at 0x10c9bba28>
 <__main__.Word instance at 0x10c9bb6c8>
 <__main__.Word instance at 0x10c9bb5a8>
 <__main__.Word instance at 0x10c9bb878>
 <__main__.Word instance at 0x10c9bbb48>]",Lily,4_0,False,False,"[['Grandma'], ['and'], ['and', 'Papa'], ['and']]",andandGrandmaandPapa,GrandmaandPapaandand,0.0833333333333,True,-0.08701137698962981
6,6,[<__main__.Word instance at 0x10c9bb908>],Lily,4_0,False,True,[['what']],what,what,1.0,False,-0.0
7,7,[<__main__.Word instance at 0x123b9f0e0>],Lily,4_0,False,True,[['when']],when,when,1.0,False,-0.0
8,8,[<__main__.Word instance at 0x123b9f368>],Lily,4_0,False,True,[['oh']],oh,oh,1.0,False,-0.0
9,9,"[<__main__.Word instance at 0x123b9f560>
 <__main__.Word instance at 0x123b9f5f0>
 <__main__.Word instance at 0x123b9f680>
 <__main__.Word instance at 0x123b9f6c8>
 <__main__.Word instance at 0x123b9f7e8>
 <__main__.Word instance at 0x123b9f908>
 <__main__.Word instance at 0x123b9f998>
 <__main__.Word instance at 0x123b9f9e0>]",Lily,4_0,False,False,"[['&-um'], ['I', 'think'], ['it', 'was'], ['those'], ['it', 'was']]",itwas&-umIthinkitwasthose,itwasitwasIthinkthose&-um,0.0166666666667,True,-0.01680711831638129
10,10,[<__main__.Word instance at 0x123b9fbd8>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,False,-0.0
11,11,[<__main__.Word instance at 0x123b9fcf8>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,False,-0.0
12,12,[<__main__.Word instance at 0x123b9fe18>],Lily,4_0,False,True,[['okay']],okay,okay,1.0,False,-0.0
13,13,[<__main__.Word instance at 0x123b9ff38>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,False,-0.0
14,14,[<__main__.Word instance at 0x10c9bda28>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,False,-0.0
15,15,"[<__main__.Word instance at 0x10c9bdc20>
 <__main__.Word instance at 0x123ba4170>]",Lily,4_0,False,True,"[['a', 'carousel']]",acarousel,acarousel,1.0,False,-0.0
16,16,"[<__main__.Word instance at 0x123ba43f8>
 <__main__.Word instance at 0x123ba42d8>]",Lily,4_0,False,True,"[['a', 'carousel']]",acarousel,acarousel,1.0,False,-0.0
17,17,[<__main__.Word instance at 0x123ba41b8>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,False,-0.0
18,18,[<__main__.Word instance at 0x123ba4200>],Lily,4_0,False,True,[['mm']],mm,mm,1.0,False,-0.0
19,19,[<__main__.Word instance at 0x123ba4128>],Lily,4_0,False,True,[['mm']],mm,mm,1.0,False,-0.0
20,20,"[<__main__.Word instance at 0x123ba48c0>
 <__main__.Word instance at 0x123ba4bd8>
 <__main__.Word instance at 0x123ba4950>]",Lily,4_0,False,False,"[['cat'], ['a'], [""that's""]]",that'sacat,acatthat's,0.166666666667,False,-0.1823215567939546
21,21,"[<__main__.Word instance at 0x123ba47a0>
 <__main__.Word instance at 0x123ba4d40>
 <__main__.Word instance at 0x123ba4a28>
 <__main__.Word instance at 0x123ba4cb0>
 <__main__.Word instance at 0x123ba4b48>]",Lily,4_0,False,False,"[['picture'], ['in'], ['this'], [""it's""], ['not']]",it'snotinthispicture,thispictureinit'snot,0.00833333333333,False,-0.00836824967051658
22,22,"[<__main__.Word instance at 0x123ba4f80>
 <__main__.Word instance at 0x123ba4ef0>
 <__main__.Word instance at 0x123ba4e60>
 <__main__.Word instance at 0x123ba4ea8>]",Lily,4_0,False,False,"[['that'], [""that's""], ['one'], ['not']]",that'snotthatone,thatonenotthat's,0.0416666666667,False,-0.04255961441879589
23,23,"[<__main__.Word instance at 0x123bab0e0>
 <__main__.Word instance at 0x123bab128>
 <__main__.Word instance at 0x123bab200>]",Lily,4_0,False,False,"[['not'], ['that'], [""it's""]]",it'snotthat,thatit'snot,0.166666666667,False,-0.1823215567939546
24,24,[<__main__.Word instance at 0x123bab2d8>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,False,-0.0
25,25,[<__main__.Word instance at 0x123bab5f0>],Lily,4_0,False,True,[['Mama']],Mama,Mama,1.0,False,-0.0
26,26,"[<__main__.Word instance at 0x123bab680>
 <__main__.Word instance at 0x123bab560>
 <__main__.Word instance at 0x123bab878>
 <__main__.Word instance at 0x123bab710>
 <__main__.Word instance at 0x123bab950>]",Lily,4_0,False,False,"[['some'], ['I'], ['want'], ['strawberries'], ['more']]",Iwantsomemorestrawberries,morestrawberrieswantsomeI,0.00833333333333,False,-0.00836824967051658
27,27,"[<__main__.Word instance at 0x123babab8>
 <__main__.Word instance at 0x123baba28>
 <__main__.Word instance at 0x123babc20>]",Lily,4_0,False,False,"[['&-um'], ['more'], ['some']]",&-umsomemore,moresome&-um,0.166666666667,False,-0.1823215567939546
28,28,"[<__main__.Word instance at 0x123babcb0>
 <__main__.Word instance at 0x123babb90>
 <__main__.Word instance at 0x123babd88>]",Lily,4_0,False,False,"[['is'], ['what'], ['it']]",whatisit,itiswhat,0.166666666667,False,-0.1823215567939546
29,29,"[<__main__.Word instance at 0x123babe60>
 <__main__.Word instance at 0x123babcf8>
 <__main__.Word instance at 0x123babf38>
 <__main__.Word instance at 0x123babdd0>]",Lily,4_0,False,False,"[['boat'], ['big'], ['the'], [""what's""]]",what'sthebigboat,theboatwhat'sbig,0.0416666666667,False,-0.04255961441879589
30,30,[<__main__.Word instance at 0x123babf80>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,False,-0.0
31,31,"[<__main__.Word instance at 0x123ba8050>
 <__main__.Word instance at 0x123ba80e0>
 <__main__.Word instance at 0x123ba81b8>]",Lily,4_0,False,False,"[['is'], ['it'], ['what']]",whatisit,itiswhat,0.166666666667,False,-0.1823215567939546
32,32,[<__main__.Word instance at 0x123ba8128>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,False,-0.0
33,33,[<__main__.Word instance at 0x123ba8200>],Lily,4_0,False,True,[['Mommy']],Mommy,Mommy,1.0,False,-0.0
34,34,[<__main__.Word instance at 0x123ba82d8>],Lily,4_0,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
35,35,[<__main__.Word instance at 0x123ba8680>],Lily,4_0,False,True,[['Mommy']],Mommy,Mommy,1.0,False,-0.0
36,36,"[<__main__.Word instance at 0x123ba8758>
 <__main__.Word instance at 0x123ba87e8>]",Lily,4_0,False,True,"[[""Liberty's""], ['kids']]",Liberty'skids,Liberty'skids,0.5,False,0.6931471805599453
37,37,[<__main__.Word instance at 0x123ba8a28>],Lily,4_0,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
38,38,[<__main__.Word instance at 0x123ba8c20>],Lily,4_0,False,True,[['who']],who,who,1.0,False,-0.0
39,39,[<__main__.Word instance at 0x123ba8cf8>],Lily,4_0,False,True,[['Daddy']],Daddy,Daddy,1.0,False,-0.0
