,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x105042560>
 <__main__.Word instance at 0x105042a70>]",Naima,2_0,False,True,"[['chicken', 'stew']]",chickenstew,chickenstew,1.0,False,-0.0
1,1,"[<__main__.Word instance at 0x105042cf8>
 <__main__.Word instance at 0x105042a28>
 <__main__.Word instance at 0x105042758>
 <__main__.Word instance at 0x1050428c0>
 <__main__.Word instance at 0x105042518>]",Naima,2_0,False,False,"[['put'], ['it'], ['where'], [""that's""], ['you']]",that'swhereyouputit,itwhereyouputthat's,0.00833333333333,False,-0.00836824967051658
2,2,"[<__main__.Word instance at 0x105079248>
 <__main__.Word instance at 0x1050792d8>
 <__main__.Word instance at 0x105079440>
 <__main__.Word instance at 0x1050795f0>
 <__main__.Word instance at 0x105079710>
 <__main__.Word instance at 0x105079830>
 <__main__.Word instance at 0x105079950>]",Naima,2_0,False,True,"[['take'], ['the'], ['la', 'la', 'moon'], ['me'], ['to']]",takemetothelalamoon,takemetothelalamoon,0.00833333333333,False,4.787491742782046
3,3,"[<__main__.Word instance at 0x105079b90>
 <__main__.Word instance at 0x105079cb0>
 <__main__.Word instance at 0x105079dd0>
 <__main__.Word instance at 0x105079ef0>
 <__main__.Word instance at 0x104e9dcf8>]",Naima,2_0,False,False,"[['me'], ['sun'], ['me'], ['give'], ['moon']]",megivemesunmoon,sunmoongivememe,0.0166666666667,True,-0.01680711831638129
4,4,[<__main__.Word instance at 0x104ea96c8>],Naima,2_0,False,True,[['jumping']],jumping,jumping,1.0,False,-0.0
5,5,"[<__main__.Word instance at 0x104ea9998>
 <__main__.Word instance at 0x104ea9b48>
 <__main__.Word instance at 0x104ea9c20>
 <__main__.Word instance at 0x116aa2050>
 <__main__.Word instance at 0x116aa2200>
 <__main__.Word instance at 0x116aa2098>
 <__main__.Word instance at 0x116aa23f8>
 <__main__.Word instance at 0x116aa2290>
 <__main__.Word instance at 0x116aa25f0>]",Naima,2_0,False,False,"[['to'], ['talk'], ['la', 'la', 'moon'], ['about'], ['me'], ['take'], ['the']]",talkabouttakemetothelalamoon,takemetotalkaboutthelalamoon,0.000198412698413,False,-0.0001984323848162081
6,6,"[<__main__.Word instance at 0x116aa27e8>
 <__main__.Word instance at 0x116aa2680>
 <__main__.Word instance at 0x116aa29e0>
 <__main__.Word instance at 0x116aa2878>
 <__main__.Word instance at 0x116aa2bd8>
 <__main__.Word instance at 0x116aa2a70>]",Naima,2_0,False,False,"[['as'], ['I'], ['bird'], ['little'], ['a', 'free']]",afreelittlebirdasI,asafreelittlebirdI,0.00833333333333,False,-0.00836824967051658
7,7,[<__main__.Word instance at 0x116aa2c68>],Naima,2_0,False,True,[['chicken']],chicken,chicken,1.0,False,-0.0
8,8,"[<__main__.Word instance at 0x116aa2998>
 <__main__.Word instance at 0x116aa2f38>
 <__main__.Word instance at 0x116aa2dd0>
 <__main__.Word instance at 0x116aa2cf8>
 <__main__.Word instance at 0x116aa2f80>
 <__main__.Word instance at 0x116aa2c20>
 <__main__.Word instance at 0x116aa6050>]",Naima,2_0,False,False,"[['I'], ['have'], ['splash'], ['on'], ['a'], ['my'], ['leg']]",Ihaveasplashonmyleg,mysplashlegaIhaveon,0.000198412698413,False,-0.0001984323848162081
9,9,"[<__main__.Word instance at 0x116aa6200>
 <__main__.Word instance at 0x116aa6098>
 <__main__.Word instance at 0x116aa62d8>]",Naima,2_0,False,False,"[['done'], [""I'm""], ['eating']]",I'mdoneeating,doneeatingI'm,0.166666666667,False,-0.1823215567939546
