,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x10b89ea70>],William,2_6,False,True,[['what']],what,what,1.0,False,-0.0
1,1,[<__main__.Word instance at 0x10b89ecf8>],William,2_6,False,True,[['what']],what,what,1.0,False,-0.0
2,2,"[<__main__.Word instance at 0x10b89e758>
 <__main__.Word instance at 0x10b89e638>
 <__main__.Word instance at 0x10b89ef80>
 <__main__.Word instance at 0x10b89e4d0>
 <__main__.Word instance at 0x10b89e3f8>
 <__main__.Word instance at 0x10b89e878>
 <__main__.Word instance at 0x10b6f9cf8>]",William,2_6,False,False,"[['racket'], ['it'], ['the'], ['is'], ['here'], [""here's""], ['oh']]",ohhereitishere'stheracket,isittheohhererackethere's,0.000198412698413,False,-0.0001984323848162081
3,3,[<__main__.Word instance at 0x10b8d5248>],William,2_6,False,True,[['kay']],kay,kay,1.0,False,-0.0
4,4,"[<__main__.Word instance at 0x10b8d53f8>
 <__main__.Word instance at 0x10b8d5518>
 <__main__.Word instance at 0x10b8d55f0>]",William,2_6,False,False,"[['it'], ['go'], [""where'd""]]",where'ditgo,itgowhere'd,0.166666666667,False,-0.1823215567939546
5,5,[<__main__.Word instance at 0x10b8d57e8>],William,2_6,False,True,[['kay']],kay,kay,1.0,False,-0.0
6,6,"[<__main__.Word instance at 0x10b8d59e0>
 <__main__.Word instance at 0x10b8d5b00>]",William,2_6,False,False,"[['kay'], ['ready']]",kayready,readykay,0.5,False,-0.6931471805599453
7,7,"[<__main__.Word instance at 0x10b8d5c20>
 <__main__.Word instance at 0x10b8d5cb0>
 <__main__.Word instance at 0x10b8d5cf8>]",William,2_6,False,False,"[['it'], ['I'], ['did']]",Ididit,diditI,0.166666666667,False,-0.1823215567939546
8,8,[<__main__.Word instance at 0x10b8d5ea8>],William,2_6,False,True,[['nicely']],nicely,nicely,1.0,False,-0.0
9,9,[<__main__.Word instance at 0x10b8d5f80>],William,2_6,False,True,[['okay']],okay,okay,1.0,False,-0.0
10,10,[<__main__.Word instance at 0x10b707c68>],William,2_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
11,11,[<__main__.Word instance at 0x10b707a28>],William,2_6,False,True,[['whoops']],whoops,whoops,1.0,False,-0.0
12,12,"[<__main__.Word instance at 0x10b705a28>
 <__main__.Word instance at 0x10b705998>
 <__main__.Word instance at 0x10b705878>]",William,2_6,False,False,"[['do'], ['it'], [""I'll""]]",I'lldoit,I'llitdo,0.166666666667,False,-0.1823215567939546
13,13,"[<__main__.Word instance at 0x10b705b00>
 <__main__.Word instance at 0x118942128>
 <__main__.Word instance at 0x118942200>]",William,2_6,False,False,"[['I'], ['do'], ['it']]",Idoit,doitI,0.166666666667,False,-0.1823215567939546
14,14,"[<__main__.Word instance at 0x1189423b0>
 <__main__.Word instance at 0x118942248>]",William,2_6,False,False,"[['it'], ['hit']]",hitit,ithit,0.5,False,-0.6931471805599453
15,15,"[<__main__.Word instance at 0x118942320>
 <__main__.Word instance at 0x118942560>
 <__main__.Word instance at 0x1189423f8>]",William,2_6,False,False,"[[""c'mon""], [""let's""], ['it']]",let'sitc'mon,itc'monlet's,0.166666666667,False,-0.1823215567939546
16,16,[<__main__.Word instance at 0x1189424d0>],William,2_6,False,True,[['no']],no,no,1.0,False,-0.0
17,17,"[<__main__.Word instance at 0x118942680>
 <__main__.Word instance at 0x118942710>]",William,2_6,False,True,"[['here'], ['down']]",downhere,downhere,0.5,False,0.6931471805599453
18,18,"[<__main__.Word instance at 0x118942950>
 <__main__.Word instance at 0x118942830>]",William,2_6,False,False,"[['golf'], ['playing']]",playinggolf,golfplaying,0.5,False,-0.6931471805599453
19,19,[<__main__.Word instance at 0x118942170>],William,2_6,False,True,[['whoops']],whoops,whoops,1.0,False,-0.0
20,20,"[<__main__.Word instance at 0x1189421b8>
 <__main__.Word instance at 0x118942b90>
 <__main__.Word instance at 0x118942998>]",William,2_6,False,False,"[['playing'], ['racket'], ['tennis']]",playingtennisracket,tennisracketplaying,0.166666666667,False,-0.1823215567939546
21,21,"[<__main__.Word instance at 0x118942908>
 <__main__.Word instance at 0x118942d40>]",William,2_6,False,False,"[['tennis'], ['play']]",playtennis,tennisplay,0.5,False,-0.6931471805599453
22,22,[<__main__.Word instance at 0x118942e18>],William,2_6,False,True,[['uhoh']],uhoh,uhoh,1.0,False,-0.0
23,23,"[<__main__.Word instance at 0x118942ef0>
 <__main__.Word instance at 0x1189425a8>
 <__main__.Word instance at 0x118942a28>]",William,2_6,False,False,"[['tennis'], ['playing'], [""I'm""]]",I'mplayingtennis,playingI'mtennis,0.166666666667,False,-0.1823215567939546
24,24,[<__main__.Word instance at 0x118942e60>],William,2_6,False,True,[['oops']],oops,oops,1.0,False,-0.0
25,25,[<__main__.Word instance at 0x118945128>],William,2_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
26,26,[<__main__.Word instance at 0x118945290>],William,2_6,False,True,[['boot']],boot,boot,1.0,False,-0.0
27,27,[<__main__.Word instance at 0x118945368>],William,2_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
28,28,"[<__main__.Word instance at 0x1189453f8>
 <__main__.Word instance at 0x118945638>
 <__main__.Word instance at 0x118945488>]",William,2_6,False,False,"[[""let's""], ['golf'], ['play']]",let'splaygolf,golfplaylet's,0.166666666667,False,-0.1823215567939546
29,29,"[<__main__.Word instance at 0x118945998>
 <__main__.Word instance at 0x1189458c0>
 <__main__.Word instance at 0x118945b90>]",William,2_6,False,False,"[['tennis'], [""let's""], ['play']]",let'splaytennis,playlet'stennis,0.166666666667,False,-0.1823215567939546
30,30,"[<__main__.Word instance at 0x118945c68>
 <__main__.Word instance at 0x118945710>]",William,2_6,False,False,"[['ready'], ['kay']]",kayready,readykay,0.5,False,-0.6931471805599453
31,31,[<__main__.Word instance at 0x118945bd8>],William,2_6,False,True,[['ready']],ready,ready,1.0,False,-0.0
32,32,[<__main__.Word instance at 0x118945680>],William,2_6,False,True,[['set']],set,set,1.0,False,-0.0
33,33,[<__main__.Word instance at 0x118945e60>],William,2_6,False,True,[['go']],go,go,1.0,False,-0.0
34,34,"[<__main__.Word instance at 0x118945f80>
 <__main__.Word instance at 0x118945cb0>
 <__main__.Word instance at 0x1189490e0>]",William,2_6,False,False,"[['did'], ['I'], ['it']]",Ididit,diditI,0.166666666667,False,-0.1823215567939546
35,35,"[<__main__.Word instance at 0x118949050>
 <__main__.Word instance at 0x118949290>
 <__main__.Word instance at 0x118949128>]",William,2_6,False,False,"[['wanna'], ['it'], ['do']]",wannadoit,doitwanna,0.166666666667,False,-0.1823215567939546
36,36,"[<__main__.Word instance at 0x118949200>
 <__main__.Word instance at 0x118949518>
 <__main__.Word instance at 0x1189493f8>
 <__main__.Word instance at 0x1189495f0>]",William,2_6,False,False,"[['do'], ['it'], ['wanna'], ['no']]",nowannadoit,doitwannano,0.0416666666667,False,-0.04255961441879589
37,37,"[<__main__.Word instance at 0x118949878>
 <__main__.Word instance at 0x118949710>
 <__main__.Word instance at 0x118949950>]",William,2_6,False,False,"[['on'], ['kay'], ['hold']]",kayholdon,holdonkay,0.166666666667,False,-0.1823215567939546
38,38,"[<__main__.Word instance at 0x118949a28>
 <__main__.Word instance at 0x1189498c0>
 <__main__.Word instance at 0x118949b00>]",William,2_6,False,False,"[['outside'], [""let's""], ['go']]",let'sgooutside,gooutsidelet's,0.166666666667,False,-0.1823215567939546
39,39,"[<__main__.Word instance at 0x118949b90>
 <__main__.Word instance at 0x118949a70>
 <__main__.Word instance at 0x118949d40>]",William,2_6,False,True,"[['go'], ['outside'], ['wanna']]",wannagooutside,wannagooutside,0.166666666667,False,1.791759469228055
40,40,"[<__main__.Word instance at 0x118949f38>
 <__main__.Word instance at 0x118949dd0>
 <__main__.Word instance at 0x118949cf8>
 <__main__.Word instance at 0x118949560>]",William,2_6,False,False,"[['ready'], ['set'], ['get'], ['kay']]",kayreadygetset,getreadykayset,0.0416666666667,False,-0.04255961441879589
41,41,[<__main__.Word instance at 0x11894c050>],William,2_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
