num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x1196ca758>];Alex;2_6;False;True;[['no']];no;no;1.0;0.0
1;[<__main__.Word instance at 0x1196ca950>];Alex;2_6;False;True;[['no']];no;no;1.0;0.0
2;[<__main__.Word instance at 0x1196cac68>];Alex;2_6;False;True;[['outside']];outside;outside;1.0;0.0
3;[<__main__.Word instance at 0x1196caea8>];Alex;2_6;False;True;[['oh']];oh;oh;1.0;0.0
4;"[<__main__.Word instance at 0x10a1b15a8>
 <__main__.Word instance at 0x10a1b1a28>]";Alex;2_6;False;True;[['two'], ['a']];atwo;atwo;0.5;0.69314718056
5;"[<__main__.Word instance at 0x10a1b1b00>
 <__main__.Word instance at 0x10a1b1878>]";Alex;2_6;False;True;[['two'], ['a']];atwo;atwo;0.5;0.69314718056
6;[<__main__.Word instance at 0x10a1b3a28>];Alex;2_6;False;True;[['bye']];bye;bye;1.0;0.0
7;[<__main__.Word instance at 0x10a1b3ab8>];Alex;2_6;False;True;[['nobody']];nobody;nobody;1.0;0.0
8;[<__main__.Word instance at 0x10a34a560>];Alex;2_6;False;True;[['no']];no;no;1.0;0.0
9;"[<__main__.Word instance at 0x10a34a7a0>
 <__main__.Word instance at 0x10a34acf8>]";Alex;2_6;False;False;"[['that'], [""what's""]]";what'sthat;thatwhat's;0.5;-0.69314718056
10;"[<__main__.Word instance at 0x10a34a758>
 <__main__.Word instance at 0x10a34a8c0>]";Alex;2_6;True;NaN;NaN;afoot;NaN;NaN;NaN
11;"[<__main__.Word instance at 0x10a34a680>
 <__main__.Word instance at 0x1196d0128>]";Alex;2_6;True;NaN;NaN;afoot;NaN;NaN;NaN
12;[<__main__.Word instance at 0x1196d0368>];Alex;2_6;False;True;[['one']];one;one;1.0;0.0
13;"[<__main__.Word instance at 0x1196d0518>
 <__main__.Word instance at 0x1196d05f0>
 <__main__.Word instance at 0x1196d06c8>
 <__main__.Word instance at 0x1196d0758>
 <__main__.Word instance at 0x1196d0950>
 <__main__.Word instance at 0x1196d0830>]";Alex;2_6;True;NaN;NaN;onetwothreewakeupJeff;NaN;NaN;NaN
14;"[<__main__.Word instance at 0x1196d0b00>
 <__main__.Word instance at 0x1196d0998>]";Alex;2_6;False;True;[['oh'], ['oh']];ohoh;ohoh;0.5;0.69314718056
