num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x117e24950>
 <__main__.Word instance at 0x117e24ab8>]";Ethan;2_0;False;True;[['noodles'], ['real']];realnoodles;realnoodles;0.5;0.69314718056
1;"[<__main__.Word instance at 0x117e24cb0>
 <__main__.Word instance at 0x117e24e60>]";Ethan;2_0;False;False;[['cup'], ['noodles']];cupnoodles;noodlescup;0.5;-0.69314718056
2;"[<__main__.Word instance at 0x1088a8560>
 <__main__.Word instance at 0x1088a8a70>
 <__main__.Word instance at 0x1088a87a0>]";Ethan;2_0;False;False;[['of', 'noodles'], ['cup']];cupofnoodles;ofnoodlescup;0.5;-0.69314718056
3;"[<__main__.Word instance at 0x1088a8a28>
 <__main__.Word instance at 0x1088a8758>
 <__main__.Word instance at 0x1088a83f8>
 <__main__.Word instance at 0x10870fa28>
 <__main__.Word instance at 0x10870f6c8>]";Ethan;2_0;False;False;"[[""I'll""], ['noodles'], ['you'], ['give'], ['real']]";I'llgiveyourealnoodles;giveyourealnoodlesI'll;0.00833333333333;-0.00836824967052
4;"[<__main__.Word instance at 0x10870fb48>
 <__main__.Word instance at 0x10870f878>]";Ethan;2_0;False;True;[['pretend'], ['pretend']];pretendpretend;pretendpretend;0.5;0.69314718056
5;[<__main__.Word instance at 0x10870f4d0>];Ethan;2_0;False;True;[['pretend']];pretend;pretend;1.0;0.0
6;[<__main__.Word instance at 0x117e2a368>];Ethan;2_0;False;True;[['pretend']];pretend;pretend;1.0;0.0
7;[<__main__.Word instance at 0x117e2a4d0>];Ethan;2_0;False;True;[['no']];no;no;1.0;0.0
8;[<__main__.Word instance at 0x117e2a6c8>];Ethan;2_0;False;True;[['break']];break;break;1.0;0.0
9;"[<__main__.Word instance at 0x117e2a7e8>
 <__main__.Word instance at 0x117e2a998>
 <__main__.Word instance at 0x117e2aa28>]";Ethan;2_0;False;False;[['one'], ['the'], ['red']];theredone;redonethe;0.166666666667;-0.182321556794
10;"[<__main__.Word instance at 0x117e2aab8>
 <__main__.Word instance at 0x117e2abd8>]";Ethan;2_0;False;False;"[[""that's""], ['another']]";that'sanother;anotherthat's;0.5;-0.69314718056
11;"[<__main__.Word instance at 0x117e2ad88>
 <__main__.Word instance at 0x117e2ac68>]";Ethan;2_0;False;True;[['one'], ['red']];redone;redone;0.5;0.69314718056
12;"[<__main__.Word instance at 0x117e2ae18>
 <__main__.Word instance at 0x108711a28>]";Ethan;2_0;False;False;[['the'], ['red']];thered;redthe;0.5;-0.69314718056
13;"[<__main__.Word instance at 0x1087119e0>
 <__main__.Word instance at 0x108711c20>
 <__main__.Word instance at 0x108711bd8>]";Ethan;2_0;False;True;[['a'], ['green'], ['one']];agreenone;agreenone;0.166666666667;1.79175946923
14;"[<__main__.Word instance at 0x117e2e050>
 <__main__.Word instance at 0x117e2e200>]";Ethan;2_0;False;True;[['heavy'], ['a']];aheavy;aheavy;0.5;0.69314718056
15;[<__main__.Word instance at 0x117e2e368>];Ethan;2_0;False;True;[['green']];green;green;1.0;0.0
16;[<__main__.Word instance at 0x117e2e878>];Ethan;2_0;False;True;[['red']];red;red;1.0;0.0
17;"[<__main__.Word instance at 0x117e2e518>
 <__main__.Word instance at 0x117e2e950>
 <__main__.Word instance at 0x117e2e9e0>]";Ethan;2_0;False;False;[['the'], ['red'], ['green']];theredgreen;redthegreen;0.166666666667;-0.182321556794
18;"[<__main__.Word instance at 0x117e2eb90>
 <__main__.Word instance at 0x117e2eea8>
 <__main__.Word instance at 0x117e2ed88>]";Ethan;2_0;False;False;[['one'], ['another'], ['orange']];anotherorangeone;orangeanotherone;0.166666666667;-0.182321556794
19;[<__main__.Word instance at 0x117e2eab8>];Ethan;2_0;False;True;[['orange']];orange;orange;1.0;0.0
20;"[<__main__.Word instance at 0x117e2efc8>
 <__main__.Word instance at 0x117e2ec20>]";Ethan;2_0;False;True;[['put'], ['on']];puton;puton;0.5;0.69314718056
21;"[<__main__.Word instance at 0x117e31170>
 <__main__.Word instance at 0x117e31248>]";Ethan;2_0;False;False;[['off'], ['took']];tookoff;offtook;0.5;-0.69314718056
22;"[<__main__.Word instance at 0x117e312d8>
 <__main__.Word instance at 0x117e31488>
 <__main__.Word instance at 0x117e31368>
 <__main__.Word instance at 0x117e31710>
 <__main__.Word instance at 0x117e311b8>]";Ethan;2_0;False;False;[['a', 'necklace'], ['you'], ['now'], ['make']];nowyoumakeanecklace;makeyouanecklacenow;0.0416666666667;-0.0425596144188
