num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x11af80bd8>
 <__main__.Word instance at 0x11af80d40>
 <__main__.Word instance at 0x11af80dd0>]";Lily;3_0;False;False;[['Mom'], ['I', 'got']];IgotMom;MomIgot;0.5;-0.69314718056
1;"[<__main__.Word instance at 0x105733560>
 <__main__.Word instance at 0x105733a70>]";Lily;3_0;True;NaN;NaN;thecurtains;NaN;NaN;NaN
2;[<__main__.Word instance at 0x105733cf8>];Lily;3_0;False;True;[['no']];no;no;1.0;0.0
3;"[<__main__.Word instance at 0x105733758>
 <__main__.Word instance at 0x105733710>
 <__main__.Word instance at 0x1057335a8>
 <__main__.Word instance at 0x1057338c0>
 <__main__.Word instance at 0x105733f80>
 <__main__.Word instance at 0x1057334d0>]";Lily;3_0;False;False;"[['my'], ['apple'], [""I'll""], ['her'], ['show'], ['too']]";I'llshowhermyappletoo;toomyappleshowherI'll;0.00138888888889;-0.00138985428905
4;[<__main__.Word instance at 0x1057333f8>];Lily;3_0;False;True;[['uhhuh']];uhhuh;uhhuh;1.0;0.0
5;"[<__main__.Word instance at 0x10559a6c8>
 <__main__.Word instance at 0x10559a5a8>
 <__main__.Word instance at 0x10559a998>
 <__main__.Word instance at 0x10559ab00>
 <__main__.Word instance at 0x10559ab48>
 <__main__.Word instance at 0x10559ac20>
 <__main__.Word instance at 0x10559aa28>]";Lily;3_0;False;False;"[['my'], ['apple'], ['show'], ['my'], ['new'], ['her'], [""I'll""]]";I'llshowhermymynewapple;myappleI'llshowhernewmy;0.000198412698413;-0.000198432384816
6;"[<__main__.Word instance at 0x10559cbd8>
 <__main__.Word instance at 0x10559c9e0>
 <__main__.Word instance at 0x11af85098>
 <__main__.Word instance at 0x11af85200>
 <__main__.Word instance at 0x11af85290>
 <__main__.Word instance at 0x11af85320>]";Lily;3_0;False;False;"[['a'], ['apple'], ['and'], [""it's""], ['a'], ['eraser']]";it'saeraserandaapple;aaeraserandappleit's;0.00138888888889;-0.00138985428905
7;"[<__main__.Word instance at 0x11af853f8>
 <__main__.Word instance at 0x11af85518>
 <__main__.Word instance at 0x11af85638>
 <__main__.Word instance at 0x11af856c8>]";Lily;3_0;True;NaN;NaN;&uhit'safly;NaN;NaN;NaN
8;"[<__main__.Word instance at 0x11af857a0>
 <__main__.Word instance at 0x11af85908>]";Lily;3_0;False;True;[['a'], ['bee']];abee;abee;0.5;0.69314718056
9;"[<__main__.Word instance at 0x11af85a28>
 <__main__.Word instance at 0x11af85ab8>
 <__main__.Word instance at 0x11af85b48>
 <__main__.Word instance at 0x11af85b90>
 <__main__.Word instance at 0x11af85c68>]";Lily;3_0;True;NaN;NaN;Ithinkit'sabumble;NaN;NaN;NaN
10;"[<__main__.Word instance at 0x11af85ef0>
 <__main__.Word instance at 0x11af85f80>
 <__main__.Word instance at 0x11af85e60>
 <__main__.Word instance at 0x11af85ea8>]";Lily;3_0;False;False;[['bee'], ['a'], ['is'], ['it']];isitabee;itisabee;0.0416666666667;-0.0425596144188
11;[<__main__.Word instance at 0x11af8a0e0>];Lily;3_0;False;True;[['ah']];ah;ah;1.0;0.0
12;[<__main__.Word instance at 0x11af8a248>];Lily;3_0;False;True;[['ah']];ah;ah;1.0;0.0
13;"[<__main__.Word instance at 0x11af8a6c8>
 <__main__.Word instance at 0x11af8a5a8>
 <__main__.Word instance at 0x11af8a8c0>]";Lily;3_0;False;False;"[['know'], ['I', ""don't""]]";Idon'tknow;knowIdon't;0.5;-0.69314718056
14;"[<__main__.Word instance at 0x11af8a908>
 <__main__.Word instance at 0x11af8a488>
 <__main__.Word instance at 0x11af8aa28>]";Lily;3_0;False;False;"[['I', ""don't""], ['know']]";Idon'tknow;knowIdon't;0.5;-0.69314718056
15;[<__main__.Word instance at 0x11af8a998>];Lily;3_0;True;NaN;NaN;&;NaN;NaN;NaN
16;[<__main__.Word instance at 0x11af8acf8>];Lily;3_0;True;NaN;NaN;&;NaN;NaN;NaN
17;"[<__main__.Word instance at 0x11af8ad88>
 <__main__.Word instance at 0x11af8ac68>
 <__main__.Word instance at 0x11af8ae60>]";Lily;3_0;False;False;"[['know'], ['I', ""don't""]]";Idon'tknow;knowIdon't;0.5;-0.69314718056
18;[<__main__.Word instance at 0x11af8af38>];Lily;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
19;"[<__main__.Word instance at 0x11af8aea8>
 <__main__.Word instance at 0x11af8af80>
 <__main__.Word instance at 0x11af8ab48>
 <__main__.Word instance at 0x11af8ab90>
 <__main__.Word instance at 0x11af8a7a0>]";Lily;3_0;True;NaN;NaN;yeahandaM_And_Mcookie;NaN;NaN;NaN
20;[<__main__.Word instance at 0x11af8e0e0>];Lily;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
21;[<__main__.Word instance at 0x11af8e368>];Lily;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
22;[<__main__.Word instance at 0x11af8e440>];Lily;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
23;"[<__main__.Word instance at 0x11af8e3b0>
 <__main__.Word instance at 0x11af8e710>
 <__main__.Word instance at 0x11af8e5f0>
 <__main__.Word instance at 0x11af8e908>
 <__main__.Word instance at 0x11af8e830>
 <__main__.Word instance at 0x11af8e9e0>]";Lily;3_0;False;False;[['strawberries'], ['raspberries'], ['and'], ['and'], ['&-um'], ['blueberries']];&-umblueberriesandstrawberriesandraspberries;&-umandblueberriesandraspberriesstrawberries;0.00138888888889;-0.00138985428905
24;"[<__main__.Word instance at 0x11af8e950>
 <__main__.Word instance at 0x11af8eb90>
 <__main__.Word instance at 0x11af8ea28>]";Lily;3_0;False;False;[['honeydew'], ['like'], ['I']];Ilikehoneydew;honeydewlikeI;0.166666666667;-0.182321556794
25;"[<__main__.Word instance at 0x11af8e6c8>
 <__main__.Word instance at 0x11af8ed88>
 <__main__.Word instance at 0x11af8eb00>
 <__main__.Word instance at 0x11af8edd0>
 <__main__.Word instance at 0x11af8e7e8>]";Lily;3_0;False;False;"[['eat'], ['then'], ['I', ""didn't""], ['it']]";Ididn'teatitthen;theniteatIdidn't;0.0416666666667;-0.0425596144188
26;[<__main__.Word instance at 0x11af8ecb0>];Lily;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
27;"[<__main__.Word instance at 0x11af8e200>
 <__main__.Word instance at 0x11af8ebd8>
 <__main__.Word instance at 0x11af91128>
 <__main__.Word instance at 0x11af91200>
 <__main__.Word instance at 0x11af912d8>]";Lily;3_0;False;False;[['some'], ['I'], ['ate'], ['it'], ['of']];Iatesomeofit;itatesomeofI;0.00833333333333;-0.00836824967052
28;"[<__main__.Word instance at 0x11af91368>
 <__main__.Word instance at 0x11af91248>
 <__main__.Word instance at 0x11af91560>
 <__main__.Word instance at 0x11af913f8>]";Lily;3_0;False;False;[['blueberries'], ['likes'], ['he'], ['&-um']];&-umhelikesblueberries;helikesblueberries&-um;0.0416666666667;-0.0425596144188
29;"[<__main__.Word instance at 0x11af910e0>
 <__main__.Word instance at 0x11af917a0>
 <__main__.Word instance at 0x11af91710>
 <__main__.Word instance at 0x11af91908>
 <__main__.Word instance at 0x11af91518>
 <__main__.Word instance at 0x11af91998>
 <__main__.Word instance at 0x11af91878>
 <__main__.Word instance at 0x11af91a70>
 <__main__.Word instance at 0x11af91680>
 <__main__.Word instance at 0x11af91b48>
 <__main__.Word instance at 0x11af919e0>
 <__main__.Word instance at 0x11af91c20>]";Lily;3_0;False;False;[['he'], ['blue'], ['loves'], ['blueberries'], ['likes'], ['blueberries'], ['the'], ['Daddy'], ['on'], ['&-um'], ['yeah'], ['cause']];yeahDaddylikes&-umblueberriescausehelovesblueontheblueberries;Daddylovesblue&-umcausehelikesblueberriesyeahtheonblueberries;2.08767569879e-09;-2.08767570116e-09
30;"[<__main__.Word instance at 0x11af91cf8>
 <__main__.Word instance at 0x11af91b90>
 <__main__.Word instance at 0x11af91dd0>
 <__main__.Word instance at 0x11af91c68>]";Lily;3_0;False;False;[['and'], ['I'], ['red'], ['like']];andIlikered;redandIlike;0.0416666666667;-0.0425596144188
31;"[<__main__.Word instance at 0x11af915a8>
 <__main__.Word instance at 0x11af91d88>
 <__main__.Word instance at 0x11af91e18>
 <__main__.Word instance at 0x11af91fc8>]";Lily;3_0;False;False;[['like'], ['too'], ['pink'], ['I']];Ilikepinktoo;pinkIliketoo;0.0416666666667;-0.0425596144188
32;"[<__main__.Word instance at 0x11af91d40>
 <__main__.Word instance at 0x11af91ef0>
 <__main__.Word instance at 0x11af94128>]";Lily;3_0;False;False;[['red'], ['like'], ['I']];Ilikered;redlikeI;0.166666666667;-0.182321556794
33;[<__main__.Word instance at 0x11af94290>];Lily;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
34;"[<__main__.Word instance at 0x11af943b0>
 <__main__.Word instance at 0x11af94440>
 <__main__.Word instance at 0x11af94638>
 <__main__.Word instance at 0x11af944d0>]";Lily;3_0;False;False;[['likes'], ['too'], ['that'], ['he']];helikesthattoo;thathelikestoo;0.0416666666667;-0.0425596144188
35;"[<__main__.Word instance at 0x11af940e0>
 <__main__.Word instance at 0x11af947e8>
 <__main__.Word instance at 0x11af946c8>
 <__main__.Word instance at 0x11af949e0>
 <__main__.Word instance at 0x11af94878>
 <__main__.Word instance at 0x11af94ab8>
 <__main__.Word instance at 0x11af94c20>
 <__main__.Word instance at 0x11af94b00>
 <__main__.Word instance at 0x11af94e18>
 <__main__.Word instance at 0x11af94cf8>
 <__main__.Word instance at 0x11af94fc8>
 <__main__.Word instance at 0x11af94ea8>]";Lily;3_0;False;False;[['and'], ['&-uh'], ['&-um'], ['and'], ['&-um'], ['likes'], ['blueberries'], ['and'], ['&-uh'], ['honey'], ['honeydew'], ['Daddy']];Daddylikes&-um&-umblueberriesandhoneyandhoneydewand&-uh&-uh;honeydewDaddylikesblueberriesand&-umand&-umand&-uh&-uhhoney;2.08767569879e-09;-2.08767570116e-09
36;"[<__main__.Word instance at 0x11af94e60>
 <__main__.Word instance at 0x11af94a28>
 <__main__.Word instance at 0x11af94bd8>
 <__main__.Word instance at 0x11af94f80>
 <__main__.Word instance at 0x11af97098>]";Lily;3_0;False;False;[['it'], ['is'], ['what'], ['I', 'know']];Iknowwhatitis;itiswhatIknow;0.0416666666667;-0.0425596144188
37;[<__main__.Word instance at 0x11af972d8>];Lily;3_0;False;True;[['cantaloupe']];cantaloupe;cantaloupe;1.0;0.0
38;[<__main__.Word instance at 0x11af97248>];Lily;3_0;False;True;[['too']];too;too;1.0;0.0
39;"[<__main__.Word instance at 0x11af97638>
 <__main__.Word instance at 0x11af974d0>
 <__main__.Word instance at 0x11af97710>
 <__main__.Word instance at 0x11af97320>]";Lily;3_0;False;False;[['likes'], ['he'], ['strawberries'], ['too']];helikesstrawberriestoo;toohelikesstrawberries;0.0416666666667;-0.0425596144188
