num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x11da2fc20>
 <__main__.Word instance at 0x11da2fd88>
 <__main__.Word instance at 0x11da2fe18>
 <__main__.Word instance at 0x11da2ff80>
 <__main__.Word instance at 0x10d498560>
 <__main__.Word instance at 0x10d498a70>]";William;3_0;False;False;[['did'], ['it'], ['yay'], ['I'], ['go'], ['more']];Ididitgomoreyay;itdidIgomoreyay;0.00138888888889;-0.00138985428905
1;"[<__main__.Word instance at 0x10d498cf8>
 <__main__.Word instance at 0x10d498a28>
 <__main__.Word instance at 0x10d498758>
 <__main__.Word instance at 0x10d4988c0>
 <__main__.Word instance at 0x10d498518>]";William;3_0;False;True;[['it'], ['more'], ['it'], ['did'], ['go']];itdiditgomore;itdiditgomore;0.00833333333333;4.78749174278
2;"[<__main__.Word instance at 0x10d2ffa28>
 <__main__.Word instance at 0x10d2ff368>
 <__main__.Word instance at 0x10d2ffb00>
 <__main__.Word instance at 0x10d301a28>
 <__main__.Word instance at 0x10d3019e0>
 <__main__.Word instance at 0x10d301c20>]";William;3_0;False;False;[['yay'], ['go'], ['it'], ['more'], ['did'], ['it']];itdiditgomoreyay;itdiditgoyaymore;0.00138888888889;-0.00138985428905
3;[<__main__.Word instance at 0x11da35170>];William;3_0;False;True;[['yes']];yes;yes;1.0;0.0
4;"[<__main__.Word instance at 0x11da353b0>
 <__main__.Word instance at 0x11da354d0>
 <__main__.Word instance at 0x11da355f0>]";William;3_0;False;False;[['okay'], ['about'], ['how']];okayhowabout;abouthowokay;0.166666666667;-0.182321556794
5;[<__main__.Word instance at 0x11da35830>];William;3_0;False;True;[['purple']];purple;purple;1.0;0.0
6;"[<__main__.Word instance at 0x11da35a28>
 <__main__.Word instance at 0x11da35c68>]";William;3_0;False;False;[['the'], ['orange']];theorange;orangethe;0.5;-0.69314718056
7;"[<__main__.Word instance at 0x11da35dd0>
 <__main__.Word instance at 0x11da35ea8>
 <__main__.Word instance at 0x11da35d40>]";William;3_0;False;False;[['orange'], ['oh'], ['orange']];orangeorangeoh;orangeohorange;0.166666666667;-0.182321556794
8;"[<__main__.Word instance at 0x11da35e18>
 <__main__.Word instance at 0x11da35ef0>
 <__main__.Word instance at 0x11da35bd8>
 <__main__.Word instance at 0x11da35fc8>]";William;3_0;False;False;[['help'], ['can'], ['me'], ['orange']];canhelpmeorange;orangehelpmecan;0.0416666666667;-0.0425596144188
9;[<__main__.Word instance at 0x11da3a170>];William;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
10;[<__main__.Word instance at 0x11da3a0e0>];William;3_0;False;True;[['red']];red;red;1.0;0.0
