num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x116b97878>
 <__main__.Word instance at 0x116b979e0>]";Alex;3_0;False;True;[['hey'], ['hey']];heyhey;heyhey;0.5;0.69314718056
1;[<__main__.Word instance at 0x116b97b90>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
2;[<__main__.Word instance at 0x116b97dd0>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
3;[<__main__.Word instance at 0x116b97f80>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
4;[<__main__.Word instance at 0x109d63a70>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
5;[<__main__.Word instance at 0x109d63cf8>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
6;[<__main__.Word instance at 0x109d63758>];Alex;3_0;True;NaN;NaN;broke;NaN;NaN;NaN
7;[<__main__.Word instance at 0x109d63518>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
8;[<__main__.Word instance at 0x109d63680>];Alex;3_0;True;NaN;NaN;nope;NaN;NaN;NaN
9;[<__main__.Word instance at 0x109d63878>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
10;[<__main__.Word instance at 0x109bca5a8>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
11;"[<__main__.Word instance at 0x109bcaa28>
 <__main__.Word instance at 0x109bca4d0>]";Alex;3_0;False;True;[['no'], ['no']];nono;nono;0.5;0.69314718056
12;"[<__main__.Word instance at 0x109bca998>
 <__main__.Word instance at 0x109bca878>
 <__main__.Word instance at 0x109bca368>]";Alex;3_0;False;False;[['no'], ['play'], ['me']];nomeplay;meplayno;0.166666666667;-0.182321556794
13;[<__main__.Word instance at 0x109bcca28>];Alex;3_0;False;True;[['Mommy']];Mommy;Mommy;1.0;0.0
14;"[<__main__.Word instance at 0x109bcc9e0>
 <__main__.Word instance at 0x109bccc20>
 <__main__.Word instance at 0x109bccbd8>]";Alex;3_0;False;True;[['Mommy'], ['Mommy'], ['you']];youMommyMommy;youMommyMommy;0.166666666667;1.79175946923
15;"[<__main__.Word instance at 0x116b9d098>
 <__main__.Word instance at 0x116b9d128>
 <__main__.Word instance at 0x116b9d1b8>]";Alex;3_0;False;True;[['break'], ['you'], ['it']];youbreakit;youbreakit;0.166666666667;1.79175946923
16;"[<__main__.Word instance at 0x116b9d2d8>
 <__main__.Word instance at 0x116b9d368>
 <__main__.Word instance at 0x116b9d3f8>]";Alex;3_0;True;NaN;NaN;myanimalbook;NaN;NaN;NaN
17;[<__main__.Word instance at 0x116b9d518>];Alex;3_0;False;True;[['hey']];hey;hey;1.0;0.0
18;[<__main__.Word instance at 0x116b9d638>];Alex;3_0;False;True;[['yes']];yes;yes;1.0;0.0
19;"[<__main__.Word instance at 0x116b9d7a0>
 <__main__.Word instance at 0x116b9d830>]";Alex;3_0;False;True;[['this', 'one']];thisone;thisone;1.0;0.0
20;"[<__main__.Word instance at 0x116b9d950>
 <__main__.Word instance at 0x116b9d9e0>]";Alex;3_0;False;True;[['this', 'one']];thisone;thisone;1.0;0.0
21;"[<__main__.Word instance at 0x116b9db48>
 <__main__.Word instance at 0x116b9dc20>
 <__main__.Word instance at 0x116b9dab8>
 <__main__.Word instance at 0x116b9dcf8>]";Alex;3_0;False;False;[['is'], ['this', 'one'], ['what']];whatthisoneis;whatisthisone;0.166666666667;-0.182321556794
22;"[<__main__.Word instance at 0x116b9ddd0>
 <__main__.Word instance at 0x116b9dea8>]";Alex;3_0;False;True;[['is'], ['this']];thisis;thisis;0.5;0.69314718056
23;[<__main__.Word instance at 0x116b9df80>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
24;"[<__main__.Word instance at 0x116b9dc68>
 <__main__.Word instance at 0x116b9dfc8>
 <__main__.Word instance at 0x116b9def0>]";Alex;3_0;True;NaN;NaN;Mommyreadthis;NaN;NaN;NaN
25;[<__main__.Word instance at 0x116ba1098>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
26;"[<__main__.Word instance at 0x116ba1320>
 <__main__.Word instance at 0x116ba11b8>
 <__main__.Word instance at 0x116ba1440>
 <__main__.Word instance at 0x116ba14d0>
 <__main__.Word instance at 0x116ba1248>]";Alex;3_0;False;False;[['no'], ['this'], ['on'], ['no'], ['put']];nonoputthison;thisonnonoput;0.00833333333333;-0.00836824967052
27;"[<__main__.Word instance at 0x116ba12d8>
 <__main__.Word instance at 0x116ba13b0>]";Alex;3_0;True;NaN;NaN;myhair;NaN;NaN;NaN
28;"[<__main__.Word instance at 0x116ba17e8>
 <__main__.Word instance at 0x116ba16c8>
 <__main__.Word instance at 0x116ba1878>]";Alex;3_0;True;NaN;NaN;thechickgrow;NaN;NaN;NaN
29;"[<__main__.Word instance at 0x116ba1680>
 <__main__.Word instance at 0x116ba1a70>]";Alex;3_0;False;True;[['over'], ['there']];overthere;overthere;0.5;0.69314718056
30;"[<__main__.Word instance at 0x116ba1b48>
 <__main__.Word instance at 0x116ba19e0>
 <__main__.Word instance at 0x116ba1bd8>
 <__main__.Word instance at 0x116ba1ab8>]";Alex;3_0;True;NaN;NaN;seethechick'scoming;NaN;NaN;NaN
31;"[<__main__.Word instance at 0x116ba1c68>
 <__main__.Word instance at 0x116ba1ea8>
 <__main__.Word instance at 0x116ba17a0>]";Alex;3_0;True;NaN;NaN;achick'scoming;NaN;NaN;NaN
32;"[<__main__.Word instance at 0x116ba1e18>
 <__main__.Word instance at 0x116ba1ef0>]";Alex;3_0;False;False;"[[""it's""], ['coming']]";it'scoming;comingit's;0.5;-0.69314718056
33;"[<__main__.Word instance at 0x116ba1d88>
 <__main__.Word instance at 0x116ba15f0>]";Alex;3_0;False;False;"[[""it's""], ['coming']]";it'scoming;comingit's;0.5;-0.69314718056
34;[<__main__.Word instance at 0x116ba5128>];Alex;3_0;False;True;[['Gigi']];Gigi;Gigi;1.0;0.0
35;[<__main__.Word instance at 0x116ba5200>];Alex;3_0;True;NaN;NaN;clock;NaN;NaN;NaN
36;"[<__main__.Word instance at 0x116ba55a8>
 <__main__.Word instance at 0x116ba5488>]";Alex;3_0;False;True;"[[""what's""], ['that']]";what'sthat;what'sthat;0.5;0.69314718056
37;"[<__main__.Word instance at 0x116ba5878>
 <__main__.Word instance at 0x116ba52d8>]";Alex;3_0;True;NaN;NaN;ohflowers;NaN;NaN;NaN
38;"[<__main__.Word instance at 0x116ba57e8>
 <__main__.Word instance at 0x116ba5a70>
 <__main__.Word instance at 0x116ba5950>]";Alex;3_0;True;NaN;NaN;mymyflowers;NaN;NaN;NaN
39;"[<__main__.Word instance at 0x116ba5ab8>
 <__main__.Word instance at 0x116ba5e18>
 <__main__.Word instance at 0x116ba5dd0>]";Alex;3_0;True;NaN;NaN;thelastone;NaN;NaN;NaN
40;[<__main__.Word instance at 0x116ba5e60>];Alex;3_0;True;NaN;NaN;flower;NaN;NaN;NaN
41;[<__main__.Word instance at 0x116ba56c8>];Alex;3_0;True;NaN;NaN;smell;NaN;NaN;NaN
42;"[<__main__.Word instance at 0x116ba80e0>
 <__main__.Word instance at 0x116ba8098>]";Alex;3_0;False;False;[['this'], ['is']];isthis;thisis;0.5;-0.69314718056
43;[<__main__.Word instance at 0x116ba8200>];Alex;3_0;False;True;[['this']];this;this;1.0;0.0
44;"[<__main__.Word instance at 0x116ba8128>
 <__main__.Word instance at 0x116ba84d0>]";Alex;3_0;True;NaN;NaN;atrunk;NaN;NaN;NaN
45;[<__main__.Word instance at 0x116ba85a8>];Alex;3_0;False;True;[['alligator']];alligator;alligator;1.0;0.0
46;"[<__main__.Word instance at 0x116ba8680>
 <__main__.Word instance at 0x116ba8518>]";Alex;3_0;False;True;[['alligator'], ['no']];noalligator;noalligator;0.5;0.69314718056
47;[<__main__.Word instance at 0x116ba87e8>];Alex;3_0;True;NaN;NaN;lizard;NaN;NaN;NaN
48;"[<__main__.Word instance at 0x116ba8878>
 <__main__.Word instance at 0x116ba8050>]";Alex;3_0;True;NaN;NaN;heymoon;NaN;NaN;NaN
49;"[<__main__.Word instance at 0x116ba86c8>
 <__main__.Word instance at 0x116ba8b00>
 <__main__.Word instance at 0x116ba89e0>]";Alex;3_0;True;NaN;NaN;wegosleep;NaN;NaN;NaN
50;"[<__main__.Word instance at 0x116ba8b90>
 <__main__.Word instance at 0x116ba8dd0>
 <__main__.Word instance at 0x116ba8950>
 <__main__.Word instance at 0x116ba8e60>]";Alex;3_0;True;NaN;NaN;nothat'sthat'ssquirrel;NaN;NaN;NaN
51;"[<__main__.Word instance at 0x116ba8ef0>
 <__main__.Word instance at 0x116ba8ab8>]";Alex;3_0;True;NaN;NaN;nosquirrel;NaN;NaN;NaN
52;"[<__main__.Word instance at 0x116bab098>
 <__main__.Word instance at 0x116bab128>]";Alex;3_0;True;NaN;NaN;owloooh;NaN;NaN;NaN
53;"[<__main__.Word instance at 0x116bab1b8>
 <__main__.Word instance at 0x116bab5f0>
 <__main__.Word instance at 0x116bab4d0>
 <__main__.Word instance at 0x116bab680>
 <__main__.Word instance at 0x116bab440>
 <__main__.Word instance at 0x116bab878>]";Alex;3_0;True;NaN;NaN;jacketshoesasockpantsshirt;NaN;NaN;NaN
54;"[<__main__.Word instance at 0x116bab950>
 <__main__.Word instance at 0x116bab368>
 <__main__.Word instance at 0x116baba28>
 <__main__.Word instance at 0x116babb00>]";Alex;3_0;True;NaN;NaN;pastebrushsoaptowel;NaN;NaN;NaN
55;"[<__main__.Word instance at 0x116babbd8>
 <__main__.Word instance at 0x116baba70>
 <__main__.Word instance at 0x116babcb0>]";Alex;3_0;True;NaN;NaN;nowstandup;NaN;NaN;NaN
56;[<__main__.Word instance at 0x116babf80>];Alex;3_0;False;True;[['this']];this;this;1.0;0.0
57;[<__main__.Word instance at 0x116babcf8>];Alex;3_0;True;NaN;NaN;chips;NaN;NaN;NaN
58;"[<__main__.Word instance at 0x116bae1b8>
 <__main__.Word instance at 0x116bae368>]";Alex;3_0;True;NaN;NaN;takebath;NaN;NaN;NaN
59;"[<__main__.Word instance at 0x116bae518>
 <__main__.Word instance at 0x116bae3f8>]";Alex;3_0;True;NaN;NaN;duckboat;NaN;NaN;NaN
60;[<__main__.Word instance at 0x116bae5a8>];Alex;3_0;True;NaN;NaN;shampoo;NaN;NaN;NaN
61;"[<__main__.Word instance at 0x116bae758>
 <__main__.Word instance at 0x116bae998>]";Alex;3_0;True;NaN;NaN;boattowel;NaN;NaN;NaN
62;[<__main__.Word instance at 0x116baea28>];Alex;3_0;False;True;[['duck']];duck;duck;1.0;0.0
63;[<__main__.Word instance at 0x116baeab8>];Alex;3_0;True;NaN;NaN;owl;NaN;NaN;NaN
64;"[<__main__.Word instance at 0x116bae878>
 <__main__.Word instance at 0x116baed40>]";Alex;3_0;False;False;"[['this'], [""what's""]]";what'sthis;thiswhat's;0.5;-0.69314718056
65;"[<__main__.Word instance at 0x116bb2290>
 <__main__.Word instance at 0x116bb2200>]";Alex;3_0;False;False;"[[""what's""], ['this']]";what'sthis;thiswhat's;0.5;-0.69314718056
66;"[<__main__.Word instance at 0x116bb2518>
 <__main__.Word instance at 0x116bb23f8>]";Alex;3_0;True;NaN;NaN;apink;NaN;NaN;NaN
67;"[<__main__.Word instance at 0x116bb2758>
 <__main__.Word instance at 0x116bb2638>
 <__main__.Word instance at 0x116bb2950>
 <__main__.Word instance at 0x116bb27e8>]";Alex;3_0;True;NaN;NaN;wepaintatschool;NaN;NaN;NaN
68;"[<__main__.Word instance at 0x116bb2050>
 <__main__.Word instance at 0x116bb2b00>]";Alex;3_0;True;NaN;NaN;swimmingtime;NaN;NaN;NaN
69;"[<__main__.Word instance at 0x116bb2b90>
 <__main__.Word instance at 0x116bb2a70>
 <__main__.Word instance at 0x116bb2d40>]";Alex;3_0;True;NaN;NaN;where'sAmandago;NaN;NaN;NaN
70;"[<__main__.Word instance at 0x116bb2f38>
 <__main__.Word instance at 0x116bb2dd0>]";Alex;3_0;True;NaN;NaN;fruitvegetables;NaN;NaN;NaN
71;[<__main__.Word instance at 0x116bb2ef0>];Alex;3_0;True;NaN;NaN;present;NaN;NaN;NaN
72;"[<__main__.Word instance at 0x116bb5050>
 <__main__.Word instance at 0x116bb5248>
 <__main__.Word instance at 0x116bb5290>
 <__main__.Word instance at 0x116bb5098>
 <__main__.Word instance at 0x116bb53b0>]";Alex;3_0;False;False;"[['my'], ['my'], ['milk'], ['milk'], [""where's""]]";mymilkwhere'smymilk;where'smymymilkmilk;0.00833333333333;-0.00836824967052
73;[<__main__.Word instance at 0x116bb5128>];Alex;3_0;False;True;[['more']];more;more;1.0;0.0
