num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x103d76170>
 <__main__.Word instance at 0x103d50560>]";Ethan;1_6;False;True;[['off'], ['off']];offoff;offoff;0.5;0.69314718056
1;"[<__main__.Word instance at 0x103d507a0>
 <__main__.Word instance at 0x103d50cf8>
 <__main__.Word instance at 0x103d50a28>
 <__main__.Word instance at 0x103d50758>]";Ethan;1_6;True;NaN;NaN;offowowow;NaN;NaN;NaN
2;[<__main__.Word instance at 0x103d50518>];Ethan;1_6;False;True;[['off']];off;off;1.0;0.0
3;"[<__main__.Word instance at 0x103d508c0>
 <__main__.Word instance at 0x103d50878>]";Ethan;1_6;False;False;[['backpack'], ['on']];backpackon;onbackpack;0.5;-0.69314718056
4;"[<__main__.Word instance at 0x103d504d0>
 <__main__.Word instance at 0x103d50f80>]";Ethan;1_6;False;False;[['backpack'], ['on']];backpackon;onbackpack;0.5;-0.69314718056
5;"[<__main__.Word instance at 0x110b76170>
 <__main__.Word instance at 0x110b76200>]";Ethan;1_6;False;True;[['off'], ['backpack']];backpackoff;backpackoff;0.5;0.69314718056
6;"[<__main__.Word instance at 0x110b76440>
 <__main__.Word instance at 0x110b76518>]";Ethan;1_6;False;False;[['backpack'], ['on']];backpackon;onbackpack;0.5;-0.69314718056
7;"[<__main__.Word instance at 0x110b766c8>
 <__main__.Word instance at 0x110b76710>]";Ethan;1_6;False;True;[['on'], ['microphone']];microphoneon;microphoneon;0.5;0.69314718056
8;[<__main__.Word instance at 0x110b76878>];Ethan;1_6;False;True;[['microphone']];microphone;microphone;1.0;0.0
9;"[<__main__.Word instance at 0x110b76950>
 <__main__.Word instance at 0x110b76a70>]";Ethan;1_6;False;True;[['microphone'], ['microphone']];microphonemicrophone;microphonemicrophone;0.5;0.69314718056
10;"[<__main__.Word instance at 0x110b76b90>
 <__main__.Word instance at 0x110b76c20>]";Ethan;1_6;False;True;[['off'], ['off']];offoff;offoff;0.5;0.69314718056
11;"[<__main__.Word instance at 0x110b76d40>
 <__main__.Word instance at 0x110b76dd0>]";Ethan;1_6;False;True;[['truck'], ['truck']];trucktruck;trucktruck;0.5;0.69314718056
12;[<__main__.Word instance at 0x110b76ef0>];Ethan;1_6;False;True;[['little']];little;little;1.0;0.0
13;"[<__main__.Word instance at 0x110b76fc8>
 <__main__.Word instance at 0x103bb9ab8>
 <__main__.Word instance at 0x103bb9c20>]";Ethan;1_6;True;NaN;NaN;tunneltoolittle;NaN;NaN;NaN
14;[<__main__.Word instance at 0x103bb9a28>];Ethan;1_6;False;True;[['up']];up;up;1.0;0.0
15;[<__main__.Word instance at 0x103bb7908>];Ethan;1_6;True;NaN;NaN;tunnel;NaN;NaN;NaN
16;"[<__main__.Word instance at 0x103bb7878>
 <__main__.Word instance at 0x103bb7b00>]";Ethan;1_6;False;True;[['too', 'little']];toolittle;toolittle;1.0;0.0
17;[<__main__.Word instance at 0x103bb7c20>];Ethan;1_6;False;True;[['engine']];engine;engine;1.0;0.0
18;[<__main__.Word instance at 0x110b7d200>];Ethan;1_6;True;NaN;NaN;track;NaN;NaN;NaN
19;"[<__main__.Word instance at 0x110b7d2d8>
 <__main__.Word instance at 0x110b7d3b0>]";Ethan;1_6;True;NaN;NaN;thetrack;NaN;NaN;NaN
20;[<__main__.Word instance at 0x110b7d488>];Ethan;1_6;False;True;[['truck']];truck;truck;1.0;0.0
21;"[<__main__.Word instance at 0x110b7d518>
 <__main__.Word instance at 0x110b7d3f8>
 <__main__.Word instance at 0x110b7d638>]";Ethan;1_6;False;True;[['fix'], ['it'], ['together']];fixittogether;fixittogether;0.166666666667;1.79175946923
