num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x10b130560>
 <__main__.Word instance at 0x10b130a70>
 <__main__.Word instance at 0x10b1307a0>]";Lily;3_0;True;NaN;NaN;IgotMom;NaN;NaN;NaN
1;"[<__main__.Word instance at 0x10b130a28>
 <__main__.Word instance at 0x10b130758>]";Lily;3_0;True;NaN;NaN;thecurtains;NaN;NaN;NaN
2;[<__main__.Word instance at 0x10b130518>];Lily;3_0;False;True;[['no']];no;no;1.0;0.0
3;"[<__main__.Word instance at 0x10af97a28>
 <__main__.Word instance at 0x10af97368>
 <__main__.Word instance at 0x10af97b00>
 <__main__.Word instance at 0x10af99a28>
 <__main__.Word instance at 0x10af99c68>
 <__main__.Word instance at 0x10af99bd8>]";Lily;3_0;False;False;"[['her'], ['show'], ['apple'], ['my'], ['too'], [""I'll""]]";I'llshowhermyappletoo;showI'lltoohermyapple;0.00138888888889;-0.00138985428905
4;[<__main__.Word instance at 0x118421098>];Lily;3_0;True;NaN;NaN;uhhuh;NaN;NaN;NaN
5;"[<__main__.Word instance at 0x118421248>
 <__main__.Word instance at 0x118421368>
 <__main__.Word instance at 0x118421488>
 <__main__.Word instance at 0x1184215a8>
 <__main__.Word instance at 0x1184216c8>
 <__main__.Word instance at 0x1184217e8>
 <__main__.Word instance at 0x118421908>]";Lily;3_0;False;False;"[['new'], ['my'], ['apple'], ['show'], ['her'], ['my'], [""I'll""]]";I'llshowhermymynewapple;showI'llmymyhernewapple;0.000198412698413;-0.000198432384816
6;"[<__main__.Word instance at 0x118421b48>
 <__main__.Word instance at 0x118421c68>
 <__main__.Word instance at 0x118421d88>
 <__main__.Word instance at 0x118421ea8>
 <__main__.Word instance at 0x118421f80>
 <__main__.Word instance at 0x118421ef0>]";Lily;3_0;False;False;"[['a'], ['eraser', 'and'], ['a'], [""it's""], ['apple']]";it'saeraserandaapple;aaappleit'seraserand;0.00833333333333;-0.00836824967052
7;"[<__main__.Word instance at 0x1184270e0>
 <__main__.Word instance at 0x1184272d8>
 <__main__.Word instance at 0x118427170>
 <__main__.Word instance at 0x118427488>]";Lily;3_0;True;NaN;NaN;&uhit'safly;NaN;NaN;NaN
8;"[<__main__.Word instance at 0x1184275a8>
 <__main__.Word instance at 0x118427320>]";Lily;3_0;False;True;[['a'], ['bee']];abee;abee;0.5;0.69314718056
9;"[<__main__.Word instance at 0x118427638>
 <__main__.Word instance at 0x118427950>
 <__main__.Word instance at 0x118427830>
 <__main__.Word instance at 0x118427b48>
 <__main__.Word instance at 0x1184279e0>]";Lily;3_0;True;NaN;NaN;Ithinkit'sabumble;NaN;NaN;NaN
10;"[<__main__.Word instance at 0x118427908>
 <__main__.Word instance at 0x118427cf8>
 <__main__.Word instance at 0x118427b90>
 <__main__.Word instance at 0x118427dd0>]";Lily;3_0;False;False;[['a'], ['bee'], ['it'], ['is']];isitabee;itisabee;0.0416666666667;-0.0425596144188
11;[<__main__.Word instance at 0x118427c68>];Lily;3_0;False;True;[['ah']];ah;ah;1.0;0.0
12;[<__main__.Word instance at 0x118427e18>];Lily;3_0;False;True;[['ah']];ah;ah;1.0;0.0
13;"[<__main__.Word instance at 0x118427fc8>
 <__main__.Word instance at 0x118427d40>
 <__main__.Word instance at 0x118427b00>]";Lily;3_0;False;True;"[['I', ""don't""], ['know']]";Idon'tknow;Idon'tknow;0.5;0.69314718056
14;"[<__main__.Word instance at 0x11842a170>
 <__main__.Word instance at 0x11842a200>
 <__main__.Word instance at 0x11842a0e0>]";Lily;3_0;False;True;"[['know'], ['I', ""don't""]]";Idon'tknow;Idon'tknow;0.5;0.69314718056
15;[<__main__.Word instance at 0x11842a290>];Lily;3_0;True;NaN;NaN;&;NaN;NaN;NaN
16;[<__main__.Word instance at 0x11842a680>];Lily;3_0;True;NaN;NaN;&;NaN;NaN;NaN
17;"[<__main__.Word instance at 0x11842a758>
 <__main__.Word instance at 0x11842a3b0>
 <__main__.Word instance at 0x11842a830>]";Lily;3_0;False;True;"[['know'], ['I', ""don't""]]";Idon'tknow;Idon'tknow;0.5;0.69314718056
18;[<__main__.Word instance at 0x11842a8c0>];Lily;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
19;"[<__main__.Word instance at 0x11842aab8>
 <__main__.Word instance at 0x11842a998>
 <__main__.Word instance at 0x11842ab90>
 <__main__.Word instance at 0x11842a638>
 <__main__.Word instance at 0x11842ac68>]";Lily;3_0;True;NaN;NaN;yeahandaM_And_Mcookie;NaN;NaN;NaN
20;[<__main__.Word instance at 0x11842abd8>];Lily;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
21;[<__main__.Word instance at 0x11842ad88>];Lily;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
22;[<__main__.Word instance at 0x11842aa70>];Lily;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
23;"[<__main__.Word instance at 0x11842ab00>
 <__main__.Word instance at 0x11842d1b8>
 <__main__.Word instance at 0x11842d050>
 <__main__.Word instance at 0x11842d290>
 <__main__.Word instance at 0x11842d368>
 <__main__.Word instance at 0x11842d200>]";Lily;3_0;True;NaN;NaN;&-umblueberriesandstrawberriesandraspberries;NaN;NaN;NaN
24;"[<__main__.Word instance at 0x11842d2d8>
 <__main__.Word instance at 0x11842d5f0>
 <__main__.Word instance at 0x11842d4d0>]";Lily;3_0;False;False;[['honeydew'], ['I'], ['like']];Ilikehoneydew;honeydewIlike;0.166666666667;-0.182321556794
