num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x1127f48c0>
 <__main__.Word instance at 0x1127f4950>]";Naima;1_0;False;True;[['Daddy'], ['Daddy']];DaddyDaddy;DaddyDaddy;0.5;0.69314718056
1;[<__main__.Word instance at 0x1127f4b90>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
2;[<__main__.Word instance at 0x1127f4dd0>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
3;[<__main__.Word instance at 0x1058dc560>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
4;[<__main__.Word instance at 0x1058dc7a0>];Naima;1_0;False;True;[['Tigger']];Tigger;Tigger;1.0;0.0
5;[<__main__.Word instance at 0x1058dca28>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
6;[<__main__.Word instance at 0x1058dc8c0>];Naima;1_0;False;True;[['down']];down;down;1.0;0.0
7;[<__main__.Word instance at 0x105745a28>];Naima;1_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
8;[<__main__.Word instance at 0x105745bd8>];Naima;1_0;False;True;[['there']];there;there;1.0;0.0
9;[<__main__.Word instance at 0x1127fa170>];Naima;1_0;False;True;[['hello']];hello;hello;1.0;0.0
10;[<__main__.Word instance at 0x1127fa3b0>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
11;[<__main__.Word instance at 0x1127fa5f0>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
12;[<__main__.Word instance at 0x1127fa950>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
13;[<__main__.Word instance at 0x1127fab48>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
14;[<__main__.Word instance at 0x1127fad40>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
15;[<__main__.Word instance at 0x1127faf38>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
16;[<__main__.Word instance at 0x1127fafc8>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
17;[<__main__.Word instance at 0x1057435a8>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
18;[<__main__.Word instance at 0x105743368>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
19;[<__main__.Word instance at 0x105743b48>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
20;"[<__main__.Word instance at 0x1127fe2d8>
 <__main__.Word instance at 0x1127fe200>
 <__main__.Word instance at 0x1127fe440>]";Naima;1_0;False;True;[['Daddy'], ['Daddy'], ['Daddy']];DaddyDaddyDaddy;DaddyDaddyDaddy;0.166666666667;1.79175946923
21;"[<__main__.Word instance at 0x1127fe368>
 <__main__.Word instance at 0x1127fe5a8>]";Naima;1_0;False;True;[['Daddy'], ['Daddy']];DaddyDaddy;DaddyDaddy;0.5;0.69314718056
22;[<__main__.Word instance at 0x1127fe680>];Naima;1_0;True;NaN;NaN;moo;NaN;NaN;NaN
23;[<__main__.Word instance at 0x1127fe758>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
24;[<__main__.Word instance at 0x1127fe830>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
25;[<__main__.Word instance at 0x1127fe908>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
26;[<__main__.Word instance at 0x1127fe8c0>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
27;"[<__main__.Word instance at 0x1127fea28>
 <__main__.Word instance at 0x1127febd8>]";Naima;1_0;False;True;[['Daddy'], ['Daddy']];DaddyDaddy;DaddyDaddy;0.5;0.69314718056
28;"[<__main__.Word instance at 0x1127fecf8>
 <__main__.Word instance at 0x1127fe9e0>]";Naima;1_0;False;True;[['Daddy'], ['Daddy']];DaddyDaddy;DaddyDaddy;0.5;0.69314718056
29;[<__main__.Word instance at 0x1127fe950>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
30;"[<__main__.Word instance at 0x1127fe878>
 <__main__.Word instance at 0x1127fef80>]";Naima;1_0;False;True;[['Daddy'], ['Daddy']];DaddyDaddy;DaddyDaddy;0.5;0.69314718056
31;[<__main__.Word instance at 0x1127feef0>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
32;"[<__main__.Word instance at 0x1127feb00>
 <__main__.Word instance at 0x112801098>
 <__main__.Word instance at 0x112801170>
 <__main__.Word instance at 0x112801290>]";Naima;1_0;False;True;[['Daddy'], ['Daddy'], ['Daddy'], ['Daddy']];DaddyDaddyDaddyDaddy;DaddyDaddyDaddyDaddy;0.0416666666667;3.17805383035
33;[<__main__.Word instance at 0x112801368>];Naima;1_0;False;True;[['eat']];eat;eat;1.0;0.0
34;[<__main__.Word instance at 0x1128013f8>];Naima;1_0;False;True;[['mic']];mic;mic;1.0;0.0
35;[<__main__.Word instance at 0x1128014d0>];Naima;1_0;False;True;[['hm']];hm;hm;1.0;0.0
36;[<__main__.Word instance at 0x112801680>];Naima;1_0;False;True;[['down']];down;down;1.0;0.0
37;[<__main__.Word instance at 0x1128017a0>];Naima;1_0;False;True;[['eat']];eat;eat;1.0;0.0
38;[<__main__.Word instance at 0x1128016c8>];Naima;1_0;False;True;[['down']];down;down;1.0;0.0
39;[<__main__.Word instance at 0x1128015f0>];Naima;1_0;False;True;[['down']];down;down;1.0;0.0
40;[<__main__.Word instance at 0x112801950>];Naima;1_0;False;True;[['down']];down;down;1.0;0.0
41;[<__main__.Word instance at 0x112801440>];Naima;1_0;False;True;[['down']];down;down;1.0;0.0
42;[<__main__.Word instance at 0x112801638>];Naima;1_0;False;True;[['down']];down;down;1.0;0.0
43;[<__main__.Word instance at 0x112801bd8>];Naima;1_0;False;True;[['down']];down;down;1.0;0.0
44;[<__main__.Word instance at 0x112801d88>];Naima;1_0;False;True;[['down']];down;down;1.0;0.0
45;[<__main__.Word instance at 0x112801a70>];Naima;1_0;False;True;[['down']];down;down;1.0;0.0
46;[<__main__.Word instance at 0x112805170>];Naima;1_0;False;True;[['down']];down;down;1.0;0.0
47;"[<__main__.Word instance at 0x112805368>
 <__main__.Word instance at 0x112805200>
 <__main__.Word instance at 0x112805290>]";Naima;1_0;False;True;[['Daddy'], ['Daddy'], ['Daddy']];DaddyDaddyDaddy;DaddyDaddyDaddy;0.166666666667;1.79175946923
48;"[<__main__.Word instance at 0x1128055a8>
 <__main__.Word instance at 0x112805488>
 <__main__.Word instance at 0x112805680>
 <__main__.Word instance at 0x112805320>
 <__main__.Word instance at 0x112805758>]";Naima;1_0;False;True;[['Daddy'], ['Daddy'], ['Daddy'], ['Daddy'], ['Daddy']];DaddyDaddyDaddyDaddyDaddy;DaddyDaddyDaddyDaddyDaddy;0.00833333333333;4.78749174278
49;[<__main__.Word instance at 0x1128057e8>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
50;[<__main__.Word instance at 0x112805908>];Naima;1_0;False;True;[['mm']];mm;mm;1.0;0.0
51;[<__main__.Word instance at 0x1128059e0>];Naima;1_0;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
52;"[<__main__.Word instance at 0x1128053b0>
 <__main__.Word instance at 0x112805dd0>
 <__main__.Word instance at 0x112805bd8>
 <__main__.Word instance at 0x112805e60>]";Naima;1_0;True;NaN;NaN;DaddyDaddyDaddyDad;NaN;NaN;NaN
53;"[<__main__.Word instance at 0x112805f38>
 <__main__.Word instance at 0x112805d40>]";Naima;1_0;False;True;[['Daddy'], ['Mama']];DaddyMama;DaddyMama;0.5;0.69314718056
54;[<__main__.Word instance at 0x112805ea8>];Naima;1_0;False;True;[['good']];good;good;1.0;0.0
55;[<__main__.Word instance at 0x112808098>];Naima;1_0;True;NaN;NaN;delicious;NaN;NaN;NaN
