num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x1104f0878>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
1;[<__main__.Word instance at 0x1104f09e0>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
2;[<__main__.Word instance at 0x1104f0b00>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
3;[<__main__.Word instance at 0x1104f0c20>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
4;[<__main__.Word instance at 0x1104f0d40>];Violet;1_6;False;True;[['this']];this;this;1.0;0.0
5;[<__main__.Word instance at 0x1104f0e60>];Violet;1_6;False;True;[['baby']];baby;baby;1.0;0.0
6;[<__main__.Word instance at 0x1104f0f80>];Violet;1_6;True;NaN;NaN;by;NaN;NaN;NaN
7;[<__main__.Word instance at 0x1035fda70>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
8;[<__main__.Word instance at 0x1035fdcf8>];Violet;1_6;True;NaN;NaN;spank;NaN;NaN;NaN
9;[<__main__.Word instance at 0x1035fd908>];Violet;1_6;True;NaN;NaN;spank;NaN;NaN;NaN
10;[<__main__.Word instance at 0x1035fd710>];Violet;1_6;True;NaN;NaN;spank;NaN;NaN;NaN
11;[<__main__.Word instance at 0x1035fd758>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
12;[<__main__.Word instance at 0x1035fd5a8>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
13;[<__main__.Word instance at 0x1035fd440>];Violet;1_6;False;True;[['no']];no;no;1.0;0.0
14;[<__main__.Word instance at 0x1035fd4d0>];Violet;1_6;False;True;[['no']];no;no;1.0;0.0
15;[<__main__.Word instance at 0x103458cf8>];Violet;1_6;False;True;[['no']];no;no;1.0;0.0
16;[<__main__.Word instance at 0x103464c20>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
17;[<__main__.Word instance at 0x103464998>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
18;"[<__main__.Word instance at 0x103466ab8>
 <__main__.Word instance at 0x103466a28>]";Violet;1_6;True;NaN;NaN;daddy'sguitar;NaN;NaN;NaN
19;[<__main__.Word instance at 0x103466bd8>];Violet;1_6;True;NaN;NaN;butterfly;NaN;NaN;NaN
20;[<__main__.Word instance at 0x1104f30e0>];Violet;1_6;False;True;[['piggy']];piggy;piggy;1.0;0.0
21;[<__main__.Word instance at 0x1104f3290>];Violet;1_6;False;True;[['neck']];neck;neck;1.0;0.0
22;[<__main__.Word instance at 0x1104f3518>];Violet;1_6;True;NaN;NaN;duck;NaN;NaN;NaN
23;[<__main__.Word instance at 0x1104f3638>];Violet;1_6;True;NaN;NaN;duck;NaN;NaN;NaN
24;[<__main__.Word instance at 0x1104f3758>];Violet;1_6;True;NaN;NaN;duck;NaN;NaN;NaN
25;[<__main__.Word instance at 0x1104f38c0>];Violet;1_6;True;NaN;NaN;duck;NaN;NaN;NaN
26;[<__main__.Word instance at 0x1104f3ab8>];Violet;1_6;True;NaN;NaN;duck;NaN;NaN;NaN
27;[<__main__.Word instance at 0x1104f3b48>];Violet;1_6;False;True;[['piggy']];piggy;piggy;1.0;0.0
28;[<__main__.Word instance at 0x1104f3830>];Violet;1_6;False;True;[['Violet']];Violet;Violet;1.0;0.0
29;[<__main__.Word instance at 0x1104f3b90>];Violet;1_6;True;NaN;NaN;doggy;NaN;NaN;NaN
30;[<__main__.Word instance at 0x1104f3c68>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
31;[<__main__.Word instance at 0x1104f3d40>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
32;[<__main__.Word instance at 0x1104f3f80>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
33;[<__main__.Word instance at 0x1104f7200>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
34;[<__main__.Word instance at 0x1104f7170>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
35;[<__main__.Word instance at 0x1104f7320>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
36;[<__main__.Word instance at 0x1104f7638>];Violet;1_6;False;True;[['this']];this;this;1.0;0.0
37;[<__main__.Word instance at 0x1104f75a8>];Violet;1_6;False;True;[['this']];this;this;1.0;0.0
38;[<__main__.Word instance at 0x1104f7680>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
39;[<__main__.Word instance at 0x1104f7758>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
40;[<__main__.Word instance at 0x1104f7830>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
41;[<__main__.Word instance at 0x1104f7908>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
42;[<__main__.Word instance at 0x1104f79e0>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
43;[<__main__.Word instance at 0x1104f7ab8>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
44;[<__main__.Word instance at 0x1104f7b90>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
45;[<__main__.Word instance at 0x1104f7c68>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
46;[<__main__.Word instance at 0x1104f7d40>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
47;[<__main__.Word instance at 0x1104f74d0>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
48;[<__main__.Word instance at 0x1104f7e18>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
49;[<__main__.Word instance at 0x1104fb200>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
50;[<__main__.Word instance at 0x1104fb3f8>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
51;[<__main__.Word instance at 0x1104fb560>];Violet;1_6;False;True;[['tea']];tea;tea;1.0;0.0
52;"[<__main__.Word instance at 0x1104fb758>
 <__main__.Word instance at 0x1104fb5f0>]";Violet;1_6;False;True;"[['ready'], [""tea's""]]";tea'sready;tea'sready;0.5;0.69314718056
