,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x117448e18>
 <__main__.Word instance at 0x117448f80>
 <__main__.Word instance at 0x10a80a560>
 <__main__.Word instance at 0x10a80aa70>
 <__main__.Word instance at 0x10a80a7a0>
 <__main__.Word instance at 0x10a80acf8>
 <__main__.Word instance at 0x10a80aa28>]",Violet,3_6,True,,,Momareyoumakinganewstring,,,NaN,NaN
1,1,[<__main__.Word instance at 0x10a80a8c0>],Violet,3_6,True,,,kite,,,NaN,NaN
2,2,"[<__main__.Word instance at 0x10a665cf8>
 <__main__.Word instance at 0x10a6715a8>
 <__main__.Word instance at 0x10a671a28>]",Violet,3_6,False,False,"[['is'], ['this'], ['what']]",whatisthis,isthiswhat,0.166666666667,False,-0.1823215567939546
3,3,"[<__main__.Word instance at 0x10a671b00>
 <__main__.Word instance at 0x10a671998>
 <__main__.Word instance at 0x11744e050>
 <__main__.Word instance at 0x11744e170>]",Violet,3_6,False,False,"[['it'], ['what'], ['for'], ['is']]",whatisitfor,isitwhatfor,0.0416666666667,False,-0.04255961441879589
4,4,"[<__main__.Word instance at 0x11744e3b0>
 <__main__.Word instance at 0x11744e4d0>
 <__main__.Word instance at 0x11744e5f0>]",Violet,3_6,False,False,"[['this'], ['is'], ['what']]",whatisthis,isthiswhat,0.166666666667,False,-0.1823215567939546
5,5,"[<__main__.Word instance at 0x11744e830>
 <__main__.Word instance at 0x11744e950>
 <__main__.Word instance at 0x11744ea70>]",Violet,3_6,True,,,here'sakite,,,NaN,NaN
6,6,[<__main__.Word instance at 0x11744ec68>],Violet,3_6,True,,,kite,,,NaN,NaN
7,7,"[<__main__.Word instance at 0x11744ee60>
 <__main__.Word instance at 0x11744eef0>
 <__main__.Word instance at 0x11744efc8>]",Violet,3_6,False,True,"[['it'], ['I'], ['see']]",Iseeit,Iseeit,0.166666666667,False,1.791759469228055
8,8,[<__main__.Word instance at 0x11744edd0>],Violet,3_6,True,,,movie,,,NaN,NaN
9,9,[<__main__.Word instance at 0x11744ecf8>],Violet,3_6,True,,,hey,,,NaN,NaN
10,10,[<__main__.Word instance at 0x117453128>],Violet,3_6,False,True,[['move']],move,move,1.0,False,-0.0
11,11,[<__main__.Word instance at 0x117453290>],Violet,3_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
12,12,[<__main__.Word instance at 0x117453200>],Violet,3_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
13,13,[<__main__.Word instance at 0x1174532d8>],Violet,3_6,True,,,ball,,,NaN,NaN
14,14,[<__main__.Word instance at 0x1174533b0>],Violet,3_6,True,,,oops,,,NaN,NaN
15,15,[<__main__.Word instance at 0x117453050>],Violet,3_6,False,True,[['we']],we,we,1.0,False,-0.0
16,16,[<__main__.Word instance at 0x117453560>],Violet,3_6,True,,,yum,,,NaN,NaN
17,17,"[<__main__.Word instance at 0x117453638>
 <__main__.Word instance at 0x117453878>
 <__main__.Word instance at 0x117453710>]",Violet,3_6,True,,,foodallover,,,NaN,NaN
18,18,[<__main__.Word instance at 0x1174537e8>],Violet,3_6,False,True,[['mama']],mama,mama,1.0,False,-0.0
19,19,[<__main__.Word instance at 0x1174538c0>],Violet,3_6,True,,,bye,,,NaN,NaN
20,20,"[<__main__.Word instance at 0x117453998>
 <__main__.Word instance at 0x117453bd8>
 <__main__.Word instance at 0x117453a70>
 <__main__.Word instance at 0x117453cb0>
 <__main__.Word instance at 0x117453b48>]",Violet,3_6,False,False,"[['book'], ['I'], ['now'], ['can'], ['read']]",nowcanIreadbook,nowIcanbookread,0.00833333333333,False,-0.00836824967051658
21,21,"[<__main__.Word instance at 0x117453c20>
 <__main__.Word instance at 0x117453e60>
 <__main__.Word instance at 0x117453488>
 <__main__.Word instance at 0x117453f38>
 <__main__.Word instance at 0x117453dd0>
 <__main__.Word instance at 0x117453ea8>]",Violet,3_6,False,False,"[['get'], ['that'], ['bunnies'], ['from'], ['the', 'Easter']]",getthatfromtheEasterbunnies,theEasterfromgetthatbunnies,0.00833333333333,False,-0.00836824967051658
22,22,"[<__main__.Word instance at 0x117453cf8>
 <__main__.Word instance at 0x10a673a28>
 <__main__.Word instance at 0x10a673c68>]",Violet,3_6,True,,,yesIwant,,,NaN,NaN
23,23,[<__main__.Word instance at 0x10a673c20>],Violet,3_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
24,24,[<__main__.Word instance at 0x117457050>],Violet,3_6,True,,,yes,,,NaN,NaN
25,25,"[<__main__.Word instance at 0x117457248>
 <__main__.Word instance at 0x1174572d8>]",Violet,3_6,False,True,"[['Easter', 'bunnies']]",Easterbunnies,Easterbunnies,1.0,False,-0.0
26,26,[<__main__.Word instance at 0x117457170>],Violet,3_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
27,27,[<__main__.Word instance at 0x1174573f8>],Violet,3_6,False,True,[['two']],two,two,1.0,False,-0.0
