num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x107177a70>];William;2_6;False;True;[['what']];what;what;1.0;0.0
1;[<__main__.Word instance at 0x107177cf8>];William;2_6;False;True;[['what']];what;what;1.0;0.0
2;"[<__main__.Word instance at 0x107177758>
 <__main__.Word instance at 0x107177638>
 <__main__.Word instance at 0x107177f80>
 <__main__.Word instance at 0x1071774d0>
 <__main__.Word instance at 0x1071773f8>
 <__main__.Word instance at 0x107177878>
 <__main__.Word instance at 0x106fd2cf8>]";William;2_6;False;False;"[[""here's""], ['oh'], ['it'], ['is'], ['the'], ['racket'], ['here']]";ohhereitishere'stheracket;isitthehereohhere'sracket;0.000198412698413;-0.000198432384816
3;[<__main__.Word instance at 0x1071ae248>];William;2_6;False;True;[['kay']];kay;kay;1.0;0.0
4;"[<__main__.Word instance at 0x1071ae3f8>
 <__main__.Word instance at 0x1071ae518>
 <__main__.Word instance at 0x1071ae5f0>]";William;2_6;False;False;"[['it'], ['go'], [""where'd""]]";where'ditgo;itgowhere'd;0.166666666667;-0.182321556794
5;[<__main__.Word instance at 0x1071ae7e8>];William;2_6;False;True;[['kay']];kay;kay;1.0;0.0
6;"[<__main__.Word instance at 0x1071ae9e0>
 <__main__.Word instance at 0x1071aeb00>]";William;2_6;False;False;[['ready'], ['kay']];kayready;readykay;0.5;-0.69314718056
7;"[<__main__.Word instance at 0x1071aec20>
 <__main__.Word instance at 0x1071aecb0>
 <__main__.Word instance at 0x1071aecf8>]";William;2_6;False;False;[['did'], ['it'], ['I']];Ididit;diditI;0.166666666667;-0.182321556794
8;[<__main__.Word instance at 0x1071aeea8>];William;2_6;True;NaN;NaN;nicely;NaN;NaN;NaN
9;[<__main__.Word instance at 0x1071aef80>];William;2_6;False;True;[['okay']];okay;okay;1.0;0.0
10;[<__main__.Word instance at 0x106fde6c8>];William;2_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
11;[<__main__.Word instance at 0x106fde998>];William;2_6;True;NaN;NaN;whoops;NaN;NaN;NaN
12;"[<__main__.Word instance at 0x106fdec20>
 <__main__.Word instance at 0x106fde878>
 <__main__.Word instance at 0x106fe0a28>]";William;2_6;False;True;"[['do'], ['it'], [""I'll""]]";I'lldoit;I'lldoit;0.166666666667;1.79175946923
13;"[<__main__.Word instance at 0x106fe0c20>
 <__main__.Word instance at 0x106fe0bd8>
 <__main__.Word instance at 0x11421b0e0>]";William;2_6;False;False;[['it'], ['I'], ['do']];Idoit;doitI;0.166666666667;-0.182321556794
14;"[<__main__.Word instance at 0x11421b290>
 <__main__.Word instance at 0x11421b368>]";William;2_6;False;False;[['hit'], ['it']];hitit;ithit;0.5;-0.69314718056
15;"[<__main__.Word instance at 0x11421b440>
 <__main__.Word instance at 0x11421b2d8>
 <__main__.Word instance at 0x11421b518>]";William;2_6;False;False;"[[""c'mon""], ['it'], [""let's""]]";let'sitc'mon;itc'monlet's;0.166666666667;-0.182321556794
16;[<__main__.Word instance at 0x11421b5f0>];William;2_6;False;True;[['no']];no;no;1.0;0.0
17;"[<__main__.Word instance at 0x11421b710>
 <__main__.Word instance at 0x11421b638>]";William;2_6;False;True;[['here'], ['down']];downhere;downhere;0.5;0.69314718056
18;"[<__main__.Word instance at 0x11421b908>
 <__main__.Word instance at 0x11421b7e8>]";William;2_6;True;NaN;NaN;playinggolf;NaN;NaN;NaN
19;[<__main__.Word instance at 0x11421b128>];William;2_6;True;NaN;NaN;whoops;NaN;NaN;NaN
20;"[<__main__.Word instance at 0x11421b170>
 <__main__.Word instance at 0x11421bb48>
 <__main__.Word instance at 0x11421b950>]";William;2_6;True;NaN;NaN;playingtennisracket;NaN;NaN;NaN
21;"[<__main__.Word instance at 0x11421b8c0>
 <__main__.Word instance at 0x11421bcf8>]";William;2_6;True;NaN;NaN;playtennis;NaN;NaN;NaN
22;[<__main__.Word instance at 0x11421bdd0>];William;2_6;True;NaN;NaN;uhoh;NaN;NaN;NaN
23;"[<__main__.Word instance at 0x11421bfc8>
 <__main__.Word instance at 0x11421bea8>
 <__main__.Word instance at 0x11421b560>]";William;2_6;True;NaN;NaN;I'mplayingtennis;NaN;NaN;NaN
24;[<__main__.Word instance at 0x11421ba28>];William;2_6;True;NaN;NaN;oops;NaN;NaN;NaN
25;[<__main__.Word instance at 0x11421e0e0>];William;2_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
26;[<__main__.Word instance at 0x11421e248>];William;2_6;True;NaN;NaN;boot;NaN;NaN;NaN
27;[<__main__.Word instance at 0x11421e320>];William;2_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
28;"[<__main__.Word instance at 0x11421e3b0>
 <__main__.Word instance at 0x11421e5f0>
 <__main__.Word instance at 0x11421e440>]";William;2_6;True;NaN;NaN;let'splaygolf;NaN;NaN;NaN
29;"[<__main__.Word instance at 0x11421e950>
 <__main__.Word instance at 0x11421e878>
 <__main__.Word instance at 0x11421eb48>]";William;2_6;True;NaN;NaN;let'splaytennis;NaN;NaN;NaN
30;"[<__main__.Word instance at 0x11421ec20>
 <__main__.Word instance at 0x11421e6c8>]";William;2_6;False;False;[['ready'], ['kay']];kayready;readykay;0.5;-0.69314718056
31;[<__main__.Word instance at 0x11421eb90>];William;2_6;False;True;[['ready']];ready;ready;1.0;0.0
32;[<__main__.Word instance at 0x11421e638>];William;2_6;True;NaN;NaN;set;NaN;NaN;NaN
33;[<__main__.Word instance at 0x11421ee18>];William;2_6;False;True;[['go']];go;go;1.0;0.0
34;"[<__main__.Word instance at 0x11421efc8>
 <__main__.Word instance at 0x11421ef38>
 <__main__.Word instance at 0x11421ec68>]";William;2_6;False;False;[['did'], ['it'], ['I']];Ididit;diditI;0.166666666667;-0.182321556794
35;"[<__main__.Word instance at 0x114222170>
 <__main__.Word instance at 0x114222248>
 <__main__.Word instance at 0x1142220e0>]";William;2_6;False;False;[['it'], ['do'], ['wanna']];wannadoit;doitwanna;0.166666666667;-0.182321556794
36;"[<__main__.Word instance at 0x1142221b8>
 <__main__.Word instance at 0x1142224d0>
 <__main__.Word instance at 0x1142223b0>
 <__main__.Word instance at 0x1142225a8>]";William;2_6;False;False;[['wanna'], ['no'], ['do'], ['it']];nowannadoit;doitnowanna;0.0416666666667;-0.0425596144188
37;"[<__main__.Word instance at 0x114222830>
 <__main__.Word instance at 0x1142226c8>
 <__main__.Word instance at 0x114222908>]";William;2_6;False;False;[['on'], ['kay'], ['hold']];kayholdon;holdonkay;0.166666666667;-0.182321556794
38;"[<__main__.Word instance at 0x1142229e0>
 <__main__.Word instance at 0x114222878>
 <__main__.Word instance at 0x114222ab8>]";William;2_6;False;False;"[['go'], [""let's""], ['outside']]";let'sgooutside;gooutsidelet's;0.166666666667;-0.182321556794
39;"[<__main__.Word instance at 0x114222b48>
 <__main__.Word instance at 0x114222a28>
 <__main__.Word instance at 0x114222cf8>]";William;2_6;False;True;[['outside'], ['wanna'], ['go']];wannagooutside;wannagooutside;0.166666666667;1.79175946923
40;"[<__main__.Word instance at 0x114222ef0>
 <__main__.Word instance at 0x114222d88>
 <__main__.Word instance at 0x114222fc8>
 <__main__.Word instance at 0x114222cb0>]";William;2_6;True;NaN;NaN;kayreadygetset;NaN;NaN;NaN
41;[<__main__.Word instance at 0x114222f38>];William;2_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
42;"[<__main__.Word instance at 0x114225248>
 <__main__.Word instance at 0x114225128>
 <__main__.Word instance at 0x114225440>]";William;2_6;True;NaN;NaN;wannaplaytennis;NaN;NaN;NaN
43;"[<__main__.Word instance at 0x114225518>
 <__main__.Word instance at 0x1142255f0>]";William;2_6;True;NaN;NaN;playtennis;NaN;NaN;NaN
44;[<__main__.Word instance at 0x1142256c8>];William;2_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
45;"[<__main__.Word instance at 0x114225878>
 <__main__.Word instance at 0x114225710>]";William;2_6;False;False;[['ready'], ['kay']];kayready;readykay;0.5;-0.69314718056
46;[<__main__.Word instance at 0x114225560>];William;2_6;True;NaN;NaN;whoops;NaN;NaN;NaN
47;"[<__main__.Word instance at 0x114225638>
 <__main__.Word instance at 0x114225bd8>
 <__main__.Word instance at 0x114225830>
 <__main__.Word instance at 0x114225cb0>]";William;2_6;True;NaN;NaN;whoopsImeantto;NaN;NaN;NaN
48;"[<__main__.Word instance at 0x114225d40>
 <__main__.Word instance at 0x114225c20>
 <__main__.Word instance at 0x114225f38>]";William;2_6;False;False;[['it'], ['I'], ['get']];Igetit;getitI;0.166666666667;-0.182321556794
49;"[<__main__.Word instance at 0x114225fc8>
 <__main__.Word instance at 0x114225998>
 <__main__.Word instance at 0x114225ab8>]";William;2_6;False;False;[['the'], ['here'], ['ball']];heretheball;theballhere;0.166666666667;-0.182321556794
50;[<__main__.Word instance at 0x1142280e0>];William;2_6;False;True;[['okay']];okay;okay;1.0;0.0
