num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x123d30a70>
 <__main__.Word instance at 0x123d30bd8>
 <__main__.Word instance at 0x123d30c68>
 <__main__.Word instance at 0x123d30dd0>
 <__main__.Word instance at 0x123d30ef0>
 <__main__.Word instance at 0x110d3a560>
 <__main__.Word instance at 0x110d3aa70>
 <__main__.Word instance at 0x110d3a7a0>
 <__main__.Word instance at 0x110d3acf8>
 <__main__.Word instance at 0x110d3aa28>
 <__main__.Word instance at 0x110d3a758>]";Lily;2_6;False;False;[['this'], ['you'], ['&-um'], ['&-um'], ['&-um'], ['this'], ['the', 'water'], ['eat'], ['the'], ['was']];youeatthisthis&-umwas&-umthe&-umthewater;youeatthe&-umthiswasthis&-um&-umthewater;2.7557319224e-07;-2.75573230236e-07
1;"[<__main__.Word instance at 0x110d3a5a8>
 <__main__.Word instance at 0x110d3a8c0>
 <__main__.Word instance at 0x110d3af80>
 <__main__.Word instance at 0x110d3a4d0>
 <__main__.Word instance at 0x110d3a488>]";Lily;2_6;False;False;[['I', 'will'], ['eat'], ['this'], ['and']];andIwilleatthis;thisandeatIwill;0.0416666666667;-0.0425596144188
2;"[<__main__.Word instance at 0x110ba1a28>
 <__main__.Word instance at 0x110ba16c8>]";Lily;2_6;False;True;[['all'], ['set']];allset;allset;0.5;0.69314718056
3;[<__main__.Word instance at 0x110ba1878>];Lily;2_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
4;"[<__main__.Word instance at 0x110ba1c20>
 <__main__.Word instance at 0x110ba1908>
 <__main__.Word instance at 0x110ba3a28>]";Lily;2_6;False;False;[['is'], ['who'], ['that']];whoisthat;thatiswho;0.166666666667;-0.182321556794
5;[<__main__.Word instance at 0x110ba3c20>];Lily;2_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
6;"[<__main__.Word instance at 0x123d36128>
 <__main__.Word instance at 0x123d361b8>
 <__main__.Word instance at 0x123d36248>
 <__main__.Word instance at 0x123d36290>]";Lily;2_6;False;False;[['him'], ['we'], ['must'], ['on']];wemustonhim;wemusthimon;0.0416666666667;-0.0425596144188
7;"[<__main__.Word instance at 0x123d364d0>
 <__main__.Word instance at 0x123d36560>
 <__main__.Word instance at 0x123d365a8>
 <__main__.Word instance at 0x123d36638>
 <__main__.Word instance at 0x123d367a0>
 <__main__.Word instance at 0x123d36830>
 <__main__.Word instance at 0x123d368c0>
 <__main__.Word instance at 0x123d36950>
 <__main__.Word instance at 0x123d369e0>
 <__main__.Word instance at 0x123d36a28>]";Lily;2_6;False;False;[['Lottie'], ['Lottie'], ['into'], ['bed'], ['her'], ['he'], ['and'], ['he'], ['killed'], ['kill']];hekillLottieandhekilledLottieintoherbed;herbedandheheLottieLottiekilledintokill;2.7557319224e-07;-2.75573230236e-07
8;"[<__main__.Word instance at 0x123d36cf8>
 <__main__.Word instance at 0x123d36b90>
 <__main__.Word instance at 0x123d36dd0>
 <__main__.Word instance at 0x123d36f80>
 <__main__.Word instance at 0x123d36e60>]";Lily;2_6;False;False;"[['and'], ['yeah'], [""that's""], [""Nemo's""], ['bed']]";yeahandthat'sNemo'sbed;that'sNemo'sandbedyeah;0.00833333333333;-0.00836824967052
9;"[<__main__.Word instance at 0x123d36d88>
 <__main__.Word instance at 0x123d36cb0>
 <__main__.Word instance at 0x123d3a098>]";Lily;2_6;False;True;[['here'], ['it'], ['is']];hereitis;hereitis;0.166666666667;1.79175946923
10;"[<__main__.Word instance at 0x123d3a2d8>
 <__main__.Word instance at 0x123d3a5a8>
 <__main__.Word instance at 0x123d3a488>
 <__main__.Word instance at 0x123d3a7a0>
 <__main__.Word instance at 0x123d3a518>]";Lily;2_6;False;False;"[['one'], [""here's""], [""fish's""], ['the'], ['and']]";andhere'sthefish'sone;thefish'sandhere'sone;0.00833333333333;-0.00836824967052
11;"[<__main__.Word instance at 0x123d3a368>
 <__main__.Word instance at 0x123d3a908>
 <__main__.Word instance at 0x123d3a5f0>
 <__main__.Word instance at 0x123d3a878>]";Lily;2_6;False;False;"[['you'], [""here's""], ['one'], ['for']]";here'soneforyou;youforonehere's;0.0416666666667;-0.0425596144188
12;"[<__main__.Word instance at 0x123d3abd8>
 <__main__.Word instance at 0x123d3a998>
 <__main__.Word instance at 0x123d3ac68>
 <__main__.Word instance at 0x123d3ab48>
 <__main__.Word instance at 0x123d3ad40>
 <__main__.Word instance at 0x123d3aab8>
 <__main__.Word instance at 0x123d3ae18>
 <__main__.Word instance at 0x123d3acb0>
 <__main__.Word instance at 0x123d3aef0>
 <__main__.Word instance at 0x123d3ad88>]";Lily;2_6;False;False;"[['is'], ['this'], ['this'], ['me'], ['and'], ['for'], ['is'], [""that's""], ['for'], ['you']]";thisisforyouandthat'sthisisforme;youthisisthisisformeandthat'sfor;2.7557319224e-07;-2.75573230236e-07
13;"[<__main__.Word instance at 0x123d3ae60>
 <__main__.Word instance at 0x123d3aa28>]";Lily;2_6;False;True;[['mm'], ['mm']];mmmm;mmmm;0.5;0.69314718056
14;[<__main__.Word instance at 0x123d3a680>];Lily;2_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
15;"[<__main__.Word instance at 0x123d3d248>
 <__main__.Word instance at 0x123d3d128>]";Lily;2_6;False;True;"[[""it's""], ['cool']]";it'scool;it'scool;0.5;0.69314718056
16;[<__main__.Word instance at 0x123d3d3b0>];Lily;2_6;False;True;[['and']];and;and;1.0;0.0
17;"[<__main__.Word instance at 0x123d3d5f0>
 <__main__.Word instance at 0x123d3d4d0>]";Lily;2_6;False;False;"[['tomato'], [""it's""]]";it'stomato;tomatoit's;0.5;-0.69314718056
18;"[<__main__.Word instance at 0x123d3d710>
 <__main__.Word instance at 0x123d3d8c0>
 <__main__.Word instance at 0x123d3d998>
 <__main__.Word instance at 0x123d3d830>]";Lily;2_6;False;False;[['this'], ['is'], ['for'], ['you']];thisisforyou;youthisisfor;0.0416666666667;-0.0425596144188
19;"[<__main__.Word instance at 0x123d3d908>
 <__main__.Word instance at 0x123d3db48>
 <__main__.Word instance at 0x123d3d5a8>]";Lily;2_6;False;True;[['for'], ['this'], ['is']];thisisfor;thisisfor;0.166666666667;1.79175946923
20;"[<__main__.Word instance at 0x123d3d9e0>
 <__main__.Word instance at 0x123d3dcb0>
 <__main__.Word instance at 0x123d3d6c8>
 <__main__.Word instance at 0x123d3dd88>
 <__main__.Word instance at 0x123d3db90>]";Lily;2_6;False;False;"[[""it's""], ['flutes'], ['I', 'think'], ['and']]";it'sflutesIthinkand;Ithinkit'sandflutes;0.0416666666667;-0.0425596144188
21;"[<__main__.Word instance at 0x123d3de60>
 <__main__.Word instance at 0x123d3d0e0>
 <__main__.Word instance at 0x123d3df80>
 <__main__.Word instance at 0x123d3dab8>
 <__main__.Word instance at 0x123d410e0>
 <__main__.Word instance at 0x123d411b8>
 <__main__.Word instance at 0x123d41050>
 <__main__.Word instance at 0x123d41248>
 <__main__.Word instance at 0x123d41128>
 <__main__.Word instance at 0x123d41440>
 <__main__.Word instance at 0x123d412d8>
 <__main__.Word instance at 0x123d41518>
 <__main__.Word instance at 0x123d41680>
 <__main__.Word instance at 0x123d415f0>
 <__main__.Word instance at 0x123d417e8>]";Lily;2_6;False;False;[['want'], ['to'], ['teapot'], ['&-uh'], ['&-um'], ['broke'], ['&-um'], ['&-uh'], ['cause'], ['cause'], ['my'], ['yes'], ['I'], ['pieces'], ['I']];yescauseIwant&-umcauseIbroke&-ummy&-uhteapotto&-uhpieces;my&-umcauseIwantto&-uh&-uhyesI&-umcausepiecesbroketeapot;7.64716373182e-13;-7.64721619362e-13
22;"[<__main__.Word instance at 0x123d41878>
 <__main__.Word instance at 0x123d41758>
 <__main__.Word instance at 0x123d41950>
 <__main__.Word instance at 0x123d41560>
 <__main__.Word instance at 0x123d41a28>
 <__main__.Word instance at 0x123d418c0>
 <__main__.Word instance at 0x123d41b00>]";Lily;2_6;False;False;[['and'], ['broke'], ['the', 'plate'], ['and', 'then'], ['&-uh']];andthentheplatebrokeand&-uh;&-uhandandthenbroketheplate;0.00833333333333;-0.00836824967052
