num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x11cd27c20>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
1;[<__main__.Word instance at 0x11cd27dd0>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
2;[<__main__.Word instance at 0x11cd27fc8>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
3;[<__main__.Word instance at 0x10f855560>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
4;[<__main__.Word instance at 0x10f8557a0>];Violet;1_6;False;True;[['this']];this;this;1.0;0.0
5;[<__main__.Word instance at 0x10f855a28>];Violet;1_6;False;True;[['baby']];baby;baby;1.0;0.0
6;[<__main__.Word instance at 0x10f8558c0>];Violet;1_6;False;True;[['by']];by;by;1.0;0.0
7;[<__main__.Word instance at 0x10f855680>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
8;[<__main__.Word instance at 0x10f8554d0>];Violet;1_6;False;True;[['spank']];spank;spank;1.0;0.0
9;[<__main__.Word instance at 0x10f8553f8>];Violet;1_6;False;True;[['spank']];spank;spank;1.0;0.0
10;[<__main__.Word instance at 0x10f855f80>];Violet;1_6;False;True;[['spank']];spank;spank;1.0;0.0
11;[<__main__.Word instance at 0x10f6bc5a8>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
12;[<__main__.Word instance at 0x10f6bc908>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
13;[<__main__.Word instance at 0x10f6bc878>];Violet;1_6;False;True;[['no']];no;no;1.0;0.0
14;[<__main__.Word instance at 0x10f6bcb48>];Violet;1_6;False;True;[['no']];no;no;1.0;0.0
15;[<__main__.Word instance at 0x11cd2d128>];Violet;1_6;False;True;[['no']];no;no;1.0;0.0
16;[<__main__.Word instance at 0x11cd2d248>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
17;[<__main__.Word instance at 0x11cd2d368>];Violet;1_6;False;True;[['hi']];hi;hi;1.0;0.0
18;"[<__main__.Word instance at 0x11cd2d488>
 <__main__.Word instance at 0x11cd2d518>]";Violet;1_6;False;True;"[[""daddy's""], ['guitar']]";daddy'sguitar;daddy'sguitar;0.5;0.69314718056
19;[<__main__.Word instance at 0x11cd2d638>];Violet;1_6;False;True;[['butterfly']];butterfly;butterfly;1.0;0.0
20;[<__main__.Word instance at 0x11cd2d758>];Violet;1_6;False;True;[['piggy']];piggy;piggy;1.0;0.0
21;[<__main__.Word instance at 0x11cd2d878>];Violet;1_6;False;True;[['neck']];neck;neck;1.0;0.0
22;[<__main__.Word instance at 0x11cd2d950>];Violet;1_6;False;True;[['duck']];duck;duck;1.0;0.0
23;[<__main__.Word instance at 0x11cd2db00>];Violet;1_6;False;True;[['duck']];duck;duck;1.0;0.0
24;[<__main__.Word instance at 0x11cd2dc20>];Violet;1_6;False;True;[['duck']];duck;duck;1.0;0.0
25;[<__main__.Word instance at 0x11cd2dd88>];Violet;1_6;False;True;[['duck']];duck;duck;1.0;0.0
26;[<__main__.Word instance at 0x11cd2df38>];Violet;1_6;False;True;[['duck']];duck;duck;1.0;0.0
27;[<__main__.Word instance at 0x11cd2dcf8>];Violet;1_6;False;True;[['piggy']];piggy;piggy;1.0;0.0
28;[<__main__.Word instance at 0x10f6bec68>];Violet;1_6;False;True;[['Violet']];Violet;Violet;1.0;0.0
29;[<__main__.Word instance at 0x10f6bec20>];Violet;1_6;False;True;[['doggy']];doggy;doggy;1.0;0.0
30;[<__main__.Word instance at 0x10f6beab8>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
31;[<__main__.Word instance at 0x11cd32128>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
32;[<__main__.Word instance at 0x11cd32098>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
33;[<__main__.Word instance at 0x11cd32290>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
34;[<__main__.Word instance at 0x11cd32560>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
35;[<__main__.Word instance at 0x11cd327a0>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
36;[<__main__.Word instance at 0x11cd32830>];Violet;1_6;False;True;[['this']];this;this;1.0;0.0
37;[<__main__.Word instance at 0x11cd32908>];Violet;1_6;False;True;[['this']];this;this;1.0;0.0
38;[<__main__.Word instance at 0x11cd32998>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
39;[<__main__.Word instance at 0x11cd32b48>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
40;[<__main__.Word instance at 0x11cd32c20>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
41;[<__main__.Word instance at 0x11cd32d88>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
42;[<__main__.Word instance at 0x11cd32e60>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
43;[<__main__.Word instance at 0x11cd32f38>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
44;[<__main__.Word instance at 0x11cd32ea8>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
45;[<__main__.Word instance at 0x11cd32b00>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
46;[<__main__.Word instance at 0x11cd35128>];Violet;1_6;False;True;[['there']];there;there;1.0;0.0
