num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x10ef3c6c8>];Alex;1_6;False;True;[['tree']];tree;tree;1.0;0.0
1;[<__main__.Word instance at 0x10ef3cc20>];Alex;1_6;False;True;[['tree']];tree;tree;1.0;0.0
2;[<__main__.Word instance at 0x10ef3ec20>];Alex;1_6;False;True;[['ball']];ball;ball;1.0;0.0
3;[<__main__.Word instance at 0x10f10c1b8>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
4;[<__main__.Word instance at 0x10f10c368>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
5;[<__main__.Word instance at 0x10f10c5a8>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
6;[<__main__.Word instance at 0x10f10c7e8>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
7;[<__main__.Word instance at 0x10f10c998>];Alex;1_6;False;True;[['&']];&;&;1.0;0.0
8;[<__main__.Word instance at 0x10f10cbd8>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
9;[<__main__.Word instance at 0x10f10ce18>];Alex;1_6;False;True;[['water']];water;water;1.0;0.0
10;[<__main__.Word instance at 0x10f10cfc8>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
11;[<__main__.Word instance at 0x10f0d5a70>];Alex;1_6;False;True;[['wow']];wow;wow;1.0;0.0
12;[<__main__.Word instance at 0x10f0d5cf8>];Alex;1_6;False;True;[['bat']];bat;bat;1.0;0.0
13;[<__main__.Word instance at 0x10f0d5758>];Alex;1_6;False;True;[['bat']];bat;bat;1.0;0.0
14;[<__main__.Word instance at 0x10f0d5518>];Alex;1_6;False;True;[['bat']];bat;bat;1.0;0.0
15;[<__main__.Word instance at 0x10f0d53f8>];Alex;1_6;False;True;[['bat']];bat;bat;1.0;0.0
16;[<__main__.Word instance at 0x11bda7170>];Alex;1_6;False;True;[['one']];one;one;1.0;0.0
17;[<__main__.Word instance at 0x11bda7200>];Alex;1_6;False;True;[['octopus']];octopus;octopus;1.0;0.0
18;[<__main__.Word instance at 0x11bda73f8>];Alex;1_6;False;True;[['octopus']];octopus;octopus;1.0;0.0
19;[<__main__.Word instance at 0x11bda75a8>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
20;[<__main__.Word instance at 0x11bda76c8>];Alex;1_6;False;True;[['boot']];boot;boot;1.0;0.0
21;[<__main__.Word instance at 0x11bda7638>];Alex;1_6;False;True;[['b']];b;b;1.0;0.0
22;[<__main__.Word instance at 0x11bda7518>];Alex;1_6;False;True;[['b']];b;b;1.0;0.0
23;[<__main__.Word instance at 0x11bda7908>];Alex;1_6;False;True;[['two']];two;two;1.0;0.0
24;[<__main__.Word instance at 0x11bda79e0>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
25;[<__main__.Word instance at 0x11bda7bd8>];Alex;1_6;False;True;[['boot']];boot;boot;1.0;0.0
26;"[<__main__.Word instance at 0x11bda75f0>
 <__main__.Word instance at 0x11bda7ea8>]";Alex;1_6;False;True;[['a'], ['tree']];atree;atree;0.5;0.69314718056
27;[<__main__.Word instance at 0x11bda7e18>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
28;[<__main__.Word instance at 0x11bdaa098>];Alex;1_6;False;True;[['&']];&;&;1.0;0.0
29;[<__main__.Word instance at 0x11bdaa0e0>];Alex;1_6;False;True;[['ice']];ice;ice;1.0;0.0
30;"[<__main__.Word instance at 0x11bdaa290>
 <__main__.Word instance at 0x11bdaa560>]";Alex;1_6;False;True;[['Mama'], ['Mama']];MamaMama;MamaMama;0.5;0.69314718056
31;[<__main__.Word instance at 0x11bdaa710>];Alex;1_6;False;True;[['two']];two;two;1.0;0.0
32;[<__main__.Word instance at 0x11bdaa7e8>];Alex;1_6;False;True;[['three']];three;three;1.0;0.0
33;[<__main__.Word instance at 0x11bdaa8c0>];Alex;1_6;False;True;[['three']];three;three;1.0;0.0
34;[<__main__.Word instance at 0x11bdaa998>];Alex;1_6;False;True;[['three']];three;three;1.0;0.0
35;[<__main__.Word instance at 0x11bdaaa70>];Alex;1_6;False;True;[['two']];two;two;1.0;0.0
36;[<__main__.Word instance at 0x11bdaab48>];Alex;1_6;False;True;[['two']];two;two;1.0;0.0
37;[<__main__.Word instance at 0x11bdaabd8>];Alex;1_6;False;True;[['no']];no;no;1.0;0.0
38;[<__main__.Word instance at 0x11bdaacb0>];Alex;1_6;False;True;[['two']];two;two;1.0;0.0
39;"[<__main__.Word instance at 0x11bdaaea8>
 <__main__.Word instance at 0x11bdaad40>]";Alex;1_6;False;True;[['two'], ['two']];twotwo;twotwo;0.5;0.69314718056
40;[<__main__.Word instance at 0x11bdaa9e0>];Alex;1_6;False;True;[['two']];two;two;1.0;0.0
41;[<__main__.Word instance at 0x11bdaae60>];Alex;1_6;False;True;[['wow']];wow;wow;1.0;0.0
42;[<__main__.Word instance at 0x11bdaaf38>];Alex;1_6;False;True;[['wow']];wow;wow;1.0;0.0
43;[<__main__.Word instance at 0x11bdad170>];Alex;1_6;False;True;[['wow']];wow;wow;1.0;0.0
44;[<__main__.Word instance at 0x11bdad200>];Alex;1_6;False;True;[['uhoh']];uhoh;uhoh;1.0;0.0
45;[<__main__.Word instance at 0x11bdad368>];Alex;1_6;False;True;[['slow']];slow;slow;1.0;0.0
46;"[<__main__.Word instance at 0x11bdad0e0>
 <__main__.Word instance at 0x11bdad5f0>]";Alex;1_6;False;True;[['tree'], ['a']];atree;atree;0.5;0.69314718056
47;[<__main__.Word instance at 0x11bdad710>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
48;[<__main__.Word instance at 0x11bdad7a0>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
49;[<__main__.Word instance at 0x11bdad998>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
50;[<__main__.Word instance at 0x11bdada28>];Alex;1_6;False;True;[['pop']];pop;pop;1.0;0.0
51;[<__main__.Word instance at 0x11bdadc20>];Alex;1_6;False;True;[['pop']];pop;pop;1.0;0.0
52;[<__main__.Word instance at 0x11bdadcb0>];Alex;1_6;False;True;[['wee']];wee;wee;1.0;0.0
53;[<__main__.Word instance at 0x11bdade60>];Alex;1_6;False;True;[['tree']];tree;tree;1.0;0.0
