num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x10e0f1cf8>];Ethan;1_0;False;True;[['up']];up;up;1.0;0.0
1;[<__main__.Word instance at 0x10e0fd908>];Ethan;1_0;False;True;[['button']];button;button;1.0;0.0
2;"[<__main__.Word instance at 0x10e0fd368>
 <__main__.Word instance at 0x10e0fdc20>]";Ethan;1_0;False;True;[['cow'], ['ha']];hacow;hacow;0.5;0.69314718056
3;"[<__main__.Word instance at 0x10e0ff9e0>
 <__main__.Word instance at 0x10e0ffc20>]";Ethan;1_0;False;True;[['quack'], ['quack']];quackquack;quackquack;0.5;0.69314718056
4;[<__main__.Word instance at 0x10e0ffbd8>];Ethan;1_0;False;True;[['cow']];cow;cow;1.0;0.0
5;[<__main__.Word instance at 0x10e296a70>];Ethan;1_0;False;True;[['bubbles']];bubbles;bubbles;1.0;0.0
6;[<__main__.Word instance at 0x10e296cf8>];Ethan;1_0;False;True;[['bubble']];bubble;bubble;1.0;0.0
7;[<__main__.Word instance at 0x10e296758>];Ethan;1_0;False;True;[['bubbles']];bubbles;bubbles;1.0;0.0
8;[<__main__.Word instance at 0x10e2cd098>];Ethan;1_0;False;True;[['mom']];mom;mom;1.0;0.0
9;[<__main__.Word instance at 0x10e2cd290>];Ethan;1_0;False;True;[['block']];block;block;1.0;0.0
10;[<__main__.Word instance at 0x10e2cd4d0>];Ethan;1_0;False;True;[['bah']];bah;bah;1.0;0.0
11;[<__main__.Word instance at 0x10e2cd8c0>];Ethan;1_0;False;True;[['bus']];bus;bus;1.0;0.0
12;"[<__main__.Word instance at 0x10e2cda28>
 <__main__.Word instance at 0x10e2cdb00>]";Ethan;1_0;False;True;[['ball'], ['ball']];ballball;ballball;0.5;0.69314718056
13;[<__main__.Word instance at 0x10e2cdcf8>];Ethan;1_0;False;True;[['balloon']];balloon;balloon;1.0;0.0
14;[<__main__.Word instance at 0x10e2cde18>];Ethan;1_0;False;True;[['daddy']];daddy;daddy;1.0;0.0
15;[<__main__.Word instance at 0x10e2cdea8>];Ethan;1_0;False;True;[['&']];&;&;1.0;0.0
16;[<__main__.Word instance at 0x11b26b0e0>];Ethan;1_0;False;True;[['baby']];baby;baby;1.0;0.0
17;[<__main__.Word instance at 0x11b26b290>];Ethan;1_0;False;True;[['ball']];ball;ball;1.0;0.0
18;[<__main__.Word instance at 0x11b26b3f8>];Ethan;1_0;False;True;[['baby']];baby;baby;1.0;0.0
19;[<__main__.Word instance at 0x11b26b5a8>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
20;[<__main__.Word instance at 0x11b26b758>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
21;[<__main__.Word instance at 0x11b26b7e8>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
22;[<__main__.Word instance at 0x11b26b908>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
23;[<__main__.Word instance at 0x11b26bd40>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
24;[<__main__.Word instance at 0x11b26ba70>];Ethan;1_0;False;True;[['sticky']];sticky;sticky;1.0;0.0
