,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x103deccf8>],Lily,1_6,False,True,[['&']],&,&,1.0,False,-0.0
1,1,[<__main__.Word instance at 0x103df8998>],Lily,1_6,False,True,[['&']],&,&,1.0,False,-0.0
2,2,[<__main__.Word instance at 0x103df8b00>],Lily,1_6,False,True,[['&muah']],&muah,&muah,1.0,False,-0.0
3,3,[<__main__.Word instance at 0x111154098>],Lily,1_6,False,True,[['&']],&,&,1.0,False,-0.0
4,4,[<__main__.Word instance at 0x111154248>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
5,5,[<__main__.Word instance at 0x1111543f8>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
6,6,[<__main__.Word instance at 0x111154680>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
7,7,[<__main__.Word instance at 0x1111547e8>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
8,8,[<__main__.Word instance at 0x111154950>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
9,9,[<__main__.Word instance at 0x111154ab8>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
10,10,[<__main__.Word instance at 0x111154c68>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
11,11,[<__main__.Word instance at 0x111154e18>],Lily,1_6,False,True,[['mommy']],mommy,mommy,1.0,False,-0.0
12,12,[<__main__.Word instance at 0x111154f80>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
13,13,[<__main__.Word instance at 0x111154fc8>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
14,14,[<__main__.Word instance at 0x103f91a70>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
15,15,[<__main__.Word instance at 0x103f91cf8>],Lily,1_6,False,True,[['mommy']],mommy,mommy,1.0,False,-0.0
16,16,[<__main__.Word instance at 0x103f91908>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
17,17,[<__main__.Word instance at 0x103f914d0>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
18,18,[<__main__.Word instance at 0x103f91488>],Lily,1_6,False,True,[['mommy']],mommy,mommy,1.0,False,-0.0
19,19,[<__main__.Word instance at 0x103f915a8>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
20,20,[<__main__.Word instance at 0x103dfac68>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
21,21,[<__main__.Word instance at 0x103dfac20>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
22,22,[<__main__.Word instance at 0x11115a098>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
23,23,[<__main__.Word instance at 0x11115a248>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
24,24,[<__main__.Word instance at 0x11115a320>],Lily,1_6,False,True,[['dirty']],dirty,dirty,1.0,False,-0.0
25,25,[<__main__.Word instance at 0x11115a290>],Lily,1_6,False,True,[['&']],&,&,1.0,False,-0.0
26,26,[<__main__.Word instance at 0x11115a5a8>],Lily,1_6,False,True,[['&muah']],&muah,&muah,1.0,False,-0.0
27,27,[<__main__.Word instance at 0x11115a680>],Lily,1_6,False,True,[['duckie']],duckie,duckie,1.0,False,-0.0
28,28,[<__main__.Word instance at 0x11115a5f0>],Lily,1_6,False,True,[['no']],no,no,1.0,False,-0.0
29,29,[<__main__.Word instance at 0x11115a488>],Lily,1_6,False,True,[['&']],&,&,1.0,False,-0.0
30,30,[<__main__.Word instance at 0x11115a7a0>],Lily,1_6,False,True,[['blah']],blah,blah,1.0,False,-0.0
31,31,[<__main__.Word instance at 0x11115a6c8>],Lily,1_6,False,True,[['mommy']],mommy,mommy,1.0,False,-0.0
32,32,[<__main__.Word instance at 0x11115a710>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
33,33,[<__main__.Word instance at 0x11115ab00>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
34,34,[<__main__.Word instance at 0x11115ac20>],Lily,1_6,False,True,[['daddy']],daddy,daddy,1.0,False,-0.0
35,35,[<__main__.Word instance at 0x11115a878>],Lily,1_6,False,True,[['woofy']],woofy,woofy,1.0,False,-0.0
36,36,[<__main__.Word instance at 0x11115a950>],Lily,1_6,False,True,[['woofy']],woofy,woofy,1.0,False,-0.0
37,37,[<__main__.Word instance at 0x11115acb0>],Lily,1_6,False,True,[['woof']],woof,woof,1.0,False,-0.0
38,38,[<__main__.Word instance at 0x11115ae60>],Lily,1_6,False,True,[['blah']],blah,blah,1.0,False,-0.0
39,39,[<__main__.Word instance at 0x11115d0e0>],Lily,1_6,False,True,[['blah']],blah,blah,1.0,False,-0.0
