,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x117898320>
 <__main__.Word instance at 0x1178983b0>]",Naima,3_0,False,False,"[['push'], ['oh']]",ohpush,pushoh,0.5,False,-0.6931471805599453
1,1,"[<__main__.Word instance at 0x1178985a8>
 <__main__.Word instance at 0x1178986c8>
 <__main__.Word instance at 0x117898758>
 <__main__.Word instance at 0x1178987e8>
 <__main__.Word instance at 0x117898878>]",Naima,3_0,False,False,"[['all'], ['all'], [""that's""], [""that's""], [""that's""]]",that'sthat'sallthat'sall,allthat'sallthat'sthat's,0.1,True,-0.10536051565782628
2,2,"[<__main__.Word instance at 0x117898998>
 <__main__.Word instance at 0x117898a28>
 <__main__.Word instance at 0x117898ab8>
 <__main__.Word instance at 0x1178988c0>
 <__main__.Word instance at 0x117898c20>
 <__main__.Word instance at 0x117898cb0>
 <__main__.Word instance at 0x117898d40>
 <__main__.Word instance at 0x117898dd0>
 <__main__.Word instance at 0x117898e60>]",Naima,3_0,False,False,"[['because'], ['I'], ['got'], ['animals'], ['of'], [""that's""], ['the', 'farm'], ['all']]",that'sallofthefarmanimalsbecauseIgot,becauseofallIgotthat'sanimalsthefarm,2.48015873016e-05,False,-2.48018948660112e-05
3,3,[<__main__.Word instance at 0x117898fc8>],Naima,3_0,False,True,[['why']],why,why,1.0,False,-0.0
4,4,[<__main__.Word instance at 0x10a8616c8>],Naima,3_0,False,True,[['yes']],yes,yes,1.0,False,-0.0
5,5,"[<__main__.Word instance at 0x10a861998>
 <__main__.Word instance at 0x10a861878>
 <__main__.Word instance at 0x10a861c20>
 <__main__.Word instance at 0x10a861908>
 <__main__.Word instance at 0x10a855cf8>
 <__main__.Word instance at 0x10a863ab8>
 <__main__.Word instance at 0x10a863c68>]",Naima,3_0,False,False,"[['able'], ['into'], ['go'], ['be'], ['to'], ['gonna'], [""Daddy's""]]",Daddy'sgonnabeabletogointo,gointogonnabetoDaddy'sable,0.000198412698413,False,-0.0001984323848162081
6,6,"[<__main__.Word instance at 0x10a863c20>
 <__main__.Word instance at 0x10a863bd8>
 <__main__.Word instance at 0x10a863a28>
 <__main__.Word instance at 0x10a9fa560>
 <__main__.Word instance at 0x10a9faa70>]",Naima,3_0,False,False,"[['patients'], ['get'], ['the'], ['in'], ['that']]",getthatpatientsinthe,thatinthepatientsget,0.00833333333333,False,-0.00836824967051658
7,7,"[<__main__.Word instance at 0x10a9facf8>
 <__main__.Word instance at 0x10a9faa28>]",Naima,3_0,False,True,"[['and'], ['make']]",andmake,andmake,0.5,False,0.6931471805599453
8,8,"[<__main__.Word instance at 0x10a9fa710>
 <__main__.Word instance at 0x10a9fa5a8>
 <__main__.Word instance at 0x10a9fa8c0>
 <__main__.Word instance at 0x10a9faf80>
 <__main__.Word instance at 0x10a9fa9e0>
 <__main__.Word instance at 0x10a9fa518>
 <__main__.Word instance at 0x10a9fa4d0>
 <__main__.Word instance at 0x10a9fa488>]",Naima,3_0,False,False,"[['on'], ['to'], ['exercise'], ['there'], ['and'], ['you'], ['have_to'], ['patients']]",andyouhave_topatientstoexerciseonthere,andyouhave_toontheretopatientsexercise,2.48015873016e-05,False,-2.48018948660112e-05
9,9,"[<__main__.Word instance at 0x10a9fa680>
 <__main__.Word instance at 0x11789e098>
 <__main__.Word instance at 0x11789e128>
 <__main__.Word instance at 0x11789e1b8>
 <__main__.Word instance at 0x11789e248>]",Naima,3_0,False,False,"[['be'], ['he'], ['to'], ['able'], ['will']]",hewillbeableto,hewillabletobe,0.00833333333333,False,-0.00836824967051658
10,10,"[<__main__.Word instance at 0x11789e368>
 <__main__.Word instance at 0x11789e3f8>
 <__main__.Word instance at 0x11789e5f0>]",Naima,3_0,False,False,"[['and'], ['both'], ['have_to']]",andhave_toboth,andbothhave_to,0.166666666667,False,-0.1823215567939546
11,11,"[<__main__.Word instance at 0x11789e680>
 <__main__.Word instance at 0x11789e878>
 <__main__.Word instance at 0x11789e710>
 <__main__.Word instance at 0x11789e950>
 <__main__.Word instance at 0x11789ea28>
 <__main__.Word instance at 0x11789e8c0>
 <__main__.Word instance at 0x11789eab8>
 <__main__.Word instance at 0x11789e998>
 <__main__.Word instance at 0x11789ecb0>
 <__main__.Word instance at 0x11789eb48>]",Naima,3_0,False,False,"[['has'], ['doctor'], ['the'], ['and'], ['nurse'], ['be'], ['have_to'], ['to'], ['be'], ['there']]",hastobetherethenurseandhave_tobedoctor,andthebetheretobedoctorhashave_tonurse,5.5114638448e-07,True,-5.511465364121339e-07
12,12,"[<__main__.Word instance at 0x11789e5a8>
 <__main__.Word instance at 0x11789ef38>
 <__main__.Word instance at 0x11789edd0>
 <__main__.Word instance at 0x11789efc8>
 <__main__.Word instance at 0x11789ec68>
 <__main__.Word instance at 0x11789eef0>
 <__main__.Word instance at 0x11789e830>
 <__main__.Word instance at 0x1178a2200>
 <__main__.Word instance at 0x1178a2098>
 <__main__.Word instance at 0x1178a22d8>
 <__main__.Word instance at 0x1178a23b0>
 <__main__.Word instance at 0x1178a2248>
 <__main__.Word instance at 0x1178a2488>]",Naima,3_0,False,False,"[[""let's""], ['that'], ['here'], ['inside'], ['the'], ['the', 'animals'], ['is'], ['special'], ['water'], ['is'], ['for'], ['pretend']]",let'spretendthatinsidehereisisthespecialwaterfortheanimals,insidepretendwateristhatforthespecialislet'sheretheanimals,4.17535139757e-09,True,-4.175351406678215e-09
13,13,"[<__main__.Word instance at 0x1178a2518>
 <__main__.Word instance at 0x1178a23f8>
 <__main__.Word instance at 0x1178a2830>
 <__main__.Word instance at 0x1178a2710>
 <__main__.Word instance at 0x1178a28c0>]",Naima,3_0,False,False,"[['here'], ['some'], [""there's""], ['bees', 'wax']]",there'ssomebeeswaxhere,herebeeswaxthere'ssome,0.0416666666667,False,-0.04255961441879589
14,14,[<__main__.Word instance at 0x1178a2950>],Naima,3_0,False,True,[['yes']],yes,yes,1.0,False,-0.0
15,15,"[<__main__.Word instance at 0x1178a25a8>
 <__main__.Word instance at 0x1178a2d40>
 <__main__.Word instance at 0x1178a2a70>
 <__main__.Word instance at 0x1178a2d88>
 <__main__.Word instance at 0x1178a2b00>]",Naima,3_0,False,False,"[['bees', 'wax'], ['came'], ['out'], ['some']]",somebeeswaxcameout,someoutbeeswaxcame,0.0416666666667,False,-0.04255961441879589
16,16,[<__main__.Word instance at 0x1178a2b90>],Naima,3_0,False,True,[['yes']],yes,yes,1.0,False,-0.0
17,17,"[<__main__.Word instance at 0x1178a2680>
 <__main__.Word instance at 0x1178a2ef0>
 <__main__.Word instance at 0x1178a2fc8>]",Naima,3_0,False,False,"[['this'], ['soft'], ['is']]",isthissoft,thisissoft,0.166666666667,False,-0.1823215567939546
18,18,"[<__main__.Word instance at 0x1178a5098>
 <__main__.Word instance at 0x1178a5170>
 <__main__.Word instance at 0x1178a5248>
 <__main__.Word instance at 0x1178a50e0>
 <__main__.Word instance at 0x1178a5320>]",Naima,3_0,False,False,"[['a'], ['took'], ['I'], ['it'], ['this']]",Itookathisit,thisaItookit,0.00833333333333,False,-0.00836824967051658
19,19,"[<__main__.Word instance at 0x1178a5290>
 <__main__.Word instance at 0x1178a5560>
 <__main__.Word instance at 0x1178a5440>
 <__main__.Word instance at 0x1178a5710>
 <__main__.Word instance at 0x1178a55f0>
 <__main__.Word instance at 0x1178a5b48>
 <__main__.Word instance at 0x1178a5a28>]",Naima,3_0,False,False,"[['something'], ['out'], ['made'], ['you'], ['it'], ['of'], ['well']]",wellyoumadesomethingoutofit,yousomethingwellitoutofmade,0.000198412698413,False,-0.0001984323848162081
20,20,"[<__main__.Word instance at 0x1178a57a0>
 <__main__.Word instance at 0x1178a5cf8>]",Naima,3_0,False,True,"[[""it's"", 'not']]",it'snot,it'snot,1.0,False,-0.0
