num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x1179edd88>
 <__main__.Word instance at 0x1179edef0>]";Alex;3_0;False;True;[['hey'], ['hey']];heyhey;heyhey;0.5;0.69314718056
1;[<__main__.Word instance at 0x10706b6c8>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
2;[<__main__.Word instance at 0x10706b998>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
3;[<__main__.Word instance at 0x10706bb00>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
4;[<__main__.Word instance at 0x10706dab8>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
5;[<__main__.Word instance at 0x10706dc68>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
6;[<__main__.Word instance at 0x107204a70>];Alex;3_0;False;True;[['broke']];broke;broke;1.0;0.0
7;[<__main__.Word instance at 0x107204cf8>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
8;[<__main__.Word instance at 0x107204758>];Alex;3_0;False;True;[['nope']];nope;nope;1.0;0.0
9;[<__main__.Word instance at 0x107204518>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
10;[<__main__.Word instance at 0x1179f3128>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
11;"[<__main__.Word instance at 0x1179f33f8>
 <__main__.Word instance at 0x1179f3518>]";Alex;3_0;False;True;[['no'], ['no']];nono;nono;0.5;0.69314718056
12;"[<__main__.Word instance at 0x1179f3758>
 <__main__.Word instance at 0x1179f3878>
 <__main__.Word instance at 0x1179f3998>]";Alex;3_0;False;False;[['no'], ['play'], ['me']];nomeplay;playmeno;0.166666666667;-0.182321556794
13;[<__main__.Word instance at 0x1179f3b48>];Alex;3_0;False;True;[['Mommy']];Mommy;Mommy;1.0;0.0
14;"[<__main__.Word instance at 0x1179f3cf8>
 <__main__.Word instance at 0x1179f3e18>
 <__main__.Word instance at 0x1179f3fc8>]";Alex;3_0;False;True;[['Mommy'], ['you'], ['Mommy']];youMommyMommy;youMommyMommy;0.166666666667;1.79175946923
15;"[<__main__.Word instance at 0x1179f3d88>
 <__main__.Word instance at 0x1179f3f80>
 <__main__.Word instance at 0x1179f3e60>]";Alex;3_0;False;True;[['it'], ['break'], ['you']];youbreakit;youbreakit;0.166666666667;1.79175946923
16;"[<__main__.Word instance at 0x1179f91b8>
 <__main__.Word instance at 0x1179f9050>
 <__main__.Word instance at 0x1179f9290>]";Alex;3_0;False;True;[['book'], ['animal'], ['my']];myanimalbook;myanimalbook;0.166666666667;1.79175946923
17;[<__main__.Word instance at 0x1179f9368>];Alex;3_0;False;True;[['hey']];hey;hey;1.0;0.0
18;[<__main__.Word instance at 0x1179f9440>];Alex;3_0;False;True;[['yes']];yes;yes;1.0;0.0
19;"[<__main__.Word instance at 0x1179f93b0>
 <__main__.Word instance at 0x1179f95f0>]";Alex;3_0;False;True;[['this', 'one']];thisone;thisone;1.0;0.0
20;"[<__main__.Word instance at 0x1179f96c8>
 <__main__.Word instance at 0x1179f9560>]";Alex;3_0;False;True;[['this', 'one']];thisone;thisone;1.0;0.0
21;"[<__main__.Word instance at 0x1179f92d8>
 <__main__.Word instance at 0x1179f97e8>
 <__main__.Word instance at 0x1179f9878>
 <__main__.Word instance at 0x1179f9a28>]";Alex;3_0;False;False;[['this', 'one'], ['is'], ['what']];whatthisoneis;iswhatthisone;0.166666666667;-0.182321556794
22;"[<__main__.Word instance at 0x1179f9b00>
 <__main__.Word instance at 0x1179f9bd8>]";Alex;3_0;False;True;[['is'], ['this']];thisis;thisis;0.5;0.69314718056
23;[<__main__.Word instance at 0x1179f9cb0>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
24;"[<__main__.Word instance at 0x1179f9d88>
 <__main__.Word instance at 0x1179f9c20>
 <__main__.Word instance at 0x1179f9e60>]";Alex;3_0;False;False;[['this'], ['Mommy'], ['read']];Mommyreadthis;thisreadMommy;0.166666666667;-0.182321556794
25;[<__main__.Word instance at 0x1179f9f38>];Alex;3_0;False;True;[['no']];no;no;1.0;0.0
26;"[<__main__.Word instance at 0x1179f9ea8>
 <__main__.Word instance at 0x1179f9dd0>
 <__main__.Word instance at 0x1179fc0e0>
 <__main__.Word instance at 0x1179fc2d8>
 <__main__.Word instance at 0x1179fc1b8>]";Alex;3_0;False;False;[['put'], ['no'], ['no'], ['on'], ['this']];nonoputthison;thisonputnono;0.00833333333333;-0.00836824967052
27;"[<__main__.Word instance at 0x1179fc368>
 <__main__.Word instance at 0x1179fc5a8>]";Alex;3_0;False;True;[['hair'], ['my']];myhair;myhair;0.5;0.69314718056
28;"[<__main__.Word instance at 0x1179fc680>
 <__main__.Word instance at 0x1179fc518>
 <__main__.Word instance at 0x1179fc758>]";Alex;3_0;False;True;[['the'], ['grow'], ['chick']];thechickgrow;thechickgrow;0.166666666667;1.79175946923
29;"[<__main__.Word instance at 0x1179fc6c8>
 <__main__.Word instance at 0x1179fc908>]";Alex;3_0;False;True;[['over'], ['there']];overthere;overthere;0.5;0.69314718056
30;"[<__main__.Word instance at 0x1179fc9e0>
 <__main__.Word instance at 0x1179fc878>
 <__main__.Word instance at 0x1179fcab8>
 <__main__.Word instance at 0x1179fc950>]";Alex;3_0;False;False;"[['the'], ['see'], ['coming'], [""chick's""]]";seethechick'scoming;seethecomingchick's;0.0416666666667;-0.0425596144188
31;"[<__main__.Word instance at 0x1179fc5f0>
 <__main__.Word instance at 0x1179fcc68>
 <__main__.Word instance at 0x1179fca28>]";Alex;3_0;False;True;"[['a'], [""chick's""], ['coming']]";achick'scoming;achick'scoming;0.166666666667;1.79175946923
32;"[<__main__.Word instance at 0x1179fcbd8>
 <__main__.Word instance at 0x1179fce18>]";Alex;3_0;False;False;"[[""it's""], ['coming']]";it'scoming;comingit's;0.5;-0.69314718056
33;"[<__main__.Word instance at 0x1179fcef0>
 <__main__.Word instance at 0x1179fcd88>]";Alex;3_0;False;False;"[['coming'], [""it's""]]";it'scoming;comingit's;0.5;-0.69314718056
34;[<__main__.Word instance at 0x1179fce60>];Alex;3_0;False;True;[['Gigi']];Gigi;Gigi;1.0;0.0
35;[<__main__.Word instance at 0x1179fcf38>];Alex;3_0;False;True;[['clock']];clock;clock;1.0;0.0
36;"[<__main__.Word instance at 0x117a03098>
 <__main__.Word instance at 0x117a03248>]";Alex;3_0;False;False;"[[""what's""], ['that']]";what'sthat;thatwhat's;0.5;-0.69314718056
37;"[<__main__.Word instance at 0x117a03440>
 <__main__.Word instance at 0x117a03320>]";Alex;3_0;False;False;[['flowers'], ['oh']];ohflowers;flowersoh;0.5;-0.69314718056
38;"[<__main__.Word instance at 0x117a031b8>
 <__main__.Word instance at 0x117a035f0>
 <__main__.Word instance at 0x117a03488>]";Alex;3_0;False;True;[['flowers'], ['my'], ['my']];mymyflowers;mymyflowers;0.166666666667;1.79175946923
39;"[<__main__.Word instance at 0x117a03560>
 <__main__.Word instance at 0x117a03758>
 <__main__.Word instance at 0x117a03950>]";Alex;3_0;False;False;[['one'], ['last'], ['the']];thelastone;onethelast;0.166666666667;-0.182321556794
40;[<__main__.Word instance at 0x117a03a28>];Alex;3_0;False;True;[['flower']];flower;flower;1.0;0.0
